NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6662.003	10.924	1591.589	10.642	0.014	0.987	80000.0
2	6698.984	10.983	1603.945	10.72	0.015	0.987	110000.0
3	6672.466	10.942	1599.378	10.695	0.014	0.987	130000.0
4	6693.157	10.975	1601.13	10.709	0.015	0.987	70000.0
5	6689.851	10.968	1599.919	10.7	0.015	0.987	80000.0
6	6686.083	10.961	1598.966	10.681	0.014	0.987	60000.0
7	6681.496	10.957	1597.196	10.686	0.015	0.987	40000.0
8	6683.043	10.959	1597.658	10.697	0.014	0.987	60000.0
9	6676.852	10.948	1592.464	10.645	0.014	0.987	70000.0
10	6687.928	10.969	1602.608	10.718	0.014	0.987	70000.0
11	6698.231	10.982	1603.609	10.723	0.015	0.987	80000.0
12	6732.589	11.04	1611.628	10.751	0.015	0.987	140000.0
13	6686.501	10.96	1595.079	10.667	0.014	0.987	100000.0
14	6698.11	10.983	1603.427	10.705	0.014	0.987	70000.0
15	6698.594	10.987	1598.473	10.685	0.014	0.987	60000.0
16	6826.454	11.203	1713.415	11.002	0.014	0.988	40000.0
17	6679.333	10.952	1598.89	10.687	0.015	0.987	100000.0
18	6818.566	11.187	1717.009	11.007	0.014	0.988	90000.0
19	6699.76	10.989	1601.037	10.698	0.015	0.987	30000.0
20	6697.542	10.983	1603.953	10.724	0.015	0.987	50000.0
21	6714.085	11.011	1603.561	10.745	0.015	0.987	140000.0
22	6676.886	10.947	1596.783	10.669	0.014	0.987	60000.0
23	6683.878	10.96	1603.049	10.711	0.015	0.987	110000.0
24	6984.557	11.454	1740.078	11.369	0.015	0.987	100000.0
25	6963.574	11.421	1733.56	11.344	0.015	0.987	80000.0
26	6686.093	10.966	1601.83	10.712	0.015	0.987	120000.0
27	6693.087	10.976	1604.296	10.727	0.015	0.987	100000.0
28	6678.539	10.952	1596.631	10.673	0.015	0.987	60000.0
29	6664.965	10.93	1595.803	10.676	0.014	0.987	50000.0
30	6685.056	10.96	1593.963	10.655	0.014	0.987	60000.0
31	6698.389	10.984	1597.944	10.696	0.015	0.987	50000.0
32	6710.546	11.004	1607.492	10.726	0.015	0.987	110000.0
33	6720.624	11.022	1608.204	10.752	0.015	0.987	100000.0
34	6948.136	11.392	1727.097	11.297	0.015	0.987	80000.0
35	6677.252	10.949	1596.968	10.664	0.014	0.987	80000.0
36	6674.603	10.945	1598.292	10.692	0.015	0.987	80000.0
37	6675.351	10.946	1592.488	10.654	0.014	0.987	90000.0
38	6708.546	11.0	1603.67	10.716	0.015	0.987	80000.0
39	6692.749	10.976	1600.582	10.697	0.015	0.987	70000.0
40	6659.728	10.92	1595.334	10.675	0.014	0.987	100000.0
41	6691.042	10.971	1602.913	10.704	0.014	0.987	50000.0
42	6695.79	10.977	1598.936	10.68	0.015	0.987	90000.0
43	6949.033	11.396	1728.316	11.298	0.015	0.987	70000.0
44	6687.46	10.964	1600.118	10.693	0.014	0.987	70000.0
45	6691.171	10.972	1599.309	10.677	0.014	0.987	140000.0
46	6638.802	10.886	1585.386	10.608	0.014	0.987	60000.0
47	6830.975	11.21	1718.374	11.046	0.014	0.988	60000.0
48	6948.18	11.396	1727.647	11.317	0.015	0.987	50000.0
49	6674.03	10.94	1598.551	10.682	0.014	0.987	60000.0
50	6671.226	10.94	1594.893	10.656	0.014	0.987	70000.0
