NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	53172.898	87.387	12756.15	85.317	0.565	0.565	20000.0
2	53168.766	87.381	12758.484	85.343	0.565	0.565	30000.0
3	53152.902	87.355	12753.573	85.333	0.564	0.565	20000.0
4	53168.172	87.382	12758.831	85.33	0.565	0.565	20000.0
5	53160.184	87.367	12755.495	85.308	0.565	0.565	30000.0
6	53145.652	87.341	12757.866	85.305	0.564	0.565	30000.0
7	53153.598	87.357	12755.508	85.323	0.564	0.565	20000.0
8	53157.328	87.365	12758.191	85.323	0.564	0.565	20000.0
9	53179.699	87.399	12760.644	85.352	0.565	0.565	20000.0
10	53152.691	87.355	12756.934	85.314	0.565	0.565	30000.0
11	53166.238	87.379	12758.236	85.3	0.565	0.565	40000.0
12	53135.703	87.326	12755.57	85.308	0.564	0.565	20000.0
13	53152.27	87.352	12757.452	85.365	0.564	0.565	20000.0
14	53163.438	87.374	12757.609	85.34	0.564	0.565	20000.0
15	53137.055	87.326	12754.882	85.323	0.564	0.565	20000.0
16	53166.629	87.377	12760.927	85.326	0.564	0.565	20000.0
17	53168.52	87.381	12758.137	85.309	0.565	0.565	30000.0
18	53184.082	87.407	12763.796	85.344	0.565	0.565	20000.0
19	53144.746	87.34	12754.539	85.263	0.564	0.565	20000.0
20	53176.391	87.395	12756.856	85.321	0.565	0.565	30000.0
21	53152.016	87.354	12752.057	85.336	0.564	0.565	20000.0
22	53151.707	87.352	12752.534	85.315	0.564	0.565	20000.0
23	53175.426	87.391	12761.544	85.332	0.565	0.565	20000.0
24	53175.781	87.394	12762.221	85.35	0.565	0.565	20000.0
25	53154.191	87.357	12760.482	85.332	0.565	0.565	20000.0
26	53173.266	87.391	12762.111	85.335	0.565	0.565	20000.0
27	53140.434	87.333	12752.106	85.293	0.564	0.565	20000.0
28	53189.578	87.417	12756.28	85.312	0.565	0.565	20000.0
29	53169.637	87.384	12759.298	85.311	0.565	0.565	20000.0
30	53144.836	87.341	12760.164	85.329	0.564	0.565	20000.0
31	53164.582	87.373	12753.579	85.306	0.564	0.565	20000.0
32	53166.027	87.377	12757.136	85.34	0.564	0.565	30000.0
33	53136.125	87.327	12746.253	85.256	0.564	0.565	20000.0
34	53146.473	87.342	12753.893	85.327	0.564	0.565	20000.0
35	53152.402	87.357	12753.281	85.333	0.564	0.565	20000.0
36	53157.953	87.362	12759.479	85.339	0.565	0.565	30000.0
37	53147.914	87.346	12750.791	85.304	0.564	0.565	40000.0
38	53174.891	87.391	12762.641	85.331	0.565	0.565	20000.0
39	53162.57	87.372	12759.844	85.323	0.565	0.565	20000.0
40	53150.098	87.349	12755.133	85.308	0.564	0.565	20000.0
41	53169.562	87.38	12760.53	85.361	0.565	0.564	20000.0
42	53149.773	87.348	12757.698	85.312	0.564	0.565	30000.0
43	53157.57	87.362	12759.393	85.348	0.564	0.565	20000.0
44	53138.07	87.331	12757.897	85.317	0.564	0.565	20000.0
45	53167.262	87.378	12765.617	85.359	0.565	0.565	20000.0
46	53168.543	87.381	12753.285	85.315	0.564	0.565	20000.0
47	53157.184	87.361	12756.684	85.352	0.565	0.565	30000.0
48	53148.793	87.348	12751.613	85.29	0.564	0.565	20000.0
49	53158.398	87.364	12757.957	85.348	0.565	0.565	20000.0
50	53177.68	87.395	12755.104	85.321	0.565	0.565	20000.0
