Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Lung-SCC::SP57189	113846	0.514	105281.147	92.477%	20212.525	125.215%	0.5805	0.251
Lymph-BNHL::SP116668	66901	0.316	71848.901	107.396%	17365.194	108.755%	0.86271	0.128
Lymph-BNHL::SP116697	112529	0.701	71905.484	63.9%	16237.373	103.934%	0.30907	0.563
Panc-AdenoCA::SP125732	95745	0.364	97626.488	101.965%	21016.64	117.835%	0.76198	0.121
Panc-AdenoCA::SP125770	55454	0.382	52465.905	94.612%	11222.592	130.458%	0.6706	0.077
Skin-Melanoma::SP124389	70873	0.933	59958.487	84.6%	14505.051	53.857%	0.44256	0.959
Skin-Melanoma::SP124362	214810	0.927	182886.589	85.139%	48212.435	56.305%	0.46752	0.956
Skin-Melanoma::SP124394	105876	0.92	89018.372	84.078%	24645.763	57.493%	0.45897	0.949
Skin-Melanoma::SP124334	87764	0.939	62798.393	71.554%	15945.377	50.807%	0.32008	0.96
Skin-Melanoma::SP124454	58815	0.933	45019.802	76.545%	12030.454	53.88%	0.35606	0.958
Skin-Melanoma::SP124380	162971	0.937	127281.03	78.1%	30457.621	51.552%	0.3879	0.96
Skin-Melanoma::SP124399	144375	0.929	111303.479	77.093%	30042.313	54.483%	0.38974	0.954
Skin-Melanoma::SP124311	109379	0.944	69222.656	63.287%	15005.782	44.122%	0.27696	0.955
Skin-Melanoma::SP124434	85261	0.94	65223.717	76.499%	15301.804	50.431%	0.36648	0.962
Skin-Melanoma::SP124428	305689	0.931	262013.711	85.713%	65980.528	55.216%	0.46574	0.959
Skin-Melanoma::SP124449	137987	0.925	112297.772	81.383%	30902.581	56.346%	0.43018	0.954
Skin-Melanoma::SP124298	366716	0.927	292630.916	79.798%	70476.082	52.794%	0.41913	0.948
Skin-Melanoma::SP124431	92652	0.938	64911.56	70.06%	14749.506	47.861%	0.32695	0.953
Skin-Melanoma::SP124409	245674	0.92	206923.198	84.227%	59326.101	58.307%	0.46747	0.951
Skin-Melanoma::SP124376	55168	0.936	44403.36	80.488%	10852.383	52.799%	0.40341	0.961
Skin-Melanoma::SP124439	319683	0.937	260403.87	81.457%	59580.363	51.484%	0.42254	0.96
Skin-Melanoma::SP124406	73754	0.947	48991.437	66.425%	11942.75	47.68%	0.27654	0.965
Skin-Melanoma::SP124382	478961	0.931	361384.998	75.452%	87483.594	51.43%	0.37729	0.95
Skin-Melanoma::SP124415	859178	0.929	720556.581	83.866%	184818.539	55.228%	0.4579	0.956
Skin-Melanoma::SP124436	318815	0.928	217853.858	68.332%	62104.861	53.019%	0.3102	0.95
Skin-Melanoma::SP124460	163978	0.931	130665.763	79.685%	34463.924	54.582%	0.4084	0.958
Skin-Melanoma::SP124425	91518	0.94	63924.929	69.85%	15920.937	49.742%	0.31198	0.96
Skin-Melanoma::SP124367	155967	0.943	109005.131	69.89%	27401.847	49.803%	0.32086	0.964
Skin-Melanoma::SP124377	61019	0.94	42811.84	70.161%	9736.884	47.752%	0.32199	0.957
Skin-Melanoma::SP124412	77288	0.938	54447.638	70.448%	14056.287	50.877%	0.31853	0.96
Skin-Melanoma::SP124329	51726	0.93	39593.524	76.545%	10698.548	54.276%	0.38383	0.956
Skin-Melanoma::SP124326	61290	0.933	45329.89	73.96%	12165.337	53.18%	0.33975	0.957
Skin-Melanoma::SP124458	161511	0.937	124233.308	76.919%	29948.233	51.401%	0.3789	0.959
Skin-Melanoma::SP124401	435965	0.933	330748.752	75.866%	80774.381	51.591%	0.3738	0.954
Skin-Melanoma::SP124384	177782	0.951	106401.966	59.85%	24916.792	44.077%	0.24476	0.966
Skin-Melanoma::SP124462	114171	0.932	88137.783	77.198%	22718.8	53.255%	0.38509	0.957
Skin-Melanoma::SP124452	91909	0.934	70631.304	76.849%	17514.522	52.163%	0.38293	0.957
Skin-Melanoma::SP124386	115835	0.931	94385.752	81.483%	24021.459	54.261%	0.41798	0.957
Skin-Melanoma::SP124418	107381	0.935	78722.466	73.311%	20529.892	52.189%	0.34967	0.958
Skin-Melanoma::SP124319	205301	0.928	176457.11	85.95%	46012.885	56.198%	0.47729	0.958
Skin-Melanoma::SP124447	444091	0.941	334674.029	75.362%	75120.717	49.047%	0.36706	0.96
Skin-Melanoma::SP124369	140457	0.933	113032.733	80.475%	28097.67	53.372%	0.41771	0.957
Skin-Melanoma::SP124365	75536	0.942	50627.459	67.024%	12879.145	49.173%	0.28397	0.961
Skin-Melanoma::SP124420	71144	0.931	57017.661	80.144%	14662.293	54.167%	0.40879	0.956
Skin-Melanoma::SP124364	109414	0.937	79225.01	72.408%	20110.948	51.153%	0.33183	0.959
Skin-Melanoma::SP124307	121510	0.932	97693.206	80.399%	25246.461	54.266%	0.41645	0.958
Skin-Melanoma::SP82445	744553	0.934	610772.579	82.032%	147040.318	52.984%	0.43147	0.959
Skin-Melanoma::SP83242	73248	0.943	48877.457	66.729%	11166.519	46.553%	0.29316	0.958
Skin-Melanoma::SP103894	159349	0.938	115863.071	72.71%	28514.978	50.478%	0.34273	0.959
Skin-Melanoma::SP83382	58882	0.939	45604.725	77.451%	10441.712	50.206%	0.38165	0.96
Skin-Melanoma::SP82451	51533	0.952	28656.62	55.608%	6700.417	42.351%	0.20234	0.964
Skin-Melanoma::SP83312	57742	0.943	40960.384	70.937%	9687.419	48.739%	0.31924	0.962
Skin-Melanoma::SP82614	57444	0.937	42309.311	73.653%	10212.417	50.445%	0.34429	0.957
Skin-Melanoma::SP82431	373348	0.943	260204.426	69.695%	53645.592	45.228%	0.33562	0.955
Skin-Melanoma::SP82459	78286	0.926	59345.964	75.807%	16352.411	54.756%	0.37071	0.95
Skin-Melanoma::SP82532	212889	0.916	154344.919	72.5%	33736.752	49.292%	0.36941	0.924
Skin-Melanoma::SP83482	68683	0.941	48465.582	70.564%	11921.564	49.651%	0.30775	0.961
Skin-Melanoma::SP104530	71362	0.952	37468.96	52.505%	9434.954	42.766%	0.18169	0.963
Skin-Melanoma::SP82644	240513	0.927	201457.675	83.762%	53746.986	56.21%	0.45372	0.955
Skin-Melanoma::SP82988	92423	0.929	76879.663	83.182%	19220.129	54.436%	0.43968	0.955
Skin-Melanoma::SP82461	84719	0.939	63087.177	74.466%	14916.91	50.097%	0.35201	0.959
Skin-Melanoma::SP82900	279814	0.932	229651.695	82.073%	57734.422	54.081%	0.42702	0.959
Skin-Melanoma::SP82399	116295	0.933	87443.18	75.191%	22390.671	52.463%	0.36621	0.956
Skin-Melanoma::SP82417	250745	0.929	219552.447	87.56%	55705.916	55.982%	0.49342	0.957
Skin-Melanoma::SP104056	334004	0.936	240957.529	72.142%	56975.713	49.572%	0.34941	0.953
Skin-Melanoma::SP83083	75677	0.942	55186.063	72.923%	12430.319	48.301%	0.34284	0.96
Skin-Melanoma::SP83019	98123	0.938	76297.181	77.757%	18355.86	51.516%	0.387	0.961
Skin-Melanoma::SP83146	347886	0.932	296204.323	85.144%	72654.115	54.383%	0.45956	0.959
Skin-Melanoma::SP103866	94887	0.932	72170.953	76.06%	18525.644	52.855%	0.37021	0.955
Skin-Melanoma::SP83844	57187	0.942	41373.783	72.348%	9813.202	49.314%	0.3359	0.962
Stomach-AdenoCA::SP135287	66574	0.381	64872.254	97.444%	14585.135	114.511%	0.68883	0.153
Stomach-AdenoCA::SP85122	80659	0.382	77811.967	96.47%	17657.999	114.405%	0.71098	0.155
Stomach-AdenoCA::SP84384	118437	0.387	122002.807	103.011%	25454.329	116.059%	0.73403	0.151
Stomach-AdenoCA::SP84491	64707	0.301	69850.487	107.949%	18465.453	105.246%	0.91764	0.138
Stomach-AdenoCA::SP84743	60006	0.399	54928.234	91.538%	13953.95	105.278%	0.65239	0.216
Stomach-AdenoCA::SP84982	64043	0.437	59231.161	92.487%	12482.595	122.966%	0.55388	0.17
Stomach-AdenoCA::SP84392	104620	0.445	97647.877	93.336%	20286.682	121.773%	0.58423	0.183
Stomach-AdenoCA::SP105018	58804	0.62	44596.384	75.839%	9327.644	128.218%	0.41319	0.418
Stomach-AdenoCA::SP84439	389215	0.463	367283.978	94.365%	73235.005	124.759%	0.59678	0.191
Stomach-AdenoCA::SP84922	68029	0.288	78114.662	114.826%	20407.068	104.427%	1.02073	0.134
Uterus-AdenoCA::SP90209	549929	0.347	648104.49	117.852%	144818.092	104.143%	1.04276	0.181
Uterus-AdenoCA::SP93540	65697	0.407	66567.909	101.326%	13667.31	116.828%	0.70466	0.167
Uterus-AdenoCA::SP93227	928218	0.405	1002984.598	108.055%	209030.389	107.025%	0.82569	0.212
Uterus-AdenoCA::SP94933	62442	0.384	62140.8	99.518%	12593.918	130.965%	0.71278	0.077
Uterus-AdenoCA::SP92364	115351	0.304	125712.547	108.983%	25791.156	127.674%	0.89499	0.015
Uterus-AdenoCA::SP92659	282262	0.275	345309.086	122.336%	123912.742	97.749%	1.32615	0.19
