Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
Skin-Melanoma::SP82451	1.21E+01	6.56E+02	9.93E+02	4.11E+01	2.23E+01	3.71E+02	1.42E+01	7.94E+00	1.71E+01	3.28E+01	2.89E+01	7.21E+00
Skin-Melanoma::SP83312	5.51E+00	7.45E+02	1.04E+03	2.05E+01	1.15E+01	3.05E+02	1.02E+01	7.51E+00	1.10E+01	1.92E+01	2.53E+01	5.89E+00
Skin-Melanoma::SP82614	6.10E+00	8.48E+02	1.28E+03	2.20E+01	9.08E+00	4.54E+02	9.51E+00	6.43E+00	9.64E+00	2.07E+01	3.14E+01	6.04E+00
Skin-Melanoma::SP82431	5.78E+01	4.07E+03	5.81E+03	1.38E+02	0.00E+00	2.09E+03	5.31E+01	1.21E+02	2.20E+01	1.59E+02	1.17E+02	2.87E+01
Skin-Melanoma::SP82459	8.06E+00	1.30E+03	1.75E+03	4.42E+01	7.90E+00	4.66E+02	2.56E+01	1.21E+01	9.76E+00	4.38E+01	3.43E+01	7.01E+00
Skin-Melanoma::SP82532	3.03E+01	2.99E+03	5.20E+03	1.38E+02	2.86E+01	2.37E+03	3.11E+01	4.26E+01	1.80E+01	8.87E+01	1.74E+02	1.92E+01
Skin-Melanoma::SP83482	2.27E+01	8.68E+02	1.11E+03	8.30E+01	1.24E+01	3.19E+02	1.06E+01	2.80E+01	1.68E+01	5.56E+01	3.36E+01	7.76E+00
Skin-Melanoma::SP104530	1.27E+01	8.52E+02	1.11E+03	6.23E+01	3.47E+01	3.07E+02	2.67E+01	1.78E+01	3.22E+01	6.84E+01	3.63E+01	1.08E+01
Skin-Melanoma::SP82644	1.62E+01	3.61E+03	4.46E+03	5.52E+01	1.84E+01	9.24E+02	5.12E+01	1.52E+01	1.92E+01	6.08E+01	5.54E+01	1.38E+01
Skin-Melanoma::SP82988	1.65E+01	1.13E+03	1.16E+03	9.88E+01	9.26E+00	1.50E+02	2.53E+01	8.30E+00	2.45E+01	3.67E+01	4.79E+01	8.67E+00
Skin-Melanoma::SP82461	2.15E+01	1.23E+03	1.72E+03	8.87E+01	1.15E+01	5.54E+02	2.18E+01	9.59E+00	2.75E+01	3.36E+01	3.90E+01	7.39E+00
Skin-Melanoma::SP82900	2.00E+01	3.09E+03	3.18E+03	6.11E+01	3.49E+01	3.93E+02	2.06E+01	3.56E+01	1.64E+00	9.57E+01	1.55E+02	2.86E+01
Skin-Melanoma::SP82399	1.32E+01	1.77E+03	2.48E+03	5.35E+01	1.40E+01	7.46E+02	2.33E+01	1.25E+01	1.07E+01	4.02E+01	3.76E+01	8.90E+00
Skin-Melanoma::SP82417	2.38E+01	3.92E+03	4.86E+03	9.96E+01	2.30E+01	1.03E+03	5.62E+01	1.48E+01	3.07E+01	4.44E+01	5.98E+01	9.39E+00
Skin-Melanoma::SP104056	2.22E+01	4.82E+03	7.53E+03	4.10E+01	0.00E+00	2.84E+03	1.12E+02	5.61E+01	4.81E+01	1.24E+02	0.00E+00	2.17E+01
Skin-Melanoma::SP83083	1.45E+01	9.83E+02	1.34E+03	4.93E+01	1.14E+01	4.02E+02	1.32E+01	1.28E+01	2.34E+01	2.53E+01	2.71E+01	6.71E+00
Skin-Melanoma::SP83019	1.45E+01	1.34E+03	1.70E+03	6.28E+01	1.27E+01	4.15E+02	1.95E+01	1.15E+01	2.39E+01	2.65E+01	3.41E+01	6.41E+00
Skin-Melanoma::SP83146	3.47E+01	4.19E+03	4.62E+03	1.15E+02	4.03E+01	6.79E+02	4.80E+01	5.11E+01	3.57E+01	1.38E+02	1.52E+02	2.04E+01
Skin-Melanoma::SP103866	9.90E+00	1.43E+03	1.95E+03	4.99E+01	1.85E+00	5.69E+02	1.54E+01	1.03E+01	1.53E+01	4.17E+01	1.70E+01	7.98E+00
Skin-Melanoma::SP83844	1.10E+01	7.63E+02	1.02E+03	5.24E+01	9.27E+00	2.86E+02	1.24E+01	7.44E+00	1.79E+01	2.36E+01	2.24E+01	7.12E+00
Stomach-AdenoCA::SP135287	4.27E+01	3.67E+01	2.38E+02	7.05E+02	2.76E+01	4.78E+01	2.23E+02	1.72E+01	5.39E+02	3.06E+01	3.46E+01	5.98E+00
Stomach-AdenoCA::SP85122	1.01E+02	4.23E+01	8.14E+01	3.65E+02	6.82E+01	1.14E+02	4.12E+02	2.71E+01	2.57E+02	3.90E+01	1.24E+02	9.40E+00
Stomach-AdenoCA::SP84384	0.00E+00	5.94E+01	1.10E+03	1.79E+03	1.96E+01	1.12E+02	5.65E+02	1.04E+02	1.52E+03	1.18E+02	1.73E+02	1.21E+01
Stomach-AdenoCA::SP84491	2.58E+01	2.27E+01	1.16E+02	2.09E+02	3.30E+01	3.32E+01	3.15E+01	1.50E+02	6.94E+01	6.67E+01	1.78E+01	1.70E+01
Stomach-AdenoCA::SP84743	2.64E+01	2.91E+01	2.40E+02	2.58E+02	3.42E+01	2.71E+01	4.29E+01	1.86E+02	2.53E+01	1.24E+02	1.00E+01	2.20E+01
Stomach-AdenoCA::SP84982	2.92E+01	1.35E+01	1.98E+02	6.90E+02	4.30E+01	5.19E+01	1.65E+02	9.43E+01	5.62E+02	5.71E+01	8.16E+01	5.81E+00
Stomach-AdenoCA::SP84392	2.40E+01	2.84E+01	5.27E+02	1.02E+03	3.39E+01	5.41E+01	3.82E+02	2.00E+01	7.71E+02	4.45E+01	6.52E+01	6.98E+00
Stomach-AdenoCA::SP105018	5.61E+01	2.29E+01	2.44E+02	2.74E+02	1.06E+02	5.67E+01	8.52E+01	8.08E+01	1.75E+02	2.09E+02	4.75E+01	2.53E+01
Stomach-AdenoCA::SP84439	3.48E+02	2.58E+02	4.68E+03	7.19E+03	5.26E+02	1.03E+03	3.23E+03	7.89E+01	5.38E+03	8.19E+02	1.53E+03	3.67E+01
Stomach-AdenoCA::SP84922	2.38E+01	1.73E+01	1.52E+02	2.48E+02	2.34E+01	1.62E+01	4.46E+01	1.96E+02	4.25E+01	6.41E+01	2.23E+01	1.39E+01
Uterus-AdenoCA::SP90209	6.54E+02	7.58E+01	1.32E+03	1.88E+04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.74E+04	1.11E+02	8.10E+02	1.15E+01
Uterus-AdenoCA::SP93540	3.14E+01	1.59E+01	2.53E+01	4.34E+02	5.86E+01	7.60E+01	2.92E+02	1.53E+01	2.37E+02	6.15E+01	5.06E+01	8.25E+00
Uterus-AdenoCA::SP93227	3.42E+03	4.33E+02	4.47E+02	3.97E+04	2.02E+03	4.05E+02	1.95E+03	2.87E+02	3.53E+04	0.00E+00	2.05E+03	0.00E+00
Uterus-AdenoCA::SP94933	2.54E+01	2.49E+01	3.21E+02	1.39E+02	2.83E+01	3.34E+01	2.47E+02	4.59E+01	1.37E+02	1.34E+02	4.66E+01	9.29E+00
Uterus-AdenoCA::SP92364	3.83E+01	4.13E+01	5.71E+02	1.50E+02	0.00E+00	2.42E+01	4.46E+02	4.02E+01	2.99E+02	1.12E+02	6.30E+01	4.97E+00
Uterus-AdenoCA::SP92659	2.93E+03	0.00E+00	1.56E+03	3.03E+03	1.60E+02	8.40E+01	0.00E+00	3.68E+01	2.08E+02	9.47E+01	4.28E+01	8.41E+00
