Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
Skin-Melanoma::SP124362	1.84E+01	3.13E+03	3.85E+03	6.90E+01	1.80E+01	7.99E+02	3.77E+01	1.48E+01	1.96E+01	5.53E+01	5.26E+01	9.65E+00
Skin-Melanoma::SP124394	8.30E+00	1.86E+03	2.40E+03	4.44E+01	1.41E+00	5.45E+02	2.49E+01	6.24E+00	1.12E+01	3.36E+01	3.68E+01	7.50E+00
Skin-Melanoma::SP124334	9.45E+00	1.23E+03	1.62E+03	5.06E+01	1.69E+01	4.27E+02	1.82E+01	1.53E+01	8.90E+00	3.77E+01	2.60E+01	1.06E+01
Skin-Melanoma::SP124454	6.76E+00	8.20E+02	9.93E+02	2.36E+01	1.45E+01	1.94E+02	1.29E+01	7.26E+00	1.71E+01	2.22E+01	2.24E+01	5.95E+00
Skin-Melanoma::SP124380	1.65E+01	2.22E+03	2.88E+03	1.18E+02	8.21E+00	7.60E+02	2.49E+01	3.61E+01	2.29E+01	7.70E+01	4.35E+01	9.32E+00
Skin-Melanoma::SP124399	1.40E+01	2.00E+03	2.62E+03	1.79E+01	1.37E+01	6.56E+02	2.47E+01	1.66E+01	1.31E+01	4.48E+01	2.83E+01	8.37E+00
Skin-Melanoma::SP124311	1.56E+01	1.43E+03	2.27E+03	1.29E+02	0.00E+00	9.38E+02	3.61E+01	3.99E+01	7.12E+00	1.09E+02	6.22E+01	1.03E+01
Skin-Melanoma::SP124434	1.61E+01	1.01E+03	1.21E+03	4.85E+01	1.97E+01	2.64E+02	1.43E+01	8.99E+00	1.88E+01	3.26E+01	3.36E+01	6.74E+00
Skin-Melanoma::SP124428	2.80E+01	4.28E+03	5.12E+03	1.08E+02	3.63E+01	9.61E+02	4.98E+01	2.41E+01	4.53E+01	1.07E+02	8.54E+01	1.50E+01
Skin-Melanoma::SP124449	1.43E+01	2.10E+03	2.53E+03	6.24E+01	1.39E+01	4.85E+02	2.45E+01	1.15E+01	3.10E+01	6.30E+01	3.98E+01	8.41E+00
Skin-Melanoma::SP124298	1.93E+01	6.05E+03	9.41E+03	9.15E+01	3.53E+01	3.42E+03	6.36E+01	3.04E+01	3.02E+01	8.72E+01	1.84E+02	1.92E+01
Skin-Melanoma::SP124431	1.20E+01	1.31E+03	2.10E+03	3.09E+01	1.55E+01	8.41E+02	1.16E+01	1.29E+01	1.26E+01	1.94E+01	4.60E+01	7.93E+00
Skin-Melanoma::SP124409	2.48E+01	3.21E+03	3.61E+03	3.68E+01	4.27E+00	4.78E+02	3.67E+01	1.54E+01	1.74E+01	8.23E+01	4.98E+01	1.54E+01
