Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
LUSC.US_SP56607	6.98E+01	6.56E+01	5.96E+01	1.80E+01	8.58E+01	2.13E+01	3.44E+01	2.51E+01	5.39E+00
LUAD.US_SP56168	3.74E+01	3.12E+01	3.00E+01	3.44E+02	8.11E+01	3.10E+02	2.24E+01	6.13E+01	9.87E+00
LUSC.US_SP58326	3.16E+02	3.56E+02	1.53E+02	9.31E+01	2.08E+02	5.79E+01	7.78E+01	2.40E+01	1.32E+01
LUAD.US_SP54363	2.97E+02	2.98E+02	6.94E+01	1.16E+02	1.03E+02	1.07E+02	2.31E+01	2.52E+01	5.52E+00
LUAD.US_SP53810	2.43E+03	2.15E+03	3.77E+02	2.32E+02	4.22E+02	1.37E+02	1.05E+02	5.29E+01	9.55E+00
LUAD.US_SP50518	1.93E+01	7.36E+00	1.62E+01	7.04E+00	1.90E+01	9.40E+00	6.93E+00	1.72E+01	3.76E+00
LUAD.US_SP56303	1.13E+02	5.10E+01	5.94E+01	2.86E+01	6.54E+01	3.05E+01	1.92E+01	3.77E+01	6.84E+00
LUSC.US_SP57267	2.14E+02	2.29E+02	1.44E+02	6.64E+01	1.63E+02	4.77E+01	6.44E+01	2.18E+01	1.18E+01
LUAD.US_SP55711	1.62E+01	1.08E+01	1.64E+01	2.23E+01	2.14E+01	1.95E+01	4.61E+00	1.85E+01	3.74E+00
LUSC.US_SP57066	2.91E+02	3.02E+02	9.49E+01	4.06E+01	1.61E+02	3.51E+01	5.11E+01	2.77E+01	7.87E+00
LUSC.US_SP57901	9.01E+01	9.35E+01	7.37E+01	2.89E+01	9.07E+01	3.19E+01	4.40E+01	3.18E+01	7.32E+00
LUAD.US_SP55509	6.14E+02	6.28E+02	1.79E+02	7.86E+01	2.23E+02	5.41E+01	3.98E+01	2.44E+01	9.83E+00
LUSC.US_SP57651	7.63E+01	5.04E+01	5.04E+01	2.13E+01	1.00E+02	2.56E+01	2.73E+01	1.76E+01	6.22E+00
LUAD.US_SP55309	5.43E+00	3.70E+00	7.71E+00	1.91E+00	1.14E+00	3.56E+00	3.52E+00	6.73E+00	1.33E+00
LUAD.US_SP52607	7.87E+00	8.85E+00	9.97E+00	1.04E+01	1.11E+01	8.56E+00	5.99E+00	1.12E+01	2.30E+00
