Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
Skin-Melanoma::SP124382	404731	151	0	1692	0	44550	2634	25203	0
Skin-Melanoma::SP124415	783006	0	0	0	0	0	5943	0	70229
Skin-Melanoma::SP124436	292528	0	0	5971	13363	4861	2092	0	0
Skin-Melanoma::SP124460	158735	506	423	0	2257	0	2057	0	0
Skin-Melanoma::SP124425	79304	375	413	336	70	8313	893	1814	0
Skin-Melanoma::SP124367	136437	0	0	1708	226	3271	9877	4448	0
Skin-Melanoma::SP124377	46862	513	0	367	0	7012	339	5926	0
Skin-Melanoma::SP124412	67795	0	571	7200	1493	0	229	0	0
Skin-Melanoma::SP124329	49814	95	0	0	1552	20	245	0	0
Skin-Melanoma::SP124326	57185	0	447	2864	721	0	73	0	0
Skin-Melanoma::SP124458	143188	1157	0	621	1023	8098	693	6731	0
Skin-Melanoma::SP124401	368298	609	0	3567	0	22308	2505	38678	0
Skin-Melanoma::SP124384	136007	777	16324	860	4852	11260	498	6737	467
Skin-Melanoma::SP124462	107804	384	563	241	2477	1638	297	767	0
Skin-Melanoma::SP124452	82660	338	0	422	823	2656	173	4837	0
Skin-Melanoma::SP124386	112858	113	1560	31	1191	0	82	0	0
Skin-Melanoma::SP124418	98360	94	0	2697	2395	2492	549	0	794
Skin-Melanoma::SP124319	197804	0	0	0	0	0	416	0	7081
Skin-Melanoma::SP124447	357940	4064	0	0	0	45876	2557	22368	11286
Skin-Melanoma::SP124369	129980	0	0	373	898	3607	160	5439	0
Skin-Melanoma::SP124365	65360	294	679	1139	1666	4984	528	90	796
Skin-Melanoma::SP124420	69025	0	523	311	1168	108	9	0	0
Skin-Melanoma::SP124364	98815	963	1125	1259	1383	4549	369	951	0
Skin-Melanoma::SP124307	117184	57	1018	633	1150	0	190	0	1278
Skin-Melanoma::SP82445	653338	2821	2393	0	0	27404	5624	0	52973
Skin-Melanoma::SP83242	55535	0	0	10968	891	439	487	4928	0
Skin-Melanoma::SP103894	138806	972	0	0	1243	11037	1139	6152	0
Skin-Melanoma::SP83382	49082	526	623	0	0	3126	57	3477	1991
Skin-Melanoma::SP82451	37976	390	1315	3567	1237	3883	194	2971	0
Skin-Melanoma::SP83312	48211	306	532	737	133	4200	432	2509	682
Skin-Melanoma::SP82614	48605	152	0	392	325	4614	348	3008	0
Skin-Melanoma::SP82431	259672	5628	0	0	0	67743	6589	24970	8746
Skin-Melanoma::SP82459	75303	0	32	400	2337	0	214	0	0
Skin-Melanoma::SP82532	134030	1362	0	1171	0	30661	1424	44241	0
Skin-Melanoma::SP83482	59096	461	0	1116	0	3792	1235	2926	57
Skin-Melanoma::SP104530	54773	477	1575	5060	1254	5124	440	1947	712
Skin-Melanoma::SP82644	238419	0	0	0	1877	0	217	0	0
Skin-Melanoma::SP82988	82125	425	1623	0	291	0	156	0	7803
Skin-Melanoma::SP82461	72511	812	272	373	324	4885	336	5206	0
Skin-Melanoma::SP82900	255877	0	916	0	0	665	2307	387	19662
Skin-Melanoma::SP82399	107744	376	609	1110	2714	1396	642	1704	0
Skin-Melanoma::SP82417	247258	0	692	0	881	0	0	0	1914
Skin-Melanoma::SP104056	278629	2067	0	0	13629	36165	1929	1585	0
Skin-Melanoma::SP83083	60246	745	246	0	0	7081	361	5523	1475
Skin-Melanoma::SP83019	87504	607	977	0	805	2750	396	3028	2056
Skin-Melanoma::SP83146	322617	843	4096	0	0	0	913	0	19417
Skin-Melanoma::SP103866	88673	277	666	0	1350	3336	585	0	0
Skin-Melanoma::SP83844	48642	489	734	0	833	2783	312	1842	1552
Stomach-AdenoCA::SP135287	1868	973	42503	0	17735	1212	1845	438	0
Stomach-AdenoCA::SP85122	2426	761	52330	0	17764	5062	2256	0	60
Stomach-AdenoCA::SP84384	2466	35	72168	0	35773	0	3099	4247	649
Stomach-AdenoCA::SP84491	840	1705	2864	18	907	9321	46999	603	1450
Stomach-AdenoCA::SP84743	1558	2350	3010	1234	513	13680	33705	45	3911
Stomach-AdenoCA::SP84982	288	390	20355	5669	19797	0	14911	2415	218
Stomach-AdenoCA::SP84392	826	1383	40570	5395	42954	1411	5652	5926	503
Stomach-AdenoCA::SP105018	0	1191	3868	16100	0	26176	1795	1326	8348
Stomach-AdenoCA::SP84439	0	6334	106072	20408	176127	27504	10818	39632	2320
Stomach-AdenoCA::SP84922	655	2016	1647	176	2469	4760	53418	442	2446
Uterus-AdenoCA::SP90209	0	12313	463029	0	0	0	0	74587	0
Uterus-AdenoCA::SP93540	0	0	32601	2121	20621	4645	141	5093	475
Uterus-AdenoCA::SP93227	0	95504	479946	208897	43108	0	0	100763	0
Uterus-AdenoCA::SP94933	838	1622	3681	0	38606	14821	1355	1238	281
Uterus-AdenoCA::SP92364	0	1434	10140	0	95639	3563	1416	2987	172
Uterus-AdenoCA::SP92659	0	266622	0	15640	0	0	0	0	0
