Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.694	152873.842	74.021%	24512.751	73.532%	0.37192	0.429
Bladder-TCC::SP1059	59185	0.67	38866.706	65.67%	8512.02	75.102%	0.36819	0.496
Bladder-TCC::SP96136	51896	0.686	39373.129	75.869%	10041.476	72.9%	0.4613	0.615
Breast-AdenoCA::SP117369	55654	0.592	68763.092	123.555%	18418.607	80.654%	1.1844	0.555
Breast-AdenoCA::SP2293	65065	0.577	81256.02	124.884%	21254.215	81.769%	1.27029	0.536
CNS-GBM::SP25494	245043	0.717	241285.718	98.467%	52948.451	70.923%	0.77407	0.676
ColoRect-AdenoCA::SP18310	108227	0.601	92372.218	85.35%	18433.248	80.004%	0.55483	0.417
ColoRect-AdenoCA::SP17172	124362	0.673	87636.884	70.469%	17417.099	74.146%	0.3824	0.482
ColoRect-AdenoCA::SP96133	81348	0.777	46841.008	57.581%	8396.851	63.294%	0.23383	0.596
ColoRect-AdenoCA::SP110242	113975	0.743	75236.343	66.011%	13036.308	67.138%	0.30046	0.556
ColoRect-AdenoCA::SP21017	88434	0.715	55522.647	62.784%	11259.747	70.01%	0.30308	0.538
ColoRect-AdenoCA::SP22383	97478	0.783	56842.582	58.313%	9740.466	62.745%	0.23854	0.597
ColoRect-AdenoCA::SP81312	807487	0.628	858153.903	106.275%	224443.696	81.167%	0.83584	0.641
ColoRect-AdenoCA::SP22031	234231	0.61	261959.121	111.838%	78823.063	83.584%	0.8987	0.647
ColoRect-AdenoCA::SP19215	94904	0.711	71478.015	75.316%	11287.327	71.189%	0.3762	0.485
ColoRect-AdenoCA::SP16886	849282	0.623	954080.353	112.34%	272081.875	82.555%	0.88835	0.655
ColoRect-AdenoCA::SP19295	259867	0.614	278515.897	107.176%	86429.908	83.357%	0.84496	0.654
ColoRect-AdenoCA::SP17905	2432617	0.676	2246671.542	92.356%	605343.978	77.546%	0.6285	0.687
ColoRect-AdenoCA::SP18121	161139	0.677	124961.34	77.549%	19872.817	75.131%	0.41093	0.408
ColoRect-AdenoCA::SP21400	793040	0.678	747062.92	94.202%	179335.703	76.653%	0.66628	0.673
ColoRect-AdenoCA::SP18946	960813	0.649	919310.226	95.68%	274333.577	80.365%	0.69858	0.676
ColoRect-AdenoCA::SP80615	2426469	0.653	2402681.243	99.02%	685280.298	80.014%	0.72672	0.677
Eso-AdenoCA::SP111058	63983	0.538	68627.481	107.259%	19792.697	85.67%	0.82651	0.506
Eso-AdenoCA::SP111066	79659	0.6	76369.271	95.87%	18946.618	81.002%	0.64462	0.543
Eso-AdenoCA::SP111113	79140	0.582	78813.239	99.587%	20029.069	82.312%	0.67628	0.528
Eso-AdenoCA::SP110865	55751	0.814	27650.921	49.597%	5280.561	58.093%	0.16867	0.668
Eso-AdenoCA::SP23502	74471	0.627	66081.652	88.735%	15517.456	78.607%	0.53776	0.551
Eso-AdenoCA::SP111001	59462	0.652	44254.407	74.425%	11943.418	76.889%	0.4156	0.587
Eso-AdenoCA::SP111173	105594	0.612	104647.801	99.104%	22500.711	79.584%	0.65733	0.529
Eso-AdenoCA::SP111091	54578	0.64	44558.386	81.642%	10553.31	77.415%	0.47899	0.551
Eso-AdenoCA::SP111175	123973	0.599	108474.879	87.499%	30499.331	81.253%	0.55302	0.55
Eso-AdenoCA::SP111114	57609	0.695	38379.944	66.621%	9834.234	72.723%	0.34246	0.618
Head-SCC::SP30113	87623	0.768	53010.501	60.498%	8039.267	68.776%	0.27214	0.456
Head-SCC::SP30332	52507	0.797	29181.462	55.576%	4465.029	65.264%	0.2307	0.511
Head-SCC::SP30675	63185	0.774	37109.181	58.731%	5746.979	67.468%	0.26311	0.478
Liver-HCC::SP98090	63686	0.679	45817.703	71.943%	6893.18	80.993%	0.3624	0.25
Lung-AdenoCA::SP53460	53534	0.719	37988.726	70.962%	5808.279	71.83%	0.3528	0.435
Lung-AdenoCA::SP54113	110327	0.775	66524.469	60.298%	10194.523	66.553%	0.26846	0.5
Lung-AdenoCA::SP55235	113803	0.773	70124.976	61.62%	10582.764	66.549%	0.27024	0.5
Lung-AdenoCA::SP50611	53404	0.688	41599.905	77.897%	6227.045	74.907%	0.41416	0.394
Lung-AdenoCA::SP55142	157043	0.777	97390.848	62.015%	15010.686	65.266%	0.26739	0.543
Lung-AdenoCA::SP53618	61322	0.687	46830.734	76.369%	7246.111	74.715%	0.41004	0.403
Lung-AdenoCA::SP53810	185584	0.645	161049.921	86.78%	24696.839	78.16%	0.50991	0.373
Lung-AdenoCA::SP55509	66135	0.703	48010.014	72.594%	7559.825	73.101%	0.38495	0.425
Lung-SCC::SP56553	133882	0.605	100598.969	75.14%	23153.776	80.094%	0.50526	0.438
Lung-SCC::SP57941	75502	0.722	51907.263	68.75%	8122.748	71.654%	0.33869	0.438
Lung-SCC::SP57818	50099	0.715	36764.829	73.384%	5636.295	71.425%	0.37926	0.455
Lung-SCC::SP56704	53748	0.768	32555.272	60.57%	4915.748	69.174%	0.26499	0.448
Lung-SCC::SP59245	55120	0.781	32591.9	59.129%	5364.624	64.544%	0.246	0.576
Lung-SCC::SP57933	57547	0.777	33612.097	58.408%	5279.292	66.562%	0.2537	0.501
Lung-SCC::SP57669	50722	0.784	28536.624	56.261%	4453.626	67.233%	0.23313	0.48
Lung-SCC::SP58342	74224	0.784	41930.213	56.491%	6652.986	65.991%	0.2426	0.507
Lung-SCC::SP57619	53782	0.759	32129.282	59.74%	5159.554	68.523%	0.27616	0.468
Lung-SCC::SP58245	59177	0.792	32832.668	55.482%	5084.503	66.016%	0.22894	0.497
Lung-SCC::SP57251	52103	0.808	28121.211	53.972%	4422.761	63.24%	0.21438	0.566
Lung-SCC::SP58668	65970	0.792	37207.677	56.401%	5682.965	66.448%	0.23837	0.495
Lung-SCC::SP58326	71525	0.762	43728.824	61.138%	6702.431	69.176%	0.2762	0.451
Lung-SCC::SP57267	51391	0.788	28213.212	54.899%	4496.574	65.915%	0.2322	0.499
Lung-SCC::SP57066	57913	0.78	33961.563	58.642%	5225.081	66.323%	0.26178	0.497
