Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.999	1989.442	4.769%	281.73	4.473%	0.00224	0.998
LUAD.US_SP50263	10434	0.98	1674.91	16.052%	274.254	20.116%	0.02154	0.95
LUAD.US_SP50317	16308	0.978	3656.553	22.422%	675.081	20.898%	0.037	0.97
LUAD.US_SP54113	115787	0.998	6738.23	5.82%	984.06	6.002%	0.00321	0.996
LUSC.US_SP56537	42426	0.997	3192.382	7.525%	479.529	8.16%	0.00431	0.993
LUAD.US_SP50406	589	0.918	239.585	40.677%	38.295	39.687%	0.15191	0.863
LUSC.US_SP57586	37122	0.996	2846.113	7.667%	418.899	8.85%	0.00586	0.989
LUAD.US_SP51824	25038	0.995	2290.987	9.15%	337.085	9.766%	0.00684	0.99
LUAD.US_SP55387	21117	0.996	1857.432	8.796%	285.086	8.815%	0.0073	0.993
LUAD.US_SP52779	39966	0.999	1955.565	4.893%	301.396	4.955%	0.00246	0.998
LUSC.US_SP56541	45256	0.993	4381.104	9.681%	825.157	11.92%	0.01184	0.987
LUSC.US_SP56553	136115	0.981	19647.335	14.434%	5574.629	19.168%	0.01504	0.976
LUAD.US_SP55235	118001	0.997	8782.311	7.443%	1304.97	7.8%	0.00428	0.994
LUAD.US_SP50713	14434	0.994	1729.83	11.984%	281.141	11.502%	0.01216	0.99
LUSC.US_SP56771	12547	0.992	1568.181	12.498%	205.32	12.916%	0.01162	0.979
LUSC.US_SP57941	78839	0.999	3175.196	4.027%	503.812	4.19%	0.00132	0.999
LUAD.US_SP50611	55884	0.998	3402.373	6.088%	501.068	5.649%	0.0036	0.997
LUSC.US_SP57818	52897	0.998	3270.601	6.183%	513.013	6.033%	0.00363	0.997
LUAD.US_SP50485	2336	0.973	512.712	21.948%	78.729	22.968%	0.04472	0.948
LUSC.US_SP56460	31065	0.987	4132.065	13.301%	765.49	16.144%	0.01404	0.977
LUSC.US_SP56474	18429	0.992	2404.727	13.049%	397.759	12.843%	0.01445	0.988
LUAD.US_SP51037	4295	0.954	1214.96	28.288%	194.97	30.089%	0.06679	0.913
LUSC.US_SP56704	55115	0.996	4660.876	8.457%	663.493	9.038%	0.0067	0.99
LUAD.US_SP55142	164754	0.999	8811.252	5.348%	1288.873	5.296%	0.0023	0.997
LUSC.US_SP56533	22409	0.997	1707.507	7.62%	223.174	7.851%	0.0053	0.992
LUSC.US_SP56730	37044	0.998	2435.276	6.574%	340.717	7.081%	0.00424	0.994
LUSC.US_SP59245	57083	0.999	2824.569	4.948%	423.475	4.933%	0.00238	0.998
LUAD.US_SP53387	43727	0.958	8976.729	20.529%	2322.645	28.976%	0.03521	0.939
LUSC.US_SP57024	24042	0.998	1609.361	6.694%	225.619	7.224%	0.0042	0.994
LUAD.US_SP54745	48462	0.994	4541.459	9.371%	1010.587	10.86%	0.00565	0.992
LUSC.US_SP57933	59223	0.995	6065.93	10.243%	870.347	10.629%	0.00761	0.988
LUSC.US_SP56754	31709	0.998	2012.94	6.348%	303.728	6.823%	0.00347	0.995
LUSC.US_SP56827	47146	0.997	3500.93	7.426%	510.062	7.643%	0.00517	0.994
LUAD.US_SP52284	5275	0.988	685.279	12.991%	108.986	15.62%	0.01553	0.97
LUAD.US_SP53618	63860	0.999	2677.69	4.193%	376.766	3.672%	0.00177	0.999
LUAD.US_SP52232	27021	0.995	2523.559	9.339%	398.21	10.044%	0.00644	0.991
LUAD.US_SP50412	2115	0.963	506.486	23.947%	75.561	27.012%	0.04734	0.905
LUSC.US_SP57084	43797	0.997	2947.379	6.73%	470.381	8.216%	0.0041	0.991
LUAD.US_SP50321	13161	0.998	940.774	7.148%	135.931	6.901%	0.00495	0.996
LUAD.US_SP53548	10145	0.944	2576.698	25.399%	728.395	32.98%	0.04329	0.928
LUSC.US_SP57538	41072	0.994	3984.49	9.701%	582.058	11.142%	0.0082	0.982
LUSC.US_SP57735	45636	0.998	2511.677	5.504%	368.91	5.991%	0.00268	0.996
