NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	8356.005	13.7	2036.625	13.345	0.023	0.981	50000.0
2	8375.659	13.731	2047.042	13.406	0.023	0.981	70000.0
3	8350.123	13.692	2041.48	13.382	0.023	0.981	90000.0
4	8373.572	13.729	2047.467	13.411	0.023	0.981	70000.0
5	8395.137	13.763	2049.178	13.426	0.023	0.981	50000.0
6	8384.969	13.746	2047.978	13.411	0.023	0.981	40000.0
7	8367.69	13.722	2045.895	13.404	0.023	0.981	60000.0
8	8372.323	13.729	2038.905	13.367	0.023	0.981	80000.0
9	8343.66	13.679	2032.94	13.319	0.023	0.981	80000.0
10	8390.91	13.76	2046.141	13.407	0.023	0.981	40000.0
11	8403.075	13.777	2052.187	13.439	0.023	0.981	100000.0
12	8414.984	13.798	2053.931	13.437	0.023	0.981	30000.0
13	8358.388	13.703	2038.941	13.36	0.023	0.981	100000.0
14	8383.211	13.744	2049.82	13.399	0.023	0.981	30000.0
15	8369.4	13.724	2046.681	13.389	0.023	0.981	160000.0
16	8367.838	13.722	2044.692	13.391	0.023	0.981	40000.0
17	8361.866	13.711	2040.321	13.359	0.023	0.981	40000.0
18	8365.364	13.718	2045.384	13.396	0.023	0.981	90000.0
19	8352.147	13.697	2040.537	13.364	0.023	0.981	100000.0
20	8390.946	13.76	2048.48	13.42	0.023	0.981	50000.0
21	8427.886	13.819	2055.419	13.467	0.023	0.981	70000.0
22	8361.524	13.709	2044.058	13.38	0.023	0.981	100000.0
23	8383.859	13.746	2043.764	13.386	0.023	0.981	30000.0
24	8401.062	13.776	2049.587	13.419	0.023	0.981	60000.0
25	8373.063	13.731	2047.192	13.43	0.023	0.981	60000.0
26	8361.848	13.714	2042.341	13.382	0.023	0.981	100000.0
27	8376.219	13.735	2045.317	13.399	0.023	0.981	70000.0
28	8360.393	13.709	2039.115	13.357	0.023	0.981	80000.0
29	8352.725	13.697	2039.579	13.353	0.023	0.981	100000.0
30	8377.154	13.737	2044.794	13.384	0.023	0.981	100000.0
31	8384.861	13.747	2047.538	13.411	0.023	0.981	60000.0
32	8375.471	13.734	2047.717	13.397	0.023	0.981	110000.0
33	8393.92	13.765	2053.297	13.457	0.023	0.981	50000.0
34	8390.507	13.756	2041.033	13.381	0.023	0.981	50000.0
35	8353.004	13.696	2040.844	13.368	0.023	0.981	50000.0
36	8364.659	13.718	2043.91	13.4	0.023	0.981	40000.0
37	8358.25	13.704	2036.424	13.354	0.023	0.981	60000.0
38	8415.338	13.796	2049.525	13.424	0.023	0.981	90000.0
39	8401.506	13.776	2052.824	13.452	0.023	0.981	50000.0
40	8370.101	13.727	2045.689	13.414	0.023	0.981	50000.0
41	8399.405	13.773	2051.661	13.438	0.023	0.981	30000.0
42	8391.214	13.758	2045.673	13.395	0.023	0.981	50000.0
43	8348.514	13.69	2039.438	13.36	0.023	0.981	40000.0
44	8394.896	13.766	2049.094	13.425	0.023	0.981	40000.0
45	8376.818	13.735	2043.458	13.369	0.023	0.981	40000.0
46	8340.241	13.675	2030.901	13.314	0.023	0.981	110000.0
47	8374.16	13.733	2046.244	13.409	0.023	0.981	130000.0
48	8359.82	13.709	2040.375	13.383	0.023	0.981	60000.0
49	8362.75	13.71	2045.295	13.403	0.023	0.981	80000.0
50	8332.353	13.661	2035.609	13.329	0.023	0.981	80000.0
