Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.973	40322.998	19.524%	7691.259	23.072%	0.03258	0.955
Bladder-TCC::SP1059	59185	0.989	10094.041	17.055%	1700.392	15.003%	0.02288	0.985
Bladder-TCC::SP96136	51896	0.989	9721.188	18.732%	2072.11	15.043%	0.0298	0.987
Breast-AdenoCA::SP117369	55654	0.991	9023.843	16.214%	3392.094	14.854%	0.02223	0.99
Breast-AdenoCA::SP2293	65065	0.999	4693.055	7.213%	1305.936	5.024%	0.00977	0.999
CNS-GBM::SP25494	245043	0.762	208569.441	85.115%	48522.981	64.996%	0.54245	0.726
ColoRect-AdenoCA::SP18310	108227	0.958	28492.9	26.327%	6578.63	28.553%	0.05027	0.946
ColoRect-AdenoCA::SP17172	124362	0.972	24744.627	19.897%	5519.033	23.495%	0.03032	0.96
ColoRect-AdenoCA::SP96133	81348	0.991	10548.72	12.967%	1758.001	13.252%	0.01491	0.986
ColoRect-AdenoCA::SP110242	113975	0.981	19968.388	17.52%	3849.31	19.824%	0.03	0.971
ColoRect-AdenoCA::SP21017	88434	0.982	13677.725	15.467%	3051.666	18.975%	0.02159	0.974
ColoRect-AdenoCA::SP22383	97478	0.987	15196.623	15.59%	2469.62	15.908%	0.02432	0.978
ColoRect-AdenoCA::SP81312	807487	0.962	241569.914	29.916%	76873.693	27.8%	0.09532	0.958
ColoRect-AdenoCA::SP22031	234231	0.999	21435.68	9.152%	4768.951	5.057%	0.01252	0.999
ColoRect-AdenoCA::SP19215	94904	0.982	16271.755	17.145%	3013.579	19.007%	0.03031	0.972
ColoRect-AdenoCA::SP16886	849282	0.993	137688.872	16.212%	38316.886	11.626%	0.02793	0.993
ColoRect-AdenoCA::SP19295	259867	0.996	36621.762	14.093%	10388.65	10.019%	0.01988	0.996
ColoRect-AdenoCA::SP17905	2432617	0.991	524672.656	21.568%	106524.527	13.646%	0.04761	0.99
ColoRect-AdenoCA::SP18121	161139	0.949	41171.761	25.55%	8381.337	31.686%	0.05241	0.915
ColoRect-AdenoCA::SP21400	793040	0.966	245820.011	30.997%	61048.688	26.094%	0.08152	0.961
ColoRect-AdenoCA::SP18946	960813	0.997	136955.793	14.254%	28764.543	8.426%	0.01991	0.997
ColoRect-AdenoCA::SP80615	2426469	0.993	361840.751	14.912%	100880.119	11.779%	0.02185	0.992
