NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2459.365	9.747	367.832	9.903	0.013	0.985	230000.0
2	2482.183	9.855	369.276	9.952	0.014	0.985	510000.0
3	2461.034	9.858	366.118	9.995	0.014	0.984	650000.0
4	2456.681	9.814	370.065	10.081	0.013	0.984	570000.0
5	2432.929	9.78	364.203	9.993	0.014	0.984	420000.0
6	2431.118	9.778	367.091	9.979	0.013	0.985	190000.0
7	2441.432	9.766	365.872	9.958	0.014	0.984	300000.0
8	2436.292	9.72	363.862	9.854	0.013	0.985	550000.0
9	2456.852	9.857	370.241	10.069	0.014	0.985	460000.0
10	2441.596	9.697	365.954	9.898	0.013	0.985	230000.0
11	2476.283	9.808	369.45	10.089	0.013	0.984	430000.0
12	2456.179	9.676	365.558	9.801	0.013	0.985	280000.0
13	2472.375	9.859	371.641	9.992	0.014	0.985	390000.0
14	2488.933	9.962	373.413	10.106	0.014	0.985	350000.0
15	2474.103	9.832	371.173	10.056	0.014	0.985	340000.0
16	2450.362	9.83	366.885	10.038	0.014	0.984	380000.0
17	2445.263	9.827	368.368	10.045	0.014	0.985	250000.0
18	2467.871	9.816	368.895	9.98	0.014	0.985	630000.0
19	2499.633	9.754	373.458	9.981	0.013	0.985	260000.0
20	2470.487	9.78	369.46	9.921	0.013	0.985	400000.0
21	2440.899	9.875	368.774	10.082	0.014	0.985	330000.0
22	2475.695	9.858	369.563	10.065	0.014	0.984	340000.0
23	2461.999	9.834	370.819	10.025	0.013	0.984	390000.0
24	2471.687	9.882	368.941	10.057	0.014	0.984	330000.0
25	2462.646	9.776	367.304	9.917	0.013	0.985	640000.0
26	2432.68	9.669	362.237	9.82	0.013	0.985	490000.0
27	2452.57	9.795	369.898	10.114	0.013	0.984	160000.0
28	2474.691	9.833	370.029	10.046	0.013	0.985	560000.0
29	2436.501	9.676	363.21	9.805	0.013	0.985	330000.0
30	2468.921	9.694	369.189	9.981	0.013	0.985	620000.0
31	2463.494	9.808	366.759	9.98	0.013	0.984	520000.0
32	2466.441	9.853	368.733	9.978	0.013	0.985	410000.0
33	2478.646	9.776	370.797	9.962	0.013	0.985	260000.0
34	2478.957	9.827	374.058	10.04	0.014	0.985	260000.0
35	2458.873	9.807	369.852	10.077	0.014	0.984	470000.0
36	2451.874	9.86	366.387	9.995	0.014	0.984	780000.0
37	2452.891	9.706	369.293	9.898	0.013	0.985	370000.0
38	2466.246	9.842	369.212	9.989	0.013	0.984	440000.0
39	2513.071	9.909	374.661	9.994	0.013	0.985	350000.0
40	2462.514	9.873	369.552	9.995	0.014	0.984	340000.0
41	2480.178	9.912	372.213	10.095	0.014	0.984	350000.0
42	2436.848	9.691	361.803	9.744	0.013	0.986	490000.0
43	2471.768	9.847	373.678	10.084	0.014	0.985	740000.0
44	2465.369	9.837	367.088	9.928	0.014	0.985	490000.0
45	2480.453	9.833	372.636	10.059	0.014	0.985	500000.0
46	2492.556	9.841	374.26	9.932	0.014	0.986	230000.0
47	2453.459	9.738	368.394	9.88	0.013	0.985	180000.0
48	2473.36	9.625	369.096	9.827	0.013	0.986	310000.0
49	2468.03	9.844	372.347	9.959	0.014	0.985	360000.0
50	2465.818	9.885	368.471	10.01	0.014	0.985	560000.0
51	2461.318	9.699	370.133	9.93	0.013	0.985	390000.0
52	2456.671	9.72	370.096	9.922	0.013	0.985	300000.0
53	2450.761	9.747	368.654	9.879	0.013	0.985	280000.0
54	2473.103	9.864	368.609	10.005	0.013	0.985	490000.0
55	2468.398	9.702	369.658	9.872	0.013	0.985	570000.0
56	2449.592	9.786	369.005	9.998	0.014	0.985	240000.0
57	2469.393	9.843	369.237	10.035	0.013	0.984	600000.0
58	2492.046	9.887	370.747	10.017	0.014	0.985	390000.0
59	2452.938	9.764	368.13	9.95	0.014	0.985	580000.0
60	2470.46	9.871	368.568	10.028	0.014	0.985	590000.0
61	2447.812	9.707	367.499	9.89	0.013	0.985	270000.0
62	2475.787	9.869	369.481	10.031	0.014	0.985	250000.0
63	2488.971	9.863	375.299	10.093	0.013	0.984	450000.0
64	2468.486	9.799	370.737	9.992	0.013	0.985	200000.0
65	2452.77	9.866	366.778	10.072	0.014	0.985	220000.0
66	2449.591	9.758	363.894	9.814	0.013	0.985	220000.0
67	2446.309	9.673	363.114	9.829	0.014	0.985	280000.0
68	2471.205	9.947	369.621	10.127	0.014	0.984	400000.0
69	2486.385	9.848	370.881	10.001	0.014	0.985	410000.0
70	2456.961	9.82	369.635	10.121	0.014	0.984	350000.0
71	2458.081	9.892	369.338	10.061	0.014	0.984	610000.0
72	2448.368	9.898	363.792	9.961	0.014	0.985	500000.0
73	2462.445	9.693	368.464	9.871	0.013	0.985	330000.0
74	2444.146	9.687	364.119	9.838	0.013	0.985	360000.0
75	2444.729	9.799	365.849	9.876	0.014	0.985	230000.0
76	2460.782	9.844	367.897	9.954	0.013	0.985	400000.0
77	2475.379	9.857	370.052	9.982	0.013	0.985	710000.0
78	2450.848	9.748	368.428	9.915	0.013	0.985	410000.0
79	2471.377	9.885	371.696	10.083	0.014	0.985	400000.0
80	2475.436	9.782	370.213	9.984	0.014	0.985	360000.0
81	2474.701	9.993	371.912	10.15	0.014	0.984	510000.0
82	2455.472	9.742	368.081	9.897	0.013	0.985	410000.0
83	2441.832	9.837	363.998	9.978	0.014	0.985	410000.0
84	2439.434	9.735	363.545	9.859	0.013	0.985	400000.0
85	2465.467	9.753	368.922	9.962	0.013	0.985	470000.0
86	2477.725	9.896	369.751	10.096	0.014	0.984	320000.0
87	2464.623	9.721	366.641	9.781	0.013	0.986	510000.0
88	2474.771	9.847	369.603	10.011	0.014	0.984	390000.0
89	2461.47	9.813	370.372	10.055	0.013	0.984	180000.0
90	2459.816	9.716	368.376	9.848	0.013	0.986	260000.0
91	2444.335	9.834	364.467	9.976	0.014	0.985	290000.0
92	2453.812	9.81	365.744	9.934	0.014	0.984	280000.0
93	2453.387	9.869	366.615	10.028	0.014	0.984	260000.0
94	2433.811	9.642	362.682	9.839	0.013	0.985	270000.0
95	2455.009	9.747	368.875	9.989	0.013	0.985	250000.0
96	2475.667	9.936	369.451	10.207	0.014	0.983	460000.0
97	2453.338	9.7	366.142	9.83	0.013	0.985	260000.0
98	2457.672	9.818	367.161	9.953	0.014	0.985	340000.0
99	2473.791	9.799	372.703	10.001	0.014	0.985	560000.0
100	2467.457	9.79	370.457	10.021	0.013	0.985	660000.0
