Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.999	1630.269	3.908%	232.74	3.695%	0.00179	0.999
LUAD.US_SP50263	10434	0.995	1030.038	9.872%	137.681	10.099%	0.01058	0.988
LUAD.US_SP50317	16308	0.996	1786.805	10.957%	273.05	8.453%	0.01274	0.995
LUAD.US_SP54113	115787	0.998	6353.822	5.488%	939.95	5.733%	0.00293	0.997
LUSC.US_SP56537	42426	0.999	1872.354	4.413%	257.485	4.382%	0.00187	0.998
LUAD.US_SP50406	589	0.956	205.418	34.876%	28.656	29.697%	0.11874	0.929
LUSC.US_SP57586	37122	0.997	2343.383	6.313%	344.19	7.271%	0.00375	0.993
LUAD.US_SP51824	25038	0.998	1618.471	6.464%	212.499	6.157%	0.00414	0.996
LUAD.US_SP55387	21117	0.997	1735.617	8.219%	268.034	8.288%	0.00637	0.994
LUAD.US_SP52779	39966	0.999	1754.301	4.389%	265.915	4.372%	0.00218	0.998
LUSC.US_SP56541	45256	0.999	2029.31	4.484%	302.867	4.375%	0.00183	0.998
LUSC.US_SP56553	136115	1.0	4944.265	3.632%	886.816	3.049%	0.00116	0.999
LUAD.US_SP55235	118001	0.999	6180.622	5.238%	832.362	4.975%	0.00242	0.997
LUAD.US_SP50713	14434	0.996	1446.396	10.021%	230.968	9.449%	0.01021	0.993
LUSC.US_SP56771	12547	0.993	1434.071	11.43%	188.004	11.826%	0.01061	0.981
LUSC.US_SP57941	78839	1.0	2662.769	3.377%	363.519	3.024%	0.00105	0.999
LUAD.US_SP50611	55884	0.999	3124.702	5.591%	475.619	5.363%	0.00282	0.998
LUSC.US_SP57818	52897	0.999	2213.265	4.184%	315.028	3.705%	0.00186	0.999
LUAD.US_SP50485	2336	0.985	428.863	18.359%	60.961	17.784%	0.02823	0.971
LUSC.US_SP56460	31065	0.998	2287.23	7.363%	329.369	6.946%	0.00516	0.996
LUSC.US_SP56474	18429	0.997	1816.869	9.859%	254.531	8.218%	0.00968	0.995
LUAD.US_SP51037	4295	0.983	829.237	19.307%	121.949	18.82%	0.03281	0.97
LUSC.US_SP56704	55115	0.998	3623.041	6.574%	479.016	6.525%	0.00395	0.995
LUAD.US_SP55142	164754	0.999	8638.307	5.243%	1273.256	5.232%	0.00222	0.997
LUSC.US_SP56533	22409	0.998	1450.896	6.475%	189.03	6.649%	0.00427	0.994
LUSC.US_SP56730	37044	0.998	1966.411	5.308%	281.165	5.844%	0.00283	0.996
LUSC.US_SP59245	57083	0.999	2698.697	4.728%	375.617	4.376%	0.00224	0.998
LUAD.US_SP53387	43727	0.999	2217.405	5.071%	303.509	3.786%	0.00306	0.999
LUSC.US_SP57024	24042	0.998	1531.802	6.371%	205.267	6.572%	0.00387	0.995
LUAD.US_SP54745	48462	0.999	2817.852	5.815%	470.754	5.059%	0.00289	0.998
LUSC.US_SP57933	59223	0.998	3925.495	6.628%	512.306	6.256%	0.00414	0.996
LUSC.US_SP56754	31709	0.999	1639.142	5.169%	227.669	5.115%	0.00229	0.997
LUSC.US_SP56827	47146	0.999	2322.797	4.927%	318.167	4.767%	0.00241	0.998
LUAD.US_SP52284	5275	0.987	706.855	13.4%	112.506	16.125%	0.0161	0.968
LUAD.US_SP53618	63860	0.999	2377.298	3.723%	328.275	3.199%	0.00145	0.999
LUAD.US_SP52232	27021	0.996	2203.325	8.154%	336.386	8.485%	0.006	0.993
LUAD.US_SP50412	2115	0.974	458.86	21.696%	63.705	22.774%	0.04042	0.934
LUSC.US_SP57084	43797	0.999	2294.32	5.239%	306.813	5.359%	0.00213	0.996
LUAD.US_SP50321	13161	0.998	939.782	7.141%	132.928	6.749%	0.00503	0.996
LUAD.US_SP53548	10145	0.946	2419.914	23.853%	719.305	32.568%	0.04035	0.93
LUSC.US_SP57538	41072	0.997	2949.371	7.181%	400.447	7.666%	0.00444	0.992
LUSC.US_SP57735	45636	0.999	1957.438	4.289%	271.333	4.407%	0.00172	0.998
LUSC.US_SP57669	53166	0.998	3273.967	6.158%	420.035	5.91%	0.00347	0.996
LUSC.US_SP56566	23601	0.999	1429.425	6.057%	208.141	4.056%	0.00393	0.999
LUSC.US_SP56569	36480	0.999	1913.368	5.245%	255.766	5.266%	0.00263	0.997
LUSC.US_SP58342	75956	0.999	2598.939	3.422%	360.172	3.484%	0.00095	0.999
LUSC.US_SP58349	48348	0.995	4374.707	9.048%	608.387	10.142%	0.00922	0.987
LUSC.US_SP56644	49921	0.999	2504.617	5.017%	336.405	5.092%	0.00223	0.997
LUSC.US_SP57629	31808	0.99	3794.434	11.929%	572.605	13.789%	0.0112	0.975
LUSC.US_SP56941	5390	0.996	786.302	14.588%	132.479	9.789%	0.02441	0.996
LUSC.US_SP57619	57322	0.999	2512.294	4.383%	375.863	4.53%	0.00214	0.998
LUSC.US_SP58245	61592	0.997	4377.216	7.107%	652.823	8.036%	0.00442	0.992
LUSC.US_SP57251	54237	0.999	2827.159	5.213%	400.054	5.474%	0.00238	0.996
LUAD.US_SP55004	570	0.952	179.884	31.559%	25.32	30.805%	0.09776	0.902
LUAD.US_SP56079	50203	0.997	3657.342	7.285%	533.66	7.115%	0.00462	0.995
LUSC.US_SP56502	46994	0.999	1860.508	3.959%	253.939	3.906%	0.00144	0.998
LUSC.US_SP58668	67884	0.998	3406.211	5.018%	495.4	5.588%	0.00211	0.996
LUSC.US_SP58101	41126	0.998	2319.359	5.64%	308.484	5.937%	0.00308	0.995
LUSC.US_SP58991	29212	0.996	2538.352	8.689%	347.487	9.266%	0.00556	0.988
LUSC.US_SP56607	21751	0.998	1509.99	6.942%	189.41	6.8%	0.00459	0.994
LUAD.US_SP56168	33369	1.0	1144.999	3.431%	164.321	1.786%	0.00166	1.0
LUSC.US_SP58326	73524	0.999	3283.601	4.466%	461.157	4.593%	0.00177	0.998
LUAD.US_SP54363	44564	0.999	2046.218	4.592%	302.775	4.299%	0.00196	0.998
LUAD.US_SP53810	190653	0.998	13268.451	6.959%	2253.807	6.91%	0.00427	0.996
LUAD.US_SP50518	6391	0.995	607.734	9.509%	85.723	10.235%	0.01213	0.987
LUAD.US_SP56303	15937	0.974	3164.055	19.854%	493.751	22.511%	0.03211	0.942
LUSC.US_SP57267	53600	0.999	2942.198	5.489%	385.128	5.329%	0.0027	0.997
LUAD.US_SP55711	7929	0.996	801.71	10.111%	109.432	9.152%	0.009	0.993
LUSC.US_SP57066	59660	0.998	4084.312	6.846%	567.091	6.93%	0.00364	0.995
LUSC.US_SP57901	30138	0.997	2164.615	7.182%	300.543	7.788%	0.00481	0.992
LUAD.US_SP55509	68492	0.999	3264.591	4.766%	456.893	4.218%	0.00194	0.999
LUSC.US_SP57651	18722	0.997	1530.492	8.175%	196.73	8.242%	0.00563	0.991
LUAD.US_SP55309	1812	0.967	484.545	26.741%	74.275	25.726%	0.0654	0.944
LUAD.US_SP52607	4036	0.988	673.334	16.683%	96.232	15.755%	0.02591	0.977
LUAD.US_SP52667	34791	0.996	3163.0	9.091%	465.134	8.803%	0.00621	0.994
LUSC.US_SP57450	25474	0.999	1558.873	6.119%	241.119	4.825%	0.004	0.998
LUSC.US_SP57846	55087	0.999	2693.743	4.89%	380.125	4.049%	0.00241	0.999
