Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Stomach-AdenoCA::SP84491	64707	0.994	12777.189	19.746%	2304.788	13.136%	0.0475	0.994
Stomach-AdenoCA::SP84743	60006	0.982	18066.14	30.107%	2901.944	21.894%	0.09086	0.979
Stomach-AdenoCA::SP84982	64043	0.967	16115.031	25.163%	2772.632	27.313%	0.05735	0.948
Stomach-AdenoCA::SP84392	104620	0.966	27510.373	26.296%	4540.201	27.253%	0.07229	0.946
Stomach-AdenoCA::SP105018	58804	0.932	21748.998	36.986%	2920.117	40.14%	0.14028	0.843
Stomach-AdenoCA::SP84439	389215	0.918	147971.316	38.018%	25108.04	42.773%	0.14745	0.86
Stomach-AdenoCA::SP84922	68029	0.995	14722.676	21.642%	2570.851	13.156%	0.05149	0.994
Uterus-AdenoCA::SP90209	549929	0.977	167566.957	30.471%	29467.455	21.191%	0.13784	0.973
Uterus-AdenoCA::SP93540	65697	0.988	12610.172	19.194%	1809.18	15.465%	0.04726	0.983
Uterus-AdenoCA::SP93227	928218	0.885	509997.667	54.944%	93827.565	48.04%	0.36361	0.85
Uterus-AdenoCA::SP94933	62442	0.958	18119.489	29.018%	2878.01	29.929%	0.06628	0.928
Uterus-AdenoCA::SP92364	115351	0.977	26581.186	23.044%	4603.55	22.789%	0.08117	0.967
Uterus-AdenoCA::SP92659	282262	0.999	28902.44	10.24%	5413.044	4.27%	0.02482	0.999
