NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7777.471	12.761	1888.811	12.462	0.019	0.984	60000.0
2	7834.266	12.853	1896.758	12.56	0.019	0.983	40000.0
3	7785.517	12.775	1894.883	12.507	0.019	0.984	60000.0
4	7802.734	12.803	1899.214	12.528	0.019	0.984	50000.0
5	7845.864	12.874	1898.294	12.553	0.019	0.984	40000.0
6	7797.834	12.794	1895.683	12.502	0.019	0.984	70000.0
7	7794.397	12.792	1895.324	12.512	0.019	0.984	30000.0
8	7810.21	12.817	1889.897	12.514	0.019	0.984	50000.0
9	7779.501	12.764	1885.627	12.441	0.019	0.984	60000.0
10	7811.532	12.82	1897.726	12.529	0.019	0.984	160000.0
11	7816.207	12.825	1901.682	12.538	0.019	0.984	60000.0
12	7836.06	12.858	1902.55	12.54	0.019	0.984	40000.0
13	7787.518	12.776	1891.194	12.485	0.019	0.984	70000.0
14	7807.038	12.81	1899.661	12.509	0.019	0.984	70000.0
15	7810.915	12.818	1898.984	12.513	0.019	0.984	150000.0
16	7802.449	12.805	1895.177	12.511	0.019	0.984	70000.0
17	7790.478	12.783	1890.294	12.476	0.019	0.984	60000.0
18	7792.312	12.788	1895.712	12.508	0.019	0.984	70000.0
19	7777.489	12.765	1889.469	12.465	0.019	0.984	80000.0
20	7824.899	12.842	1900.086	12.538	0.019	0.984	120000.0
21	7845.04	12.874	1903.478	12.566	0.019	0.984	70000.0
22	7797.262	12.794	1896.362	12.503	0.019	0.984	70000.0
23	7807.031	12.81	1894.876	12.502	0.019	0.984	110000.0
24	7786.104	12.75	1944.796	12.51	0.02	0.983	90000.0
25	7754.736	12.7	1938.392	12.487	0.02	0.983	50000.0
26	7795.116	12.794	1893.636	12.497	0.019	0.984	60000.0
27	7753.675	12.697	1939.784	12.48	0.02	0.983	60000.0
28	7809.831	12.816	1888.386	12.488	0.019	0.984	90000.0
29	7823.263	12.838	1889.733	12.516	0.019	0.983	70000.0
30	7805.517	12.809	1896.817	12.503	0.019	0.984	250000.0
31	7823.51	12.837	1899.49	12.538	0.019	0.984	150000.0
32	7806.04	12.811	1900.169	12.519	0.019	0.984	110000.0
33	7813.859	12.823	1904.134	12.567	0.019	0.984	60000.0
34	7800.459	12.798	1890.198	12.484	0.019	0.984	40000.0
35	7779.777	12.766	1891.576	12.479	0.019	0.984	50000.0
36	7787.798	12.782	1894.448	12.514	0.019	0.984	100000.0
37	7781.99	12.77	1888.017	12.468	0.019	0.984	40000.0
38	7813.618	12.819	1898.321	12.512	0.019	0.984	110000.0
39	7808.635	12.815	1902.667	12.547	0.019	0.984	60000.0
40	7799.191	12.801	1896.851	12.527	0.019	0.984	80000.0
41	7818.354	12.83	1899.11	12.534	0.019	0.984	70000.0
42	7801.796	12.801	1894.36	12.492	0.019	0.984	80000.0
43	7803.282	12.806	1888.329	12.484	0.019	0.984	60000.0
44	7804.55	12.808	1897.61	12.518	0.019	0.984	80000.0
45	7797.794	12.795	1893.904	12.486	0.019	0.984	90000.0
46	7704.754	12.617	1921.28	12.363	0.02	0.983	60000.0
47	7797.335	12.797	1897.635	12.53	0.019	0.984	70000.0
48	7772.904	12.757	1889.127	12.483	0.019	0.984	70000.0
49	7796.783	12.793	1897.526	12.533	0.019	0.984	70000.0
50	7783.874	12.773	1884.858	12.458	0.019	0.984	100000.0
