Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.999	1552.566	3.721%	223.664	3.551%	0.0016	0.999
LUAD.US_SP50263	10434	0.996	900.513	8.631%	119.53	8.767%	0.00678	0.99
LUAD.US_SP50317	16308	0.999	1032.2	6.329%	145.39	4.501%	0.0046	0.999
LUAD.US_SP54113	115787	0.999	5083.326	4.39%	726.767	4.433%	0.00186	0.998
LUSC.US_SP56537	42426	0.999	1758.065	4.144%	238.139	4.052%	0.00157	0.998
LUAD.US_SP50406	589	0.967	178.567	30.317%	24.574	25.467%	0.09863	0.946
LUSC.US_SP57586	37122	0.998	2097.435	5.65%	296.945	6.273%	0.0029	0.995
LUAD.US_SP51824	25038	0.998	1548.945	6.186%	202.679	5.872%	0.00383	0.996
LUAD.US_SP55387	21117	0.997	1701.084	8.056%	262.749	8.124%	0.00599	0.994
LUAD.US_SP52779	39966	0.999	1485.547	3.717%	213.799	3.515%	0.00156	0.999
LUSC.US_SP56541	45256	0.999	1593.431	3.521%	223.928	3.235%	0.00119	0.999
LUSC.US_SP56553	136115	1.0	4757.569	3.495%	875.364	3.01%	0.00111	0.999
LUAD.US_SP55235	118001	0.999	4691.292	3.976%	660.585	3.948%	0.00139	0.998
LUAD.US_SP50713	14434	0.997	1384.933	9.595%	195.756	8.009%	0.00982	0.995
LUSC.US_SP56771	12547	0.995	1151.102	9.174%	157.085	9.881%	0.00732	0.986
LUSC.US_SP57941	78839	1.0	2490.706	3.159%	353.182	2.938%	0.00098	0.999
LUAD.US_SP50611	55884	0.999	2181.694	3.904%	320.758	3.616%	0.00171	0.999
LUSC.US_SP57818	52897	0.999	2033.972	3.845%	286.193	3.366%	0.00163	0.999
LUAD.US_SP50485	2336	0.992	295.645	12.656%	42.941	12.527%	0.01719	0.985
LUSC.US_SP56460	31065	0.999	1738.279	5.596%	234.093	4.937%	0.00317	0.998
LUSC.US_SP56474	18429	0.998	1309.342	7.105%	192.821	6.226%	0.00497	0.997
LUAD.US_SP51037	4295	0.989	661.224	15.395%	96.446	14.884%	0.02382	0.98
LUSC.US_SP56704	55115	0.998	3178.259	5.767%	434.319	5.916%	0.00334	0.996
LUAD.US_SP55142	164754	0.999	7270.3	4.413%	1025.28	4.213%	0.00178	0.998
LUSC.US_SP56533	22409	0.999	1131.358	5.049%	153.429	5.397%	0.00259	0.996
LUSC.US_SP56730	37044	0.999	1884.595	5.087%	260.478	5.414%	0.00236	0.996
LUSC.US_SP59245	57083	0.999	2280.022	3.994%	309.63	3.607%	0.0014	0.999
LUAD.US_SP53387	43727	0.999	2024.762	4.63%	279.539	3.487%	0.00243	0.999
LUSC.US_SP57024	24042	0.999	1112.803	4.629%	150.417	4.816%	0.00206	0.997
LUAD.US_SP54745	48462	0.999	2485.353	5.128%	431.2	4.634%	0.00263	0.999
LUSC.US_SP57933	59223	0.999	2469.789	4.17%	337.482	4.121%	0.00178	0.998
LUSC.US_SP56754	31709	0.999	1544.806	4.872%	202.645	4.553%	0.00209	0.998
LUSC.US_SP56827	47146	0.999	2249.737	4.772%	301.304	4.515%	0.0022	0.998
LUAD.US_SP52284	5275	0.987	708.961	13.44%	111.234	15.942%	0.01634	0.968
LUAD.US_SP53618	63860	1.0	2125.105	3.328%	284.033	2.768%	0.00123	0.999
LUAD.US_SP52232	27021	0.998	1711.131	6.333%	257.525	6.496%	0.00379	0.996
LUAD.US_SP50412	2115	0.976	418.239	19.775%	61.583	22.015%	0.03654	0.939
LUSC.US_SP57084	43797	0.999	2106.027	4.809%	293.581	5.128%	0.00197	0.997
LUAD.US_SP50321	13161	0.998	930.927	7.073%	132.041	6.704%	0.00484	0.996
LUAD.US_SP53548	10145	0.945	2498.69	24.63%	724.044	32.783%	0.04167	0.929
LUSC.US_SP57538	41072	0.998	2276.096	5.542%	330.706	6.331%	0.00322	0.994
LUSC.US_SP57735	45636	0.999	1813.842	3.975%	248.171	4.031%	0.00153	0.998
LUSC.US_SP57669	53166	0.998	3284.221	6.177%	420.967	5.924%	0.00347	0.996
LUSC.US_SP56566	23601	0.999	1204.86	5.105%	183.233	3.571%	0.0029	0.999
LUSC.US_SP56569	36480	0.999	1822.644	4.996%	244.398	5.032%	0.00238	0.997
