NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2141.083	8.566	321.093	8.682	0.011	0.988	600000.0
2	2171.024	8.7	321.579	8.694	0.011	0.988	300000.0
3	2162.895	8.787	321.642	8.775	0.012	0.988	410000.0
4	2152.414	8.669	322.993	8.771	0.011	0.987	590000.0
5	2120.093	8.58	316.125	8.679	0.011	0.988	240000.0
6	2132.532	8.65	319.575	8.715	0.011	0.988	420000.0
7	2136.856	8.658	319.69	8.717	0.011	0.988	480000.0
8	2129.035	8.596	317.134	8.62	0.011	0.988	630000.0
9	2140.123	8.656	321.214	8.705	0.011	0.988	480000.0
10	2130.25	8.535	318.716	8.592	0.011	0.988	350000.0
11	2156.761	8.636	321.923	8.815	0.011	0.988	230000.0
12	2147.805	8.592	320.61	8.579	0.011	0.988	370000.0
13	2221.891	8.854	328.02	8.771	0.012	0.988	410000.0
14	2167.924	8.681	322.697	8.666	0.011	0.988	520000.0
15	2171.525	8.748	323.272	8.75	0.011	0.988	550000.0
16	2119.135	8.649	316.423	8.679	0.011	0.988	390000.0
17	2132.017	8.666	318.548	8.671	0.012	0.988	310000.0
18	2161.24	8.782	323.974	8.813	0.012	0.988	330000.0
19	2177.545	8.586	324.268	8.716	0.01	0.988	280000.0
20	2146.963	8.578	318.888	8.579	0.011	0.989	720000.0
21	2138.142	8.688	321.675	8.764	0.011	0.988	690000.0
22	2149.685	8.667	320.005	8.688	0.011	0.988	440000.0
23	2169.881	8.698	324.323	8.754	0.011	0.988	360000.0
24	2161.54	8.695	321.183	8.737	0.011	0.988	380000.0
25	2149.146	8.598	318.246	8.59	0.011	0.989	990000.0
26	2130.666	8.518	318.253	8.597	0.011	0.989	480000.0
27	2139.42	8.638	320.762	8.73	0.011	0.988	460000.0
28	2156.253	8.673	322.184	8.74	0.011	0.988	720000.0
29	2130.041	8.602	318.274	8.66	0.011	0.988	220000.0
30	2145.431	8.487	319.349	8.592	0.011	0.988	510000.0
31	2137.856	8.608	317.473	8.66	0.011	0.988	400000.0
32	2173.064	8.785	322.822	8.733	0.011	0.988	200000.0
33	2168.903	8.625	323.186	8.667	0.011	0.988	470000.0
34	2158.825	8.633	325.488	8.722	0.011	0.988	270000.0
35	2156.699	8.64	323.673	8.77	0.012	0.988	460000.0
36	2119.734	8.648	316.941	8.617	0.011	0.988	530000.0
37	2142.098	8.626	322.067	8.681	0.011	0.988	470000.0
38	2146.12	8.661	321.546	8.684	0.011	0.988	420000.0
39	2183.779	8.695	324.431	8.644	0.011	0.988	470000.0
40	2127.722	8.634	319.859	8.693	0.012	0.988	200000.0
41	2140.393	8.702	321.204	8.779	0.012	0.988	680000.0
42	2110.619	8.526	314.822	8.474	0.011	0.989	610000.0
43	2167.78	8.742	325.542	8.797	0.011	0.988	560000.0
44	2160.604	8.689	322.657	8.659	0.011	0.988	550000.0
45	2171.944	8.714	324.667	8.763	0.011	0.988	510000.0
46	2171.504	8.653	325.936	8.675	0.011	0.989	510000.0
47	2157.704	8.599	323.304	8.631	0.011	0.988	790000.0
48	2171.392	8.577	321.587	8.631	0.011	0.989	320000.0
49	2162.555	8.687	323.677	8.659	0.011	0.988	330000.0
50	2154.511	8.649	321.912	8.611	0.011	0.988	380000.0
51	2147.639	8.595	322.74	8.619	0.011	0.989	620000.0
52	2148.971	8.573	320.975	8.633	0.011	0.989	560000.0
53	2141.909	8.574	320.836	8.591	0.011	0.988	410000.0
54	2148.622	8.729	319.615	8.723	0.011	0.988	510000.0
55	2137.554	8.521	321.523	8.585	0.011	0.989	310000.0
56	2141.348	8.613	322.593	8.714	0.011	0.988	370000.0
57	2153.042	8.653	322.267	8.794	0.011	0.988	430000.0
58	2165.928	8.665	322.442	8.622	0.011	0.989	380000.0
59	2137.396	8.632	320.686	8.631	0.011	0.988	400000.0
60	2166.218	8.742	321.85	8.704	0.011	0.989	430000.0
61	2136.009	8.458	319.708	8.506	0.01	0.989	460000.0
62	2171.942	8.777	323.481	8.835	0.011	0.988	460000.0
63	2188.133	8.803	329.838	8.904	0.011	0.988	260000.0
64	2147.841	8.652	320.911	8.711	0.011	0.988	500000.0
65	2152.709	8.71	320.622	8.769	0.011	0.988	370000.0
66	2117.981	8.56	316.865	8.588	0.011	0.988	520000.0
67	2138.437	8.582	317.803	8.612	0.011	0.988	350000.0
68	2172.711	8.8	323.921	8.827	0.011	0.987	290000.0
69	2165.275	8.634	323.607	8.713	0.011	0.988	380000.0
70	2148.772	8.645	323.659	8.757	0.011	0.988	380000.0
71	2152.347	8.714	320.869	8.684	0.011	0.988	530000.0
72	2146.271	8.709	320.18	8.712	0.011	0.988	450000.0
73	2147.717	8.534	320.365	8.569	0.011	0.989	530000.0
74	2147.456	8.621	317.903	8.645	0.011	0.988	370000.0
75	2139.894	8.615	320.735	8.595	0.011	0.988	520000.0
76	2149.658	8.697	320.975	8.676	0.011	0.988	590000.0
77	2156.764	8.695	319.349	8.67	0.011	0.988	590000.0
78	2154.108	8.598	323.065	8.661	0.011	0.988	450000.0
79	2160.708	8.716	323.576	8.732	0.011	0.988	740000.0
80	2223.003	8.828	327.316	8.816	0.012	0.988	720000.0
81	2167.136	8.841	322.994	8.809	0.012	0.987	600000.0
82	2142.297	8.643	319.425	8.654	0.011	0.988	360000.0
83	2138.977	8.656	316.65	8.646	0.011	0.988	400000.0
84	2139.399	8.607	319.892	8.652	0.011	0.989	330000.0
85	2173.862	8.691	323.612	8.765	0.011	0.988	550000.0
86	2178.336	8.709	325.375	8.75	0.011	0.988	710000.0
87	2138.869	8.592	318.768	8.582	0.011	0.989	380000.0
88	2157.082	8.745	320.519	8.747	0.012	0.988	490000.0
89	2157.787	8.728	324.121	8.831	0.011	0.987	460000.0
90	2143.385	8.57	321.046	8.578	0.011	0.989	470000.0
91	2132.399	8.651	316.711	8.648	0.011	0.988	420000.0
92	2137.499	8.649	317.924	8.636	0.012	0.988	570000.0
93	2130.185	8.69	317.746	8.71	0.012	0.988	730000.0
94	2128.103	8.534	318.495	8.65	0.011	0.989	230000.0
95	2152.246	8.655	321.167	8.742	0.011	0.988	790000.0
96	2172.29	8.806	323.263	8.941	0.012	0.987	270000.0
97	2146.183	8.573	321.468	8.632	0.011	0.988	460000.0
98	2160.651	8.716	322.547	8.744	0.011	0.988	230000.0
99	2173.191	8.688	327.113	8.765	0.011	0.988	510000.0
100	2158.268	8.694	323.633	8.79	0.011	0.988	390000.0
