NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2717.313	10.58	409.193	10.932	0.015	0.982	290000.0
2	2749.391	10.723	411.752	11.029	0.016	0.981	430000.0
3	2723.076	10.667	409.248	11.002	0.016	0.981	170000.0
4	2723.178	10.593	411.431	11.036	0.015	0.981	360000.0
5	2688.836	10.535	403.674	10.93	0.015	0.981	170000.0
6	2694.371	10.614	406.797	10.972	0.015	0.981	320000.0
7	2700.256	10.559	407.442	10.973	0.016	0.981	340000.0
8	2863.253	11.099	491.545	12.038	0.016	0.979	320000.0
9	2887.027	11.268	495.937	12.302	0.016	0.978	480000.0
10	2704.443	10.485	408.424	10.897	0.015	0.982	170000.0
11	2728.233	10.561	409.245	11.048	0.015	0.981	220000.0
12	2722.223	10.454	407.594	10.762	0.014	0.982	250000.0
13	2887.218	11.198	492.533	12.045	0.016	0.979	450000.0
14	2748.779	10.761	413.7	11.039	0.015	0.982	170000.0
15	2720.83	10.594	410.081	10.999	0.016	0.982	650000.0
16	2874.2	11.193	491.08	12.173	0.016	0.978	600000.0
17	2860.669	11.213	494.349	12.251	0.017	0.978	370000.0
18	2715.43	10.631	410.019	11.014	0.016	0.981	290000.0
19	2739.152	10.527	412.832	10.986	0.014	0.982	320000.0
20	2898.18	11.157	496.702	12.068	0.015	0.979	200000.0
21	2870.01	11.299	494.78	12.322	0.016	0.978	180000.0
22	2740.356	10.639	413.68	11.039	0.015	0.981	660000.0
23	2722.82	10.618	410.89	11.001	0.015	0.981	300000.0
24	2731.067	10.647	409.232	10.971	0.015	0.981	150000.0
25	2720.693	10.516	408.179	10.843	0.015	0.982	430000.0
26	2855.793	11.039	486.237	11.933	0.015	0.98	280000.0
27	2705.651	10.543	409.226	11.037	0.015	0.981	220000.0
28	2891.225	11.195	494.826	12.194	0.016	0.979	400000.0
29	2861.245	11.028	489.052	11.926	0.016	0.979	340000.0
30	2890.807	11.06	495.18	12.138	0.015	0.978	340000.0
31	2883.578	11.162	493.034	12.123	0.016	0.978	280000.0
32	2883.654	11.295	492.308	12.168	0.016	0.979	260000.0
33	2738.069	10.541	411.778	10.922	0.015	0.982	100000.0
34	2732.321	10.652	413.339	10.991	0.015	0.981	230000.0
35	2887.86	11.269	496.621	12.317	0.016	0.978	330000.0
36	2848.489	11.212	487.741	12.108	0.016	0.978	300000.0
37	2871.966	11.064	492.496	11.983	0.016	0.98	190000.0
38	2853.33	11.203	484.819	12.107	0.016	0.978	570000.0
39	2919.425	11.32	501.0	12.28	0.016	0.978	250000.0
40	2720.725	10.631	410.519	10.936	0.016	0.981	170000.0
41	2897.027	11.328	497.022	12.307	0.016	0.978	430000.0
42	2679.521	10.427	402.011	10.694	0.015	0.983	180000.0
43	2735.138	10.687	413.217	11.036	0.015	0.982	170000.0
44	2736.466	10.673	408.338	10.891	0.016	0.982	370000.0
45	2890.394	11.155	496.799	12.142	0.016	0.979	760000.0
46	2750.003	10.591	413.874	10.869	0.015	0.983	170000.0
47	2859.7	11.078	490.561	12.002	0.015	0.979	490000.0
48	2893.084	10.98	493.936	11.934	0.015	0.98	260000.0
49	2897.111	11.248	498.711	12.121	0.016	0.979	230000.0
50	2710.501	10.635	407.85	10.92	0.016	0.982	570000.0
