Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.997	3853.174	9.236%	523.866	8.318%	0.00899	0.994
LUAD.US_SP50263	10434	0.921	2866.475	27.472%	532.979	39.094%	0.07745	0.785
LUAD.US_SP50317	16308	0.978	3507.658	21.509%	677.864	20.984%	0.03302	0.97
LUAD.US_SP54113	115787	0.998	7259.093	6.269%	1073.695	6.549%	0.00436	0.996
LUSC.US_SP56537	42426	0.996	3697.102	8.714%	532.427	9.06%	0.00632	0.991
LUAD.US_SP50406	589	0.701	356.168	60.47%	68.86	71.362%	0.34358	0.416
LUSC.US_SP57586	37122	0.995	3357.303	9.044%	480.42	10.15%	0.00847	0.986
LUAD.US_SP51824	25038	0.993	2910.15	11.623%	404.122	11.708%	0.01195	0.985
LUAD.US_SP55387	21117	0.996	1889.145	8.946%	283.027	8.751%	0.00814	0.994
LUAD.US_SP52779	39966	0.997	3060.733	7.658%	475.034	7.81%	0.00734	0.995
LUSC.US_SP56541	45256	0.992	4192.94	9.265%	874.024	12.626%	0.00685	0.986
LUSC.US_SP56553	136115	0.978	23145.353	17.004%	6118.69	21.039%	0.01788	0.971
LUAD.US_SP55235	118001	0.996	10526.011	8.92%	1546.878	9.246%	0.00747	0.991
LUAD.US_SP50713	14434	0.993	1800.007	12.471%	285.862	11.695%	0.01366	0.99
LUSC.US_SP56771	12547	0.985	2073.487	16.526%	280.374	17.637%	0.02182	0.958
LUSC.US_SP57941	78839	0.999	4180.727	5.303%	573.425	4.769%	0.00255	0.998
LUAD.US_SP50611	55884	0.997	4703.32	8.416%	691.476	7.796%	0.01073	0.995
LUSC.US_SP57818	52897	0.997	4933.83	9.327%	725.571	8.533%	0.00881	0.995
LUAD.US_SP50485	2336	0.838	1007.396	43.125%	187.103	54.584%	0.169	0.651
LUSC.US_SP56460	31065	0.984	4264.183	13.727%	845.204	17.825%	0.01488	0.971
LUSC.US_SP56474	18429	0.991	2718.624	14.752%	425.44	13.737%	0.01846	0.986
LUAD.US_SP51037	4295	0.814	1702.554	39.64%	376.055	58.035%	0.17106	0.616
LUSC.US_SP56704	55115	0.994	5466.735	9.919%	777.082	10.585%	0.01097	0.986
LUAD.US_SP55142	164754	0.998	10034.898	6.091%	1493.183	6.135%	0.00315	0.996
LUSC.US_SP56533	22409	0.995	1952.98	8.715%	282.758	9.946%	0.00824	0.986
LUSC.US_SP56730	37044	0.995	3434.712	9.272%	476.134	9.896%	0.00882	0.987
LUSC.US_SP59245	57083	0.998	3413.01	5.979%	495.187	5.768%	0.00394	0.997
LUAD.US_SP53387	43727	0.949	8659.456	19.803%	2541.482	31.706%	0.03317	0.925
LUSC.US_SP57024	24042	0.995	2086.051	8.677%	321.416	10.291%	0.00984	0.987
LUAD.US_SP54745	48462	0.867	22370.08	46.16%	4638.54	49.847%	0.24488	0.809
LUSC.US_SP57933	59223	0.993	6360.562	10.74%	1002.561	12.243%	0.00986	0.984
LUSC.US_SP56754	31709	0.997	2415.621	7.618%	365.674	8.215%	0.00576	0.993
LUSC.US_SP56827	47146	0.997	3652.302	7.747%	542.481	8.129%	0.00631	0.993
LUAD.US_SP52284	5275	0.928	1767.79	33.513%	260.329	37.311%	0.08554	0.81
LUAD.US_SP53618	63860	0.998	4745.752	7.431%	636.316	6.201%	0.00776	0.997
LUAD.US_SP52232	27021	0.994	2763.797	10.228%	438.427	11.058%	0.00914	0.989
LUAD.US_SP50412	2115	0.916	693.87	32.807%	111.924	40.012%	0.09218	0.777
LUSC.US_SP57084	43797	0.995	3686.19	8.417%	552.415	9.648%	0.00696	0.988
LUAD.US_SP50321	13161	0.994	1585.031	12.043%	214.592	10.895%	0.01602	0.989
LUAD.US_SP53548	10145	0.568	7898.524	77.856%	1817.961	82.313%	0.52122	0.364
LUSC.US_SP57538	41072	0.984	6070.722	14.781%	929.985	17.803%	0.01812	0.954
LUSC.US_SP57735	45636	0.996	3734.646	8.184%	576.136	9.357%	0.00616	0.99
LUSC.US_SP57669	53166	0.996	4834.617	9.093%	621.097	8.74%	0.00701	0.991
LUSC.US_SP56566	23601	0.996	2600.846	11.02%	466.539	9.092%	0.01111	0.995
LUSC.US_SP56569	36480	0.995	3215.762	8.815%	493.91	10.169%	0.00762	0.987
LUSC.US_SP58342	75956	0.969	12276.306	16.162%	2542.093	24.592%	0.04545	0.928
LUSC.US_SP58349	48348	0.992	5810.425	12.018%	758.411	12.643%	0.01598	0.978
LUSC.US_SP56644	49921	0.997	3824.431	7.661%	542.908	8.217%	0.00576	0.992
LUSC.US_SP57629	31808	0.976	5768.252	18.135%	908.587	21.88%	0.02597	0.938
LUSC.US_SP56941	5390	0.99	1023.363	18.986%	193.74	14.315%	0.05239	0.988
LUSC.US_SP57619	57322	0.998	3766.87	6.571%	518.579	6.251%	0.00438	0.996
LUSC.US_SP58245	61592	0.992	7465.087	12.12%	1044.939	12.862%	0.01417	0.98
LUSC.US_SP57251	54237	0.995	4781.142	8.815%	704.371	9.638%	0.00923	0.989
