NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4443.098	17.621	753.002	19.832	0.047	0.925	20000.0
2	4470.799	17.736	756.359	19.884	0.048	0.925	20000.0
3	4463.565	17.614	752.842	19.747	0.047	0.926	50000.0
4	4484.69	17.648	761.229	19.978	0.047	0.924	40000.0
5	4431.702	17.532	752.205	19.822	0.048	0.924	20000.0
6	4442.63	17.55	753.188	19.83	0.047	0.925	20000.0
7	4451.042	17.645	754.313	19.842	0.048	0.926	30000.0
8	4455.796	17.553	753.618	19.867	0.048	0.924	20000.0
9	4470.149	17.825	756.795	19.979	0.049	0.925	30000.0
10	4483.469	17.709	756.614	19.884	0.047	0.925	50000.0
11	4460.696	17.558	754.919	19.818	0.046	0.926	20000.0
12	4495.886	17.695	757.356	19.842	0.047	0.926	20000.0
13	4468.805	17.768	754.894	19.88	0.048	0.925	20000.0
14	4513.116	17.747	757.136	19.853	0.047	0.926	40000.0
15	4476.746	17.727	756.299	19.864	0.048	0.925	20000.0
16	4467.302	17.667	755.23	19.963	0.048	0.923	20000.0
17	4477.779	17.73	755.209	19.901	0.048	0.925	20000.0
18	4454.062	17.64	751.372	19.773	0.048	0.925	50000.0
19	4472.569	17.459	756.63	19.766	0.046	0.926	20000.0
20	4469.318	17.59	755.745	19.807	0.047	0.925	20000.0
21	4462.546	17.864	754.931	20.084	0.05	0.923	40000.0
22	4459.374	17.625	754.896	19.83	0.048	0.925	40000.0
23	4447.626	17.677	751.639	19.817	0.047	0.924	30000.0
24	4477.458	17.744	756.776	19.892	0.048	0.925	20000.0
25	4433.353	17.506	748.689	19.773	0.048	0.925	50000.0
26	4434.931	17.474	748.933	19.696	0.047	0.926	30000.0
27	4447.161	17.518	751.711	19.776	0.047	0.926	30000.0
28	4480.228	17.727	756.708	19.946	0.048	0.925	30000.0
29	4453.432	17.553	753.325	19.757	0.048	0.926	30000.0
30	4448.155	17.505	751.475	19.751	0.047	0.926	20000.0
