Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.681	134235.975	64.996%	26575.185	79.719%	0.30276	0.467
Bladder-TCC::SP1059	59185	0.836	27088.599	45.769%	6286.907	55.47%	0.15404	0.768
Bladder-TCC::SP96136	51896	0.759	38314.261	73.829%	9143.031	66.377%	0.36035	0.717
Breast-AdenoCA::SP117369	55654	0.674	66460.567	119.417%	17818.184	78.025%	0.92907	0.674
Breast-AdenoCA::SP2293	65065	0.672	78794.827	121.102%	20333.448	78.226%	0.9816	0.674
CNS-GBM::SP25494	245043	0.721	230623.189	94.115%	53722.323	71.96%	0.69265	0.682
ColoRect-AdenoCA::SP18310	108227	0.621	72600.292	67.081%	18800.699	81.599%	0.36815	0.484
ColoRect-AdenoCA::SP17172	124362	0.656	69951.922	56.249%	18731.252	79.741%	0.27842	0.496
ColoRect-AdenoCA::SP96133	81348	0.747	42224.841	51.906%	9285.546	69.993%	0.20128	0.574
ColoRect-AdenoCA::SP110242	113975	0.729	69254.261	60.763%	13822.172	71.186%	0.25936	0.56
ColoRect-AdenoCA::SP21017	88434	0.713	49454.21	55.922%	11730.423	72.937%	0.23201	0.564
ColoRect-AdenoCA::SP22383	97478	0.738	53994.708	55.392%	11192.869	72.101%	0.2175	0.551
ColoRect-AdenoCA::SP81312	807487	0.876	576168.856	71.353%	156641.147	56.647%	0.35282	0.884
ColoRect-AdenoCA::SP22031	234231	0.86	198636.906	84.804%	58589.657	62.129%	0.42533	0.876
ColoRect-AdenoCA::SP19215	94904	0.669	65860.04	69.396%	12613.048	79.55%	0.34095	0.456
ColoRect-AdenoCA::SP16886	849282	0.847	729862.367	85.939%	207113.287	62.842%	0.45434	0.86
ColoRect-AdenoCA::SP19295	259867	0.868	203640.169	78.363%	63281.09	61.031%	0.37715	0.884
ColoRect-AdenoCA::SP17905	2432617	0.875	1585441.763	65.174%	430487.237	55.146%	0.28855	0.876
ColoRect-AdenoCA::SP18121	161139	0.662	114242.174	70.897%	21348.514	80.71%	0.35414	0.435
ColoRect-AdenoCA::SP21400	793040	0.898	476689.83	60.109%	117649.42	50.287%	0.25308	0.898
ColoRect-AdenoCA::SP18946	960813	0.886	640690.58	66.682%	191704.296	56.159%	0.28665	0.895
ColoRect-AdenoCA::SP80615	2426469	0.865	1737273.433	71.597%	504237.907	58.875%	0.33764	0.873
Eso-AdenoCA::SP111058	63983	0.91	33459.384	52.294%	11110.367	48.09%	0.20766	0.91
Eso-AdenoCA::SP111066	79659	0.927	37639.063	47.25%	9250.292	39.547%	0.23402	0.919
Eso-AdenoCA::SP111113	79140	0.937	34438.408	43.516%	9300.865	38.223%	0.15916	0.932
Eso-AdenoCA::SP110865	55751	0.943	16239.029	29.128%	3044.512	33.494%	0.07102	0.905
Eso-AdenoCA::SP23502	74471	0.947	25462.071	34.191%	6473.616	32.793%	0.12744	0.938
Eso-AdenoCA::SP111001	59462	0.945	20497.281	34.471%	5171.877	33.295%	0.11595	0.936
Eso-AdenoCA::SP111173	105594	0.946	39719.736	37.616%	9304.877	32.911%	0.13897	0.937
Eso-AdenoCA::SP111091	54578	0.933	21501.354	39.396%	4909.537	36.015%	0.14648	0.92
Eso-AdenoCA::SP111175	123973	0.929	54787.084	44.193%	14766.585	39.339%	0.16567	0.922
Eso-AdenoCA::SP111114	57609	0.952	17282.532	30.0%	4189.166	30.978%	0.09021	0.94
Head-SCC::SP30113	87623	0.971	13760.684	15.704%	2901.963	24.826%	0.0244	0.936
Head-SCC::SP30332	52507	0.966	9511.734	18.115%	1860.329	27.192%	0.02891	0.923
Head-SCC::SP30675	63185	0.971	9943.295	15.737%	2087.273	24.504%	0.02387	0.935
Liver-HCC::SP98090	63686	0.67	48504.596	76.162%	6917.015	81.273%	0.38543	0.207
Lung-AdenoCA::SP53460	53534	0.938	15013.732	28.045%	2812.852	34.786%	0.059	0.882
Lung-AdenoCA::SP54113	110327	0.984	13506.271	12.242%	2695.246	17.595%	0.01341	0.966
Lung-AdenoCA::SP55235	113803	0.961	20209.903	17.759%	4415.794	27.769%	0.02982	0.915
Lung-AdenoCA::SP50611	53404	0.919	18154.179	33.994%	3272.372	39.364%	0.08301	0.854
Lung-AdenoCA::SP55142	157043	0.993	14174.999	9.026%	2842.947	12.361%	0.00734	0.988
Lung-AdenoCA::SP53618	61322	0.913	21329.617	34.783%	3973.336	40.969%	0.08935	0.845
Lung-AdenoCA::SP53810	185584	0.871	85214.952	45.917%	15592.037	49.346%	0.14974	0.791
Lung-AdenoCA::SP55509	66135	0.937	19950.229	30.166%	3638.697	35.185%	0.06373	0.888
Lung-SCC::SP56553	133882	0.811	68226.326	50.96%	17401.575	60.196%	0.1962	0.763
Lung-SCC::SP57941	75502	0.937	19673.692	26.057%	3957.359	34.909%	0.0561	0.879
Lung-SCC::SP57818	50099	0.957	13979.889	27.905%	2338.67	29.636%	0.05111	0.929
Lung-SCC::SP56704	53748	0.949	11294.442	21.014%	2347.071	33.028%	0.04296	0.882
