NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	5847.675	9.605	1376.811	9.339	0.012	0.99	100000.0
2	5874.238	9.647	1378.511	9.368	0.012	0.99	100000.0
3	6123.748	10.054	1495.439	9.831	0.012	0.99	110000.0
4	5943.112	9.757	1372.803	9.573	0.012	0.989	70000.0
5	5862.957	9.63	1379.629	9.381	0.012	0.99	90000.0
6	5863.741	9.629	1384.91	9.385	0.012	0.99	80000.0
7	5872.112	9.646	1381.953	9.382	0.012	0.99	50000.0
8	6094.821	10.002	1486.224	9.692	0.011	0.99	80000.0
9	6038.543	9.905	1408.475	9.583	0.013	0.989	110000.0
10	6130.793	10.067	1494.851	9.839	0.012	0.99	60000.0
11	5979.714	9.816	1383.824	9.633	0.012	0.989	70000.0
12	6059.001	9.954	1460.579	9.76	0.011	0.99	110000.0
13	5959.121	9.781	1376.364	9.582	0.012	0.989	50000.0
14	5888.447	9.67	1380.235	9.376	0.012	0.99	70000.0
15	5845.324	9.603	1373.319	9.327	0.012	0.99	120000.0
16	6125.863	10.059	1489.675	9.803	0.012	0.99	120000.0
17	5859.515	9.623	1381.263	9.37	0.012	0.99	90000.0
18	5851.277	9.608	1371.54	9.316	0.012	0.99	140000.0
19	5860.444	9.628	1378.388	9.358	0.012	0.99	60000.0
20	5852.589	9.613	1378.152	9.352	0.012	0.99	100000.0
21	5981.206	9.82	1376.261	9.619	0.012	0.989	70000.0
22	5866.148	9.63	1374.47	9.337	0.012	0.99	80000.0
23	5951.296	9.77	1376.857	9.587	0.012	0.989	90000.0
24	6061.145	9.957	1456.021	9.757	0.011	0.99	120000.0
25	5883.533	9.664	1379.858	9.393	0.012	0.99	90000.0
26	5851.813	9.615	1379.827	9.374	0.012	0.99	80000.0
27	5892.428	9.678	1385.147	9.409	0.012	0.99	80000.0
28	5878.924	9.658	1386.454	9.401	0.012	0.99	40000.0
29	6019.554	9.885	1464.104	9.592	0.011	0.99	100000.0
30	5869.787	9.641	1381.795	9.374	0.012	0.99	70000.0
31	5870.046	9.642	1387.36	9.407	0.012	0.99	50000.0
32	6058.354	9.952	1458.313	9.745	0.011	0.99	100000.0
33	5986.603	9.83	1382.335	9.637	0.012	0.988	50000.0
34	5869.542	9.64	1379.391	9.37	0.012	0.99	80000.0
35	5934.778	9.744	1365.693	9.512	0.012	0.989	90000.0
36	5837.148	9.587	1374.264	9.344	0.012	0.99	50000.0
37	5853.193	9.614	1377.368	9.352	0.012	0.99	120000.0
38	5950.811	9.769	1370.399	9.557	0.012	0.989	130000.0
39	5884.588	9.666	1377.5	9.361	0.012	0.99	100000.0
40	5836.883	9.586	1376.188	9.346	0.012	0.99	80000.0
41	5867.32	9.637	1382.206	9.377	0.012	0.99	130000.0
42	6039.876	9.919	1449.335	9.704	0.011	0.99	110000.0
43	6024.923	9.885	1402.847	9.578	0.013	0.989	70000.0
44	5877.481	9.652	1387.238	9.402	0.012	0.99	70000.0
45	5964.213	9.792	1378.962	9.592	0.012	0.989	60000.0
46	5992.091	9.842	1436.79	9.629	0.011	0.99	70000.0
47	5953.642	9.776	1371.451	9.586	0.012	0.989	60000.0
48	5933.609	9.743	1369.029	9.558	0.012	0.989	70000.0
49	6034.562	9.905	1468.255	9.598	0.011	0.99	70000.0
50	5865.315	9.632	1374.214	9.328	0.012	0.99	80000.0
