Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.999	1991.871	4.774%	281.868	4.476%	0.00234	0.998
LUAD.US_SP50263	10434	0.98	1655.978	15.871%	275.081	20.177%	0.02305	0.95
LUAD.US_SP50317	16308	0.98	3452.035	21.168%	639.272	19.79%	0.03238	0.973
LUAD.US_SP54113	115787	0.998	6785.366	5.86%	989.443	6.035%	0.00323	0.996
LUSC.US_SP56537	42426	0.997	3225.473	7.603%	472.034	8.033%	0.00436	0.993
LUAD.US_SP50406	589	0.917	241.258	40.961%	38.465	39.863%	0.16475	0.86
LUSC.US_SP57586	37122	0.997	2640.938	7.114%	386.076	8.156%	0.0048	0.991
LUAD.US_SP51824	25038	0.995	2348.678	9.38%	342.898	9.934%	0.00698	0.989
LUAD.US_SP55387	21117	0.997	1751.045	8.292%	272.884	8.438%	0.00646	0.994
LUAD.US_SP52779	39966	0.999	2042.678	5.111%	310.028	5.097%	0.00262	0.998
LUSC.US_SP56541	45256	0.994	4199.132	9.279%	774.082	11.182%	0.00895	0.989
LUSC.US_SP56553	136115	0.984	17428.456	12.804%	5156.645	17.731%	0.01223	0.979
LUAD.US_SP55235	118001	0.997	8810.218	7.466%	1309.466	7.827%	0.0042	0.994
LUAD.US_SP50713	14434	0.994	1654.548	11.463%	269.526	11.027%	0.01204	0.991
LUSC.US_SP56771	12547	0.992	1511.08	12.043%	198.724	12.501%	0.01145	0.98
LUSC.US_SP57941	78839	0.999	3192.927	4.05%	504.913	4.2%	0.00133	0.999
LUAD.US_SP50611	55884	0.998	3396.234	6.077%	495.991	5.592%	0.00351	0.997
LUSC.US_SP57818	52897	0.998	3155.631	5.966%	495.132	5.823%	0.00339	0.997
LUAD.US_SP50485	2336	0.972	519.527	22.24%	80.154	23.384%	0.04328	0.946
LUSC.US_SP56460	31065	0.987	4130.4	13.296%	762.126	16.073%	0.01496	0.977
LUSC.US_SP56474	18429	0.993	2293.312	12.444%	375.207	12.115%	0.0133	0.989
LUAD.US_SP51037	4295	0.954	1179.002	27.451%	194.629	30.036%	0.05777	0.914
LUSC.US_SP56704	55115	0.997	4235.341	7.685%	591.418	8.056%	0.00496	0.992
LUAD.US_SP55142	164754	0.999	8460.442	5.135%	1267.307	5.207%	0.00217	0.997
LUSC.US_SP56533	22409	0.998	1563.48	6.977%	200.351	7.048%	0.00457	0.993
LUSC.US_SP56730	37044	0.998	2058.548	5.557%	294.939	6.13%	0.00316	0.995
LUSC.US_SP59245	57083	0.999	2836.52	4.969%	450.273	5.245%	0.00224	0.997
LUAD.US_SP53387	43727	0.955	9580.035	21.909%	2408.952	30.053%	0.03982	0.934
LUSC.US_SP57024	24042	0.998	1544.626	6.425%	209.568	6.71%	0.00389	0.995
LUAD.US_SP54745	48462	0.993	4918.479	10.149%	1113.384	11.965%	0.00702	0.991
LUSC.US_SP57933	59223	0.995	5856.95	9.89%	849.477	10.374%	0.00716	0.989
LUSC.US_SP56754	31709	0.998	1935.843	6.105%	294.136	6.608%	0.00325	0.996
LUSC.US_SP56827	47146	0.997	3478.061	7.377%	506.309	7.587%	0.00507	0.994
LUAD.US_SP52284	5275	0.989	660.116	12.514%	103.811	14.879%	0.01418	0.973
LUAD.US_SP53618	63860	0.999	2647.858	4.146%	377.3	3.677%	0.00172	0.999
LUAD.US_SP52232	27021	0.995	2491.733	9.221%	391.188	9.867%	0.00635	0.991
LUAD.US_SP50412	2115	0.961	513.908	24.298%	77.278	27.626%	0.04781	0.901
LUSC.US_SP57084	43797	0.997	2745.022	6.268%	421.149	7.356%	0.00337	0.993
LUAD.US_SP50321	13161	0.998	926.081	7.037%	135.296	6.869%	0.00489	0.996
LUAD.US_SP53548	10145	0.943	2602.193	25.65%	734.571	33.26%	0.04426	0.927
LUSC.US_SP57538	41072	0.994	4030.246	9.813%	589.787	11.29%	0.00835	0.982
LUSC.US_SP57735	45636	0.998	2468.725	5.41%	366.204	5.948%	0.00262	0.996
LUSC.US_SP57669	53166	0.998	3608.633	6.787%	458.671	6.454%	0.00402	0.995
LUSC.US_SP56566	23601	0.996	2541.976	10.771%	467.529	9.111%	0.01048	0.995
LUSC.US_SP56569	36480	0.997	2454.826	6.729%	348.762	7.181%	0.00403	0.994
LUSC.US_SP58342	75956	0.999	3632.454	4.782%	561.322	5.43%	0.00161	0.997
LUSC.US_SP58349	48348	0.995	4442.089	9.188%	615.352	10.258%	0.00925	0.987
LUSC.US_SP56644	49921	0.998	2756.532	5.522%	368.27	5.574%	0.00249	0.996
LUSC.US_SP57629	31808	0.987	4209.766	13.235%	675.927	16.277%	0.01569	0.967
LUSC.US_SP56941	5390	0.994	815.939	15.138%	153.089	11.312%	0.02634	0.993
LUSC.US_SP57619	57322	0.998	3276.841	5.717%	464.319	5.597%	0.00324	0.997
LUSC.US_SP58245	61592	0.996	4939.316	8.019%	711.274	8.755%	0.00541	0.991
LUSC.US_SP57251	54237	0.998	3373.786	6.22%	495.293	6.777%	0.00329	0.995
LUAD.US_SP55004	570	0.932	198.324	34.794%	29.704	36.138%	0.11716	0.859
LUAD.US_SP56079	50203	0.996	3969.388	7.907%	658.326	8.777%	0.00485	0.993
LUSC.US_SP56502	46994	0.999	2210.04	4.703%	297.354	4.574%	0.00201	0.998
LUSC.US_SP58668	67884	0.996	5910.038	8.706%	836.73	9.438%	0.00652	0.989
LUSC.US_SP58101	41126	0.998	2533.478	6.16%	337.067	6.487%	0.0035	0.994
LUSC.US_SP58991	29212	0.995	2760.246	9.449%	380.763	10.153%	0.00736	0.986
LUSC.US_SP56607	21751	0.997	1768.588	8.131%	224.127	8.047%	0.00559	0.991
LUAD.US_SP56168	33369	0.989	4931.37	14.778%	1440.211	15.651%	0.01634	0.987
LUSC.US_SP58326	73524	0.999	3145.077	4.278%	459.507	4.576%	0.00169	0.998
LUAD.US_SP54363	44564	0.996	3411.87	7.656%	656.3	9.319%	0.00526	0.993
LUAD.US_SP53810	190653	0.994	23562.96	12.359%	3687.111	11.305%	0.01274	0.99
LUAD.US_SP50518	6391	0.991	797.808	12.483%	114.01	13.613%	0.01656	0.977
LUAD.US_SP56303	15937	0.959	3470.882	21.779%	623.976	28.448%	0.03706	0.906
LUSC.US_SP57267	53600	0.998	3500.957	6.532%	474.795	6.569%	0.00362	0.995
LUAD.US_SP55711	7929	0.995	873.246	11.013%	125.617	10.505%	0.01076	0.99
LUSC.US_SP57066	59660	0.997	4487.008	7.521%	611.173	7.468%	0.00448	0.994
LUSC.US_SP57901	30138	0.996	2395.039	7.947%	332.858	8.625%	0.00562	0.99
LUAD.US_SP55509	68492	0.998	3877.591	5.661%	632.368	5.839%	0.00279	0.997
LUSC.US_SP57651	18722	0.994	1986.4	10.61%	267.645	11.213%	0.00926	0.984
LUAD.US_SP55309	1812	0.942	578.78	31.942%	97.121	33.64%	0.08749	0.9
LUAD.US_SP52607	4036	0.978	860.789	21.328%	127.963	20.95%	0.04177	0.959
LUAD.US_SP52667	34791	0.995	3300.033	9.485%	542.861	10.273%	0.00684	0.992
LUSC.US_SP57450	25474	0.997	2280.61	8.953%	377.934	7.562%	0.0064	0.996
LUSC.US_SP57846	55087	0.998	4194.624	7.615%	653.425	6.96%	0.00504	0.996
LUSC.US_SP58612	29173	0.997	2235.857	7.664%	294.421	7.935%	0.0046	0.992
LUSC.US_SP56821	32018	0.997	2161.602	6.751%	331.986	7.897%	0.00434	0.992
LUAD.US_SP51446	5658	0.988	820.759	14.506%	119.099	15.286%	0.02292	0.974
LUAD.US_SP50592	5112	0.984	842.92	16.489%	125.806	17.546%	0.02219	0.967
LUAD.US_SP53073	24247	0.991	2626.12	10.831%	440.034	13.597%	0.01258	0.978
LUSC.US_SP58882	24651	0.993	2751.46	11.162%	370.735	11.913%	0.01057	0.979
