NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3121.537	11.909	530.501	13.07	0.018	0.975	180000.0
2	3167.053	12.07	532.96	13.108	0.018	0.975	220000.0
3	3133.894	12.005	528.043	13.035	0.018	0.975	190000.0
4	3145.885	11.864	534.456	13.016	0.017	0.975	110000.0
5	3109.423	11.887	529.431	13.045	0.018	0.975	150000.0
6	3129.549	12.039	531.719	13.158	0.018	0.974	500000.0
7	3122.45	11.816	531.151	12.971	0.018	0.976	100000.0
8	3125.836	11.88	529.069	12.917	0.017	0.976	230000.0
9	3134.936	12.043	532.623	13.195	0.018	0.975	280000.0
10	3126.64	11.783	530.968	12.955	0.017	0.976	100000.0
11	3139.948	11.875	531.528	13.101	0.017	0.975	150000.0
12	3140.466	11.759	529.529	12.796	0.017	0.977	320000.0
13	3166.453	12.03	531.203	13.021	0.018	0.976	160000.0
14	3176.316	12.08	533.691	13.067	0.018	0.976	110000.0
15	3136.997	11.918	529.64	12.972	0.018	0.976	160000.0
16	3121.769	11.92	528.089	13.015	0.018	0.975	160000.0
17	3132.281	11.953	532.21	13.045	0.018	0.976	180000.0
18	3137.477	12.01	531.491	13.122	0.018	0.975	330000.0
19	3160.741	11.861	536.528	13.106	0.017	0.975	220000.0
20	3146.079	11.91	532.573	12.915	0.017	0.976	180000.0
21	3132.475	12.074	532.298	13.194	0.018	0.975	320000.0
22	3164.132	11.956	533.986	13.035	0.018	0.975	280000.0
23	3140.525	11.935	533.037	13.048	0.017	0.975	220000.0
24	3166.693	12.006	535.405	13.071	0.018	0.976	260000.0
25	3137.893	11.843	528.14	12.866	0.017	0.976	130000.0
26	3121.648	11.771	523.744	12.746	0.017	0.977	100000.0
27	2901.021	11.014	450.283	11.656	0.016	0.98	670000.0
28	3132.765	11.948	530.834	13.095	0.018	0.975	370000.0
29	3131.447	11.796	528.411	12.804	0.017	0.976	190000.0
30	3144.793	11.76	531.322	12.904	0.017	0.976	430000.0
31	3145.087	11.889	530.842	12.944	0.017	0.975	130000.0
32	3125.685	11.998	529.343	13.015	0.017	0.976	250000.0
33	2925.953	10.955	449.516	11.454	0.016	0.98	180000.0
34	3144.692	11.898	532.823	12.902	0.017	0.976	100000.0
35	3154.294	12.034	533.702	13.137	0.018	0.975	160000.0
36	3109.599	11.938	524.624	12.934	0.018	0.975	330000.0
37	3118.72	11.834	527.268	12.879	0.017	0.976	310000.0
38	3112.586	11.966	522.346	13.042	0.017	0.974	120000.0
39	3165.007	12.031	538.115	13.158	0.018	0.975	220000.0
40	3149.191	12.022	534.456	13.084	0.018	0.975	120000.0
41	3166.999	12.114	534.564	13.138	0.018	0.975	230000.0
42	3104.783	11.823	524.721	12.832	0.017	0.976	180000.0
43	3164.415	11.992	534.804	13.005	0.018	0.976	40000.0
44	3144.351	12.084	528.517	13.121	0.018	0.974	250000.0
45	3138.786	11.939	533.919	13.022	0.017	0.976	200000.0
46	3168.512	11.962	537.705	12.941	0.017	0.977	200000.0
47	3116.214	11.842	527.205	12.907	0.017	0.976	120000.0
48	2926.641	10.838	449.679	11.355	0.015	0.981	300000.0
49	3136.284	11.877	535.571	12.866	0.018	0.977	200000.0
50	3122.781	11.897	525.776	12.864	0.018	0.976	480000.0
51	2929.418	10.891	449.51	11.325	0.016	0.981	60000.0
52	3131.341	11.876	531.276	12.999	0.017	0.976	160000.0
53	3129.336	11.926	531.595	12.967	0.018	0.976	130000.0
54	3154.128	11.958	532.082	13.007	0.017	0.975	150000.0
55	3133.748	11.93	529.61	13.016	0.018	0.975	390000.0
56	2898.084	10.939	451.605	11.483	0.016	0.98	130000.0
57	3162.702	11.994	533.009	13.142	0.018	0.975	210000.0
58	3136.293	11.925	528.564	13.026	0.017	0.975	280000.0
59	3132.633	11.944	533.289	13.122	0.018	0.975	130000.0
60	3158.869	12.023	532.632	13.151	0.018	0.975	240000.0
61	3123.868	11.865	527.987	12.98	0.017	0.975	260000.0
62	3176.682	12.077	538.085	13.211	0.018	0.975	250000.0
63	2939.607	11.016	454.891	11.534	0.016	0.98	180000.0
64	3133.994	11.759	525.107	12.729	0.017	0.977	130000.0
65	3135.074	11.954	530.793	13.05	0.018	0.976	320000.0
66	3108.324	11.9	522.945	12.841	0.017	0.976	240000.0
67	2907.347	10.917	444.331	11.328	0.016	0.981	240000.0
68	3141.596	12.049	531.494	13.148	0.018	0.974	70000.0
69	3153.742	11.903	533.072	12.952	0.017	0.976	320000.0
70	3144.016	11.918	530.041	13.016	0.017	0.976	460000.0
71	3133.643	11.981	532.451	13.084	0.018	0.975	420000.0
72	3116.639	11.973	527.807	12.947	0.018	0.975	210000.0
73	3161.314	11.897	537.46	13.038	0.017	0.976	290000.0
74	2898.783	10.923	445.348	11.405	0.016	0.98	80000.0
75	3136.414	11.975	534.228	13.024	0.018	0.976	230000.0
76	3132.58	11.855	529.902	12.839	0.017	0.976	490000.0
77	3152.181	12.059	530.201	13.119	0.017	0.975	550000.0
78	3129.557	11.895	529.028	12.886	0.017	0.976	190000.0
79	3143.808	11.955	529.539	12.961	0.018	0.976	250000.0
80	2919.885	11.05	447.525	11.531	0.017	0.98	180000.0
81	3169.235	12.042	534.656	13.013	0.018	0.976	260000.0
82	3146.61	11.906	534.061	12.996	0.017	0.976	190000.0
83	3115.563	11.88	527.675	12.941	0.018	0.976	160000.0
84	3114.563	11.825	522.773	12.815	0.017	0.976	120000.0
85	3143.747	11.873	531.541	12.894	0.017	0.976	380000.0
86	3172.061	12.023	535.405	13.172	0.018	0.974	560000.0
87	3153.645	11.867	533.958	12.899	0.017	0.976	300000.0
88	3131.653	12.027	531.735	13.085	0.018	0.975	180000.0
89	3130.403	11.848	531.381	12.986	0.017	0.976	80000.0
90	3121.441	11.716	520.292	12.659	0.017	0.977	60000.0
91	3131.513	11.949	532.368	13.023	0.018	0.976	400000.0
92	3138.686	11.973	532.135	13.081	0.018	0.975	100000.0
93	3133.943	12.026	531.038	13.085	0.018	0.975	300000.0
94	3122.742	11.784	524.033	12.777	0.017	0.977	500000.0
95	3111.081	11.915	528.525	13.074	0.018	0.975	180000.0
96	3159.246	12.041	534.092	13.147	0.018	0.975	170000.0
97	3104.812	11.606	522.16	12.517	0.017	0.978	90000.0
98	3128.422	11.969	532.924	13.105	0.018	0.975	180000.0
99	2933.098	11.11	453.994	11.57	0.017	0.98	190000.0
100	2901.575	10.915	446.714	11.378	0.016	0.981	300000.0
