Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LUAD.US_SP54363	9.51E+01	1.35E+02	1.40E+02	2.22E+02	1.18E+02	9.64E+00
LUAD.US_SP53810	4.56E+02	5.88E+02	2.49E+02	2.72E+02	2.45E+02	4.41E+01
LUAD.US_SP50518	1.57E+01	3.13E+01	8.06E+00	2.11E+01	1.98E+01	3.78E+00
LUAD.US_SP56303	4.20E+01	8.16E+01	1.52E+01	2.93E+01	4.85E+01	6.12E+00
LUSC.US_SP57267	2.16E+02	2.83E+02	7.91E+01	1.19E+02	1.62E+02	1.58E+01
LUAD.US_SP55711	2.49E+01	4.81E+01	2.57E+01	5.65E+01	3.78E+01	4.16E+00
LUSC.US_SP57066	1.99E+02	2.60E+02	7.51E+01	1.02E+02	1.32E+02	1.36E+01
LUSC.US_SP57901	1.11E+02	1.55E+02	4.05E+01	6.95E+01	9.81E+01	1.02E+01
LUAD.US_SP55509	1.74E+02	2.28E+02	8.29E+01	9.16E+01	1.09E+02	1.43E+01
LUSC.US_SP57651	7.89E+01	9.62E+01	2.84E+01	6.06E+01	4.52E+01	7.62E+00
LUAD.US_SP55309	3.88E+00	8.22E+00	2.54E+00	1.10E+01	9.44E+00	1.11E+00
LUAD.US_SP52607	7.19E+00	1.07E+01	7.86E+00	1.86E+01	1.46E+01	2.27E+00
LUAD.US_SP52667	8.22E+01	1.13E+02	4.08E+01	4.11E+01	5.95E+01	9.23E+00
LUSC.US_SP57450	6.02E+01	8.31E+01	8.78E+01	1.34E+02	5.94E+01	7.52E+00
LUSC.US_SP57846	1.35E+02	1.61E+02	1.97E+02	2.36E+02	9.36E+01	1.15E+01
LUSC.US_SP58612	1.08E+02	2.88E+02	4.15E+01	2.59E+02	1.11E+02	1.30E+01
LUSC.US_SP56821	1.06E+02	2.20E+02	4.34E+01	1.65E+02	9.04E+01	1.10E+01
LUAD.US_SP51446	1.14E+01	2.59E+01	9.21E+00	2.48E+01	2.34E+01	2.31E+00
LUAD.US_SP50592	8.24E+00	2.29E+01	6.95E+00	2.19E+01	2.00E+01	2.91E+00
LUAD.US_SP53073	6.79E+01	9.37E+01	2.55E+01	5.10E+01	4.51E+01	2.75E+01
LUSC.US_SP58882	1.27E+02	1.57E+02	4.27E+01	8.59E+01	8.74E+01	1.09E+01
LUSC.US_SP57189	3.93E+02	4.94E+02	1.58E+02	2.69E+02	2.27E+02	2.72E+01
