Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
Lymph-BNHL::SP116697	2.95E+02	9.78E+02	9.79E+01	4.96E+02	1.32E+03
Panc-AdenoCA::SP125732	7.18E+01	4.11E+03	8.55E+01	2.10E+02	4.00E+03
Panc-AdenoCA::SP125770	1.52E+01	1.85E+03	4.60E+01	4.15E+02	1.55E+03
Skin-Melanoma::SP124389	2.10E+01	2.08E+01	1.30E+01	9.92E+00	1.36E+01
Skin-Melanoma::SP124362	5.27E+01	4.67E+01	2.63E+01	2.37E+01	3.14E+01
Skin-Melanoma::SP124394	2.84E+01	3.92E+01	1.10E+01	1.08E+01	2.32E+01
Skin-Melanoma::SP124334	2.13E+01	6.20E+01	3.90E+01	3.02E+01	5.18E+01
Skin-Melanoma::SP124454	2.01E+01	7.68E+01	2.56E+01	1.88E+01	4.81E+01
Skin-Melanoma::SP124380	3.18E+01	2.96E+01	1.92E+01	2.58E+01	3.05E+01
Skin-Melanoma::SP124399	4.09E+01	5.04E+01	3.53E+01	2.85E+01	4.48E+01
Skin-Melanoma::SP124311	3.10E+01	1.21E+02	2.07E+01	5.47E+01	1.01E+02
Skin-Melanoma::SP124434	2.33E+01	5.05E+01	1.61E+01	1.87E+01	3.62E+01
Skin-Melanoma::SP124428	6.74E+01	4.67E+01	4.19E+01	3.20E+01	4.96E+01
Skin-Melanoma::SP124449	3.73E+01	7.35E+01	1.31E+01	2.26E+01	3.28E+01
Skin-Melanoma::SP124298	7.79E+01	1.28E+02	4.27E+01	6.98E+01	6.89E+01
Skin-Melanoma::SP124431	2.70E+01	5.42E+01	3.64E+01	3.60E+01	4.60E+01
Skin-Melanoma::SP124409	5.71E+01	6.10E+01	2.58E+01	2.30E+01	3.83E+01
Skin-Melanoma::SP124376	1.89E+01	3.86E+01	7.36E+00	9.60E+00	2.29E+01
Skin-Melanoma::SP124439	5.15E+01	1.10E+02	7.07E+01	4.94E+01	1.06E+02
Skin-Melanoma::SP124406	1.92E+01	4.63E+01	3.58E+01	3.59E+01	4.92E+01
Skin-Melanoma::SP124382	8.46E+01	9.29E+01	6.67E+01	8.02E+01	9.26E+01
Skin-Melanoma::SP124415	1.66E+02	2.66E+02	1.27E+02	1.25E+02	2.84E+02
Skin-Melanoma::SP124436	5.98E+01	2.26E+02	9.88E+01	8.38E+01	1.26E+02
Skin-Melanoma::SP124460	3.14E+01	2.29E+01	3.06E+01	2.49E+01	3.54E+01
