Samples	SBS96A	SBS96B	SBS96C
Skin-Melanoma::SP124367	6.33E+01	5.12E+02	5.43E+02
Skin-Melanoma::SP124377	1.73E+01	5.81E+01	5.37E+01
Skin-Melanoma::SP124412	2.40E+01	1.19E+02	1.32E+02
Skin-Melanoma::SP124329	1.19E+01	2.56E+01	2.35E+01
Skin-Melanoma::SP124326	1.55E+01	8.00E+01	8.50E+01
Skin-Melanoma::SP124458	2.97E+01	6.70E+01	6.44E+01
Skin-Melanoma::SP124401	8.60E+01	2.19E+02	2.29E+02
Skin-Melanoma::SP124384	1.02E+02	1.42E+03	1.48E+03
Skin-Melanoma::SP124462	2.41E+01	7.03E+01	7.07E+01
Skin-Melanoma::SP124452	2.13E+01	6.33E+01	6.23E+01
Skin-Melanoma::SP124386	2.57E+01	7.78E+01	8.24E+01
Skin-Melanoma::SP124418	2.78E+01	8.96E+01	9.14E+01
Skin-Melanoma::SP124319	3.73E+01	1.63E+01	4.22E+01
Skin-Melanoma::SP124447	1.02E+02	2.32E+02	2.60E+02
Skin-Melanoma::SP124369	2.50E+01	6.45E+01	6.06E+01
Skin-Melanoma::SP124365	1.71E+01	1.12E+02	1.09E+02
Skin-Melanoma::SP124420	1.50E+01	5.80E+01	6.53E+01
Skin-Melanoma::SP124364	2.07E+01	1.08E+02	1.05E+02
Skin-Melanoma::SP124307	1.72E+01	4.39E+01	3.79E+01
Skin-Melanoma::SP82445	2.00E+02	2.79E+02	4.08E+02
Skin-Melanoma::SP83242	2.62E+01	1.92E+02	2.11E+02
Skin-Melanoma::SP103894	3.14E+01	1.21E+02	1.12E+02
Skin-Melanoma::SP83382	1.25E+01	4.36E+01	4.33E+01
Skin-Melanoma::SP82451	1.69E+01	1.56E+02	1.63E+02
Skin-Melanoma::SP83312	1.51E+01	6.01E+01	5.72E+01
Skin-Melanoma::SP82614	1.30E+01	4.66E+01	4.61E+01
Skin-Melanoma::SP82431	1.08E+02	5.43E+02	5.98E+02
Skin-Melanoma::SP82459	1.73E+01	6.95E+01	7.13E+01
Skin-Melanoma::SP82532	5.36E+01	2.02E+02	2.13E+02
Skin-Melanoma::SP83482	2.71E+01	8.22E+01	8.43E+01
Skin-Melanoma::SP104530	2.60E+01	2.41E+02	2.53E+02
Skin-Melanoma::SP82644	4.74E+01	4.80E+01	4.65E+01
Skin-Melanoma::SP82988	2.12E+01	4.64E+01	4.53E+01
Skin-Melanoma::SP82461	1.84E+01	6.58E+01	6.23E+01
Skin-Melanoma::SP82900	7.37E+01	1.15E+02	1.57E+02
Skin-Melanoma::SP82399	2.57E+01	6.56E+01	5.91E+01
Skin-Melanoma::SP82417	4.33E+01	4.59E+01	4.48E+01
Skin-Melanoma::SP104056	6.48E+01	2.99E+02	2.92E+02
Skin-Melanoma::SP83083	1.82E+01	7.65E+01	7.26E+01
Skin-Melanoma::SP83019	2.02E+01	5.47E+01	5.18E+01
Skin-Melanoma::SP83146	7.18E+01	4.58E+01	7.46E+01
Skin-Melanoma::SP103866	2.11E+01	6.06E+01	6.11E+01
Skin-Melanoma::SP83844	1.38E+01	4.61E+01	4.43E+01
Stomach-AdenoCA::SP135287	3.05E+01	3.57E+03	3.59E+03
Stomach-AdenoCA::SP85122	3.43E+01	4.31E+03	4.32E+03
Stomach-AdenoCA::SP84384	5.21E+01	6.46E+03	6.49E+03
Stomach-AdenoCA::SP84491	4.12E+01	2.15E+03	2.18E+03
Stomach-AdenoCA::SP84743	5.28E+01	1.64E+03	1.69E+03
Stomach-AdenoCA::SP84982	2.55E+01	2.12E+03	2.13E+03
Stomach-AdenoCA::SP84392	5.02E+01	5.03E+03	5.07E+03
Stomach-AdenoCA::SP105018	8.55E+01	1.20E+03	1.22E+03
Stomach-AdenoCA::SP84439	2.31E+02	1.79E+04	1.81E+04
Stomach-AdenoCA::SP84922	3.77E+01	2.43E+03	2.47E+03
Uterus-AdenoCA::SP90209	6.87E+02	3.33E+04	3.39E+04
Uterus-AdenoCA::SP93540	3.30E+01	3.60E+03	3.62E+03
Uterus-AdenoCA::SP93227	6.02E+02	4.62E+04	4.67E+04
Uterus-AdenoCA::SP94933	1.90E+01	2.42E+03	2.42E+03
Uterus-AdenoCA::SP92364	3.98E+01	5.61E+03	5.59E+03
Uterus-AdenoCA::SP92659	1.60E+02	8.86E+02	7.68E+02
