De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-SBS96A, Signature SBS1 (0.06%) & Signature SBS5 (10.54%) & Signature SBS100 (89.40%), 11.81,  11.02, 0.018, 0.99, 0.99
Signature 96-SBS96B, Signature SBS1 (0.16%) & Signature SBS4 (87.48%) & Signature SBS22a (12.36%), 14.13,  12.52, 0.026, 0.99, 0.99
Signature 96-SBS96C, Signature SBS3 (38.86%) & Signature SBS5 (16.28%) & Signature SBS92 (44.86%), 31.26,  30.99, 0.094, 0.95, 0.88
Signature 96-SBS96D, Signature SBS1 (1.36%) & Signature SBS2 (28.36%) & Signature SBS5 (9.88%) & Signature SBS13 (60.40%), 17.59,  7.49, 0.068, 1.00, 1.00
Signature 96-SBS96E, Signature SBS5 (15.70%) & Signature SBS18 (53.10%) & Signature SBS109 (31.20%), 25.71,  24.03, 0.065, 0.97, 0.95
Signature 96-SBS96F, Signature SBS1 (0.78%) & Signature SBS2 (51.54%) & Signature SBS5 (33.44%) & Signature SBS13 (14.24%), 19.33,  8.63, 0.057, 1.00, 1.00
Signature 96-SBS96G, Signature SBS1 (1.72%) & Signature SBS5 (51.26%) & Signature SBS22b (17.84%) & Signature SBS33 (29.18%), 30.99,  25.60, 0.103, 0.97, 0.95
Signature 96-SBS96H, Signature SBS1 (24.28%) & Signature SBS5 (39.94%) & Signature SBS40a (35.78%), 26.22,  22.04, 0.072, 0.98, 0.96
Signature 96-SBS96I, Signature SBS1 (0.02%) & Signature SBS5 (33.00%) & Signature SBS17a (17.14%) & Signature SBS17b (32.78%) & Signature SBS28 (17.06%), 23.14,  13.19, 0.064, 0.99, 0.99
