Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
Lung-SCC::SP58326	2.73E+01	1.45E+01	3.53E+01	3.31E+02	2.21E+02	1.24E+01	5.07E+02	4.86E+01
Lung-SCC::SP57267	1.94E+01	1.47E+01	2.79E+01	2.41E+02	1.77E+02	1.00E+01	3.93E+02	2.81E+01
Lung-SCC::SP57066	2.47E+01	1.67E+01	2.98E+01	2.58E+02	1.68E+02	1.02E+01	3.95E+02	3.92E+01
Lung-SCC::SP57846	1.96E+01	1.06E+01	2.37E+01	1.77E+02	1.19E+02	6.87E+00	2.92E+02	2.73E+01
Lung-SCC::SP57189	3.72E+01	2.00E+01	5.39E+01	4.15E+02	2.64E+02	1.84E+01	5.97E+02	7.87E+01
Lymph-BNHL::SP116668	3.68E+01	1.32E+01	3.77E+01	9.01E+01	1.55E+02	1.71E+02	3.69E+02	1.64E+01
Lymph-BNHL::SP116697	1.16E+02	2.70E+01	1.39E+02	4.91E+02	6.96E+02	1.69E+02	1.17E+03	6.52E+01
Panc-AdenoCA::SP125732	8.84E+01	4.99E+01	5.98E+02	2.15E+01	5.90E+02	2.21E+01	0.00E+00	4.67E+00
Panc-AdenoCA::SP125770	1.88E+01	1.95E+01	2.81E+02	8.78E+01	1.34E+02	2.09E+01	1.76E+02	1.12E+01
Skin-Melanoma::SP124389	1.70E+02	6.81E+00	9.75E+00	9.69E+00	1.24E+01	5.48E+00	1.81E+02	7.51E+00
Skin-Melanoma::SP124362	5.25E+02	1.83E+01	2.03E+01	1.87E+01	2.82E+01	1.57E+01	5.65E+02	1.18E+01
Skin-Melanoma::SP124394	2.24E+02	1.15E+01	1.43E+01	6.56E+00	1.27E+01	8.74E+00	2.38E+02	8.69E+00
Skin-Melanoma::SP124334	1.77E+02	1.16E+01	1.11E+01	4.35E+01	5.28E+01	9.66E+00	2.06E+02	1.17E+01
Skin-Melanoma::SP124454	1.28E+02	6.75E+00	1.90E+01	1.11E+01	1.38E+01	5.15E+00	1.35E+02	8.34E+00
Skin-Melanoma::SP124380	3.62E+02	1.48E+01	1.53E+01	3.60E+01	5.02E+01	1.91E+01	3.95E+02	1.30E+01
Skin-Melanoma::SP124399	2.84E+02	1.52E+01	2.33E+01	4.10E+01	5.73E+01	1.24E+01	3.31E+02	1.05E+01
Skin-Melanoma::SP124311	2.37E+02	1.38E+01	1.15E+00	9.76E+01	2.12E+02	2.84E+01	4.30E+02	1.69E+01
Skin-Melanoma::SP124434	2.26E+02	8.46E+00	1.43E+01	1.44E+01	1.24E+01	7.53E+00	2.31E+02	8.12E+00
Skin-Melanoma::SP124428	6.86E+02	2.60E+01	4.11E+01	3.84E+01	4.29E+01	2.21E+01	7.48E+02	1.75E+01
Skin-Melanoma::SP124449	3.03E+02	1.23E+01	2.35E+01	1.28E+01	1.94E+01	9.99E+00	3.22E+02	1.04E+01
Skin-Melanoma::SP124298	8.47E+02	3.09E+01	1.47E+01	7.69E+01	9.31E+01	2.51E+01	8.62E+02	2.28E+01
Skin-Melanoma::SP124431	2.62E+02	9.51E+00	1.27E+01	3.95E+01	3.81E+01	8.08E+00	2.44E+02	8.74E+00
Skin-Melanoma::SP124409	4.79E+02	2.32E+01	5.06E+01	1.67E+01	2.28E+01	1.87E+01	5.24E+02	2.06E+01
Skin-Melanoma::SP124376	1.37E+02	5.20E+00	7.39E+00	8.55E+00	8.15E+00	5.09E+00	1.44E+02	4.84E+00
Skin-Melanoma::SP124439	8.01E+02	3.07E+01	1.26E+01	3.91E+01	3.91E+01	2.61E+01	8.27E+02	2.59E+01
Skin-Melanoma::SP124406	1.79E+02	6.93E+00	1.26E+01	1.61E+01	1.36E+01	1.12E+01	1.82E+02	7.61E+00
Skin-Melanoma::SP124382	9.87E+02	4.67E+01	2.00E+01	1.82E+02	2.34E+02	3.71E+01	1.13E+03	3.35E+01
Skin-Melanoma::SP124415	1.95E+03	7.33E+01	4.79E+01	9.42E+01	3.57E+01	6.55E+01	2.03E+03	7.66E+01
Skin-Melanoma::SP124436	5.44E+02	3.23E+01	2.60E+01	2.57E+02	3.24E+02	2.66E+01	9.31E+02	3.04E+01
Skin-Melanoma::SP124460	3.34E+02	1.49E+01	2.53E+01	1.76E+01	1.88E+01	1.57E+01	3.63E+02	1.28E+01
