Samples	SBS96A	SBS96B	SBS96C	SBS96D
Skin-Melanoma::SP124434	2.69E+01	7.29E+01	4.29E+01	5.50E+01
Skin-Melanoma::SP124428	6.86E+01	8.69E+01	8.77E+01	5.03E+01
Skin-Melanoma::SP124449	3.50E+01	8.71E+01	5.73E+01	6.47E+01
Skin-Melanoma::SP124298	8.39E+01	1.52E+02	1.20E+02	1.26E+02
Skin-Melanoma::SP124431	2.53E+01	8.48E+01	5.34E+01	6.62E+01
Skin-Melanoma::SP124409	5.53E+01	7.90E+01	7.74E+01	6.01E+01
Skin-Melanoma::SP124376	1.69E+01	5.14E+01	3.01E+01	3.62E+01
Skin-Melanoma::SP124439	1.04E+02	1.76E+02	1.19E+02	8.84E+01
Skin-Melanoma::SP124406	3.00E+01	5.18E+01	3.60E+01	8.21E+01
Skin-Melanoma::SP124382	1.31E+02	1.64E+02	1.44E+02	1.42E+02
Skin-Melanoma::SP124415	2.66E+02	3.94E+02	3.40E+02	2.37E+02
Skin-Melanoma::SP124436	8.96E+01	2.71E+02	1.57E+02	2.33E+02
Skin-Melanoma::SP124460	4.77E+01	5.22E+01	4.88E+01	5.22E+01
Skin-Melanoma::SP124425	2.84E+01	1.21E+02	6.13E+01	1.06E+02
Skin-Melanoma::SP124367	8.29E+01	2.71E+01	6.52E+01	1.12E+02
Skin-Melanoma::SP124377	2.28E+01	6.11E+01	3.76E+01	5.27E+01
Skin-Melanoma::SP124412	1.92E+01	1.10E+02	6.54E+01	6.58E+01
Skin-Melanoma::SP124329	1.62E+01	3.09E+01	2.20E+01	2.58E+01
Skin-Melanoma::SP124326	2.12E+01	8.53E+01	4.10E+01	5.87E+01
Skin-Melanoma::SP124458	4.71E+01	6.99E+01	5.64E+01	5.71E+01
Skin-Melanoma::SP124401	1.24E+02	1.49E+02	1.36E+02	1.36E+02
Skin-Melanoma::SP124384	1.14E+02	1.71E+03	9.32E+02	1.40E+03
Skin-Melanoma::SP124462	3.03E+01	9.28E+01	5.81E+01	7.30E+01
Skin-Melanoma::SP124452	2.62E+01	8.32E+01	4.94E+01	6.51E+01
Skin-Melanoma::SP124386	3.14E+01	1.07E+02	6.40E+01	7.88E+01
Skin-Melanoma::SP124418	3.02E+01	5.49E+01	4.27E+01	4.62E+01
Skin-Melanoma::SP124319	4.36E+01	5.15E+01	5.12E+01	2.41E+01
Skin-Melanoma::SP124447	1.38E+02	1.86E+02	1.44E+02	1.34E+02
Skin-Melanoma::SP124369	3.45E+01	8.76E+01	5.67E+01	6.90E+01
Skin-Melanoma::SP124365	2.28E+01	1.51E+02	8.05E+01	1.27E+02
Skin-Melanoma::SP124420	2.21E+01	7.93E+01	4.16E+01	6.10E+01
Skin-Melanoma::SP124364	3.37E+01	9.59E+01	5.60E+01	7.59E+01
Skin-Melanoma::SP124307	3.19E+01	5.56E+01	4.00E+01	3.72E+01
Skin-Melanoma::SP82445	2.26E+02	4.63E+02	2.84E+02	2.62E+02
Skin-Melanoma::SP83242	2.22E+01	8.90E+01	5.97E+01	5.47E+01
Skin-Melanoma::SP103894	4.33E+01	1.27E+02	7.55E+01	1.23E+02
Skin-Melanoma::SP83382	1.89E+01	5.87E+01	3.74E+01	4.47E+01
Skin-Melanoma::SP82451	2.36E+01	2.00E+02	1.07E+02	1.46E+02
Skin-Melanoma::SP83312	1.90E+01	7.85E+01	4.35E+01	6.28E+01
Skin-Melanoma::SP82614	1.77E+01	5.89E+01	3.61E+01	5.23E+01
Skin-Melanoma::SP82431	1.65E+02	2.09E+02	1.49E+02	3.38E+01
Skin-Melanoma::SP82459	2.55E+01	1.04E+02	5.26E+01	8.13E+01
Skin-Melanoma::SP82532	6.91E+01	1.07E+02	7.34E+01	1.25E+02
Skin-Melanoma::SP83482	2.71E+01	6.04E+01	3.91E+01	5.89E+01
Skin-Melanoma::SP104530	2.96E+01	1.99E+02	1.13E+02	1.48E+02
Skin-Melanoma::SP82644	5.67E+01	6.87E+01	7.03E+01	5.04E+01
Skin-Melanoma::SP82988	2.21E+01	5.54E+01	3.79E+01	4.63E+01
Skin-Melanoma::SP82461	2.34E+01	8.67E+01	5.12E+01	7.24E+01
Skin-Melanoma::SP82900	8.34E+01	8.01E+01	9.62E+01	3.93E+01
Skin-Melanoma::SP82399	3.04E+01	7.16E+01	4.89E+01	6.04E+01
Skin-Melanoma::SP82417	4.23E+01	6.48E+01	5.32E+01	3.83E+01
Skin-Melanoma::SP104056	8.33E+01	3.88E+02	2.01E+02	3.59E+02
Skin-Melanoma::SP83083	2.22E+01	9.48E+01	5.58E+01	8.18E+01
Skin-Melanoma::SP83019	2.42E+01	7.50E+01	4.81E+01	6.21E+01
Skin-Melanoma::SP83146	8.37E+01	1.11E+02	9.86E+01	6.40E+01
Skin-Melanoma::SP103866	2.61E+01	7.63E+01	4.58E+01	7.43E+01
Skin-Melanoma::SP83844	2.14E+01	6.05E+01	2.95E+01	5.19E+01
Stomach-AdenoCA::SP135287	5.17E+01	3.90E+03	2.23E+03	3.51E+03
Stomach-AdenoCA::SP85122	6.55E+01	4.74E+03	2.70E+03	4.24E+03
Stomach-AdenoCA::SP84384	9.62E+01	7.18E+03	4.01E+03	6.54E+03
Stomach-AdenoCA::SP84491	3.90E+01	2.18E+02	1.80E+02	3.65E+02
Stomach-AdenoCA::SP84743	4.31E+01	1.67E+02	1.69E+02	2.89E+02
Stomach-AdenoCA::SP84982	3.38E+01	2.72E+03	1.42E+03	2.41E+03
Stomach-AdenoCA::SP84392	7.12E+01	5.81E+03	3.27E+03	5.13E+03
Stomach-AdenoCA::SP105018	4.84E+01	5.05E+02	1.86E+02	4.30E+02
Stomach-AdenoCA::SP84439	3.09E+02	2.14E+04	1.19E+04	1.88E+04
Stomach-AdenoCA::SP84922	4.07E+01	3.11E+01	2.29E+02	2.21E+02
Uterus-AdenoCA::SP90209	6.92E+02	3.26E+04	1.95E+04	2.98E+04
Uterus-AdenoCA::SP93540	5.94E+01	4.01E+03	2.27E+03	3.57E+03
Uterus-AdenoCA::SP93227	6.83E+02	4.42E+04	2.82E+04	3.66E+04
Uterus-AdenoCA::SP94933	3.43E+01	3.11E+03	1.56E+03	2.73E+03
Uterus-AdenoCA::SP92364	6.06E+01	6.73E+03	3.45E+03	6.07E+03
Uterus-AdenoCA::SP92659	2.79E+02	1.87E+04	1.95E+02	1.84E+04
