Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
Skin-Melanoma::SP124365	68838	385	1453	2453	1002	1405
Skin-Melanoma::SP124420	71081	0	0	0	63	0
Skin-Melanoma::SP124364	104136	1216	1454	1896	712	0
Skin-Melanoma::SP124307	118886	296	0	0	113	2215
Skin-Melanoma::SP82445	671306	4125	0	0	6855	62267
Skin-Melanoma::SP83242	59435	0	249	13125	439	0
Skin-Melanoma::SP103894	151021	1074	1543	3178	2026	507
Skin-Melanoma::SP83382	53853	680	1784	160	131	2274
Skin-Melanoma::SP82451	41606	474	3414	5636	403	0
Skin-Melanoma::SP83312	52343	372	1538	1941	672	876
Skin-Melanoma::SP82614	53749	166	765	2089	675	0
Skin-Melanoma::SP82431	316243	6647	9673	16876	13250	10659
Skin-Melanoma::SP82459	77892	0	0	0	394	0
Skin-Melanoma::SP82532	178861	743	6242	23504	3539	0
Skin-Melanoma::SP83482	63826	547	326	2201	1575	208
Skin-Melanoma::SP104530	58392	626	3142	7549	735	918
Skin-Melanoma::SP82644	239459	0	0	0	0	1054
Skin-Melanoma::SP82988	82883	655	0	0	0	8885
Skin-Melanoma::SP82461	79467	902	2106	1682	562	0
Skin-Melanoma::SP82900	255519	0	0	0	1918	22377
Skin-Melanoma::SP82399	113094	673	1264	343	921	0
Skin-Melanoma::SP82417	247034	0	0	0	0	3711
Skin-Melanoma::SP104056	310387	2667	8860	5735	6355	0
Skin-Melanoma::SP83083	67951	803	2661	1918	743	1601
Skin-Melanoma::SP83019	92530	813	1624	0	523	2633
Skin-Melanoma::SP83146	323680	1399	0	0	160	22647
Skin-Melanoma::SP103866	92978	483	495	0	931	0
Skin-Melanoma::SP83844	52165	614	1767	198	510	1933
Stomach-AdenoCA::SP135287	1335	2170	60868	0	2044	157
Stomach-AdenoCA::SP85122	1627	2339	73856	0	2417	420
Stomach-AdenoCA::SP84384	3182	2004	108794	0	3687	770
Stomach-AdenoCA::SP84491	1477	1558	4601	1771	53827	1473
Stomach-AdenoCA::SP84743	2002	2229	5455	5792	40165	4363
Stomach-AdenoCA::SP84982	804	827	37039	7674	17637	62
Stomach-AdenoCA::SP84392	2701	2023	79697	11196	8748	255
Stomach-AdenoCA::SP105018	379	1097	9629	34165	3695	9839
Stomach-AdenoCA::SP84439	17795	5888	274263	64646	26623	0
Stomach-AdenoCA::SP84922	963	1883	2833	27	59803	2520
Uterus-AdenoCA::SP90209	18948	22548	508433	0	0	0
Uterus-AdenoCA::SP93540	1953	422	56427	5605	974	316
Uterus-AdenoCA::SP93227	19973	112008	615340	180897	0	0
Uterus-AdenoCA::SP94933	1555	530	37375	15117	7310	555
Uterus-AdenoCA::SP92364	0	0	82735	20466	11829	321
Uterus-AdenoCA::SP92659	0	272834	0	9428	0	0
