Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
Skin-Melanoma::SP82461	1.35E+03	8.36E+00	3.12E+01	1.62E+01	6.09E+00	1.35E+03
Skin-Melanoma::SP82900	4.77E+03	2.04E+01	3.55E+01	3.64E+01	1.53E+01	4.78E+03
Skin-Melanoma::SP82399	1.92E+03	1.16E+01	3.79E+01	2.29E+01	9.79E+00	1.93E+03
Skin-Melanoma::SP82417	4.34E+03	1.86E+01	4.55E+01	5.60E+00	1.04E+01	4.36E+03
Skin-Melanoma::SP104056	5.68E+03	2.90E+01	2.18E+02	1.19E+02	7.94E+01	5.73E+03
Skin-Melanoma::SP83083	1.20E+03	7.82E+00	3.18E+01	1.49E+01	7.46E+00	1.21E+03
Skin-Melanoma::SP83019	1.62E+03	8.81E+00	3.00E+01	1.53E+01	6.31E+00	1.64E+03
Skin-Melanoma::SP83146	6.03E+03	2.87E+01	5.57E+01	3.40E+01	1.10E+01	6.06E+03
Skin-Melanoma::SP103866	1.60E+03	8.47E+00	3.56E+01	1.26E+01	8.70E+00	1.61E+03
Skin-Melanoma::SP83844	9.15E+02	5.57E+00	2.63E+01	1.25E+01	7.42E+00	9.21E+02
Stomach-AdenoCA::SP135287	5.01E+01	3.88E+01	5.79E+02	8.62E+01	2.22E+01	7.48E+02
Stomach-AdenoCA::SP85122	6.43E+01	4.92E+01	6.02E+02	1.07E+02	1.29E+01	8.01E+02
Stomach-AdenoCA::SP84384	7.19E+01	5.69E+01	1.20E+03	6.60E+01	4.10E+01	1.40E+03
Stomach-AdenoCA::SP84491	2.14E+01	2.94E+01	1.06E+02	4.28E+01	7.71E+01	5.82E+01
Stomach-AdenoCA::SP84743	4.69E+01	2.43E+01	1.20E+02	6.36E+01	5.40E+01	4.15E+01
Stomach-AdenoCA::SP84982	3.49E+01	1.80E+01	5.34E+02	1.02E+02	6.39E+01	7.11E+02
Stomach-AdenoCA::SP84392	6.36E+01	3.21E+01	1.26E+03	1.80E+02	8.10E+01	1.57E+03
Stomach-AdenoCA::SP105018	8.11E+01	2.37E+01	1.53E+02	8.61E+01	4.42E+01	1.77E+02
Stomach-AdenoCA::SP84439	1.88E+02	5.33E+01	5.85E+03	9.44E+02	4.50E+02	7.27E+03
Stomach-AdenoCA::SP84922	2.85E+01	3.20E+01	1.02E+02	5.67E+01	8.85E+01	3.43E+01
Uterus-AdenoCA::SP90209	1.25E+03	4.77E+02	1.16E+03	1.30E+00	2.52E+01	6.25E+02
Uterus-AdenoCA::SP93540	5.54E+01	3.55E+01	6.68E+02	8.22E+01	2.39E+01	8.33E+02
Uterus-AdenoCA::SP93227	1.77E+03	8.21E+02	1.44E+03	1.97E+03	1.91E+02	2.09E+03
Uterus-AdenoCA::SP94933	2.72E+01	4.39E+01	1.28E+03	2.45E+02	2.26E+02	1.68E+03
Uterus-AdenoCA::SP92364	4.35E+01	4.04E+01	2.71E+03	3.14E+02	3.47E+02	3.29E+03
Uterus-AdenoCA::SP92659	4.55E+01	1.58E+02	2.15E+02	8.51E+01	1.46E+01	7.81E+00
