NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2287.544	9.142	340.507	9.194	0.012	0.987	210000.0
2	2303.214	9.161	340.446	9.125	0.012	0.987	410000.0
3	2283.668	9.227	337.864	9.179	0.012	0.987	400000.0
4	2279.169	9.126	340.348	9.206	0.012	0.986	310000.0
5	2273.158	9.048	336.337	9.091	0.012	0.987	520000.0
6	2269.023	9.106	338.322	9.128	0.012	0.987	300000.0
7	2269.693	9.136	338.056	9.174	0.012	0.987	300000.0
8	2273.669	9.021	335.721	8.962	0.012	0.988	600000.0
9	2290.366	9.156	341.578	9.15	0.012	0.988	480000.0
10	2262.524	9.046	337.004	9.083	0.012	0.987	310000.0
11	2291.334	9.081	340.558	9.22	0.012	0.987	460000.0
12	2289.479	9.046	339.25	9.006	0.011	0.988	180000.0
13	2300.376	9.139	342.84	9.137	0.012	0.988	230000.0
14	2326.934	9.187	345.349	9.142	0.012	0.988	380000.0
15	2307.938	9.168	342.919	9.172	0.012	0.987	310000.0
16	2258.388	9.079	336.106	9.104	0.012	0.987	470000.0
17	2272.975	9.096	338.094	9.085	0.012	0.988	410000.0
18	2287.218	9.157	341.018	9.176	0.012	0.987	610000.0
19	2312.665	9.096	343.419	9.18	0.011	0.988	490000.0
20	2288.437	9.092	338.325	9.064	0.012	0.988	300000.0
21	2274.797	9.128	340.643	9.17	0.012	0.987	700000.0
22	2288.181	9.153	339.741	9.171	0.012	0.987	180000.0
23	2301.94	9.12	343.303	9.141	0.012	0.987	370000.0
24	2303.318	9.168	341.205	9.177	0.012	0.987	440000.0
25	2292.477	9.102	337.163	9.052	0.012	0.988	680000.0
26	2274.624	8.965	336.555	8.973	0.012	0.988	290000.0
27	2290.553	9.1	341.915	9.172	0.012	0.987	690000.0
28	2297.122	9.125	340.603	9.152	0.012	0.987	350000.0
29	2273.268	9.033	335.916	9.003	0.012	0.988	390000.0
30	2288.856	8.983	340.116	9.063	0.012	0.987	680000.0
31	2290.847	9.112	339.406	9.145	0.012	0.987	300000.0
32	2295.584	9.21	340.602	9.169	0.012	0.987	210000.0
33	2304.458	9.051	342.642	9.083	0.012	0.988	540000.0
34	2302.351	9.081	344.902	9.118	0.012	0.987	100000.0
35	2295.483	9.124	341.868	9.198	0.012	0.987	340000.0
36	2261.386	9.114	335.691	9.047	0.012	0.987	440000.0
37	2274.213	9.073	340.57	9.107	0.012	0.988	550000.0
38	2289.912	9.148	342.122	9.164	0.012	0.987	270000.0
39	2325.376	9.17	345.09	9.119	0.012	0.987	380000.0
40	2271.018	9.184	338.669	9.212	0.013	0.987	210000.0
41	2285.722	9.223	341.407	9.275	0.013	0.987	360000.0
42	2253.106	9.015	333.042	8.916	0.012	0.988	620000.0
43	2314.382	9.181	345.061	9.199	0.012	0.988	450000.0
44	2305.934	9.15	341.591	9.052	0.012	0.988	330000.0
45	2314.994	9.131	344.617	9.15	0.012	0.987	350000.0
46	2314.132	9.181	346.67	9.193	0.012	0.988	470000.0
47	2299.727	9.035	342.166	9.014	0.012	0.988	420000.0
48	2302.988	9.011	341.14	9.055	0.011	0.988	320000.0
49	2310.869	9.171	344.742	9.106	0.012	0.988	320000.0
50	2300.385	9.139	341.068	9.065	0.012	0.988	380000.0
51	2286.528	9.061	341.748	9.085	0.012	0.988	390000.0
52	2287.365	9.075	340.151	9.11	0.012	0.988	600000.0
53	2289.025	9.06	340.875	9.009	0.012	0.988	490000.0
54	2289.655	9.189	338.225	9.13	0.012	0.987	400000.0
55	2288.35	8.987	341.29	9.006	0.012	0.988	590000.0
56	2272.499	9.097	340.5	9.147	0.012	0.987	660000.0
57	2295.851	9.166	342.081	9.236	0.012	0.987	310000.0
58	2301.701	9.158	341.398	9.115	0.012	0.988	570000.0
59	2289.343	9.077	340.847	9.063	0.012	0.988	370000.0
60	2296.682	9.233	340.915	9.174	0.012	0.988	460000.0
61	2279.019	8.92	338.412	8.904	0.011	0.988	460000.0
62	2309.308	9.208	341.915	9.208	0.012	0.987	280000.0
63	2316.762	9.212	347.096	9.279	0.012	0.987	180000.0
64	2296.408	9.132	340.738	9.137	0.012	0.987	700000.0
65	2283.873	9.18	338.432	9.202	0.012	0.987	300000.0
66	2266.163	9.086	335.845	9.04	0.012	0.988	230000.0
67	2278.663	9.02	336.49	9.029	0.012	0.987	290000.0
68	2295.637	9.206	341.003	9.213	0.012	0.987	300000.0
69	2318.997	9.076	343.459	9.095	0.012	0.988	680000.0
70	2288.694	9.101	342.193	9.195	0.012	0.987	500000.0
71	2294.0	9.231	339.98	9.168	0.012	0.987	470000.0
72	2275.225	9.325	338.258	9.31	0.013	0.987	310000.0
73	2291.391	8.979	339.351	8.964	0.012	0.988	540000.0
74	2282.509	9.071	336.816	9.065	0.012	0.987	390000.0
75	2288.675	9.09	340.499	9.037	0.012	0.987	340000.0
76	2282.27	9.117	339.962	9.087	0.012	0.987	570000.0
77	2295.492	9.138	339.499	9.081	0.012	0.987	570000.0
78	2288.81	9.101	340.674	9.1	0.012	0.988	550000.0
79	2301.024	9.185	342.262	9.162	0.012	0.987	240000.0
80	2291.801	9.131	341.767	9.229	0.012	0.987	520000.0
81	2312.541	9.274	343.298	9.234	0.012	0.987	280000.0
82	2271.411	9.101	337.048	9.093	0.012	0.987	310000.0
83	2288.717	9.098	337.667	9.039	0.012	0.988	270000.0
84	2278.314	9.035	338.247	9.029	0.012	0.988	470000.0
85	2311.673	9.156	341.973	9.193	0.012	0.987	410000.0
86	2310.225	9.179	343.177	9.168	0.012	0.987	440000.0
87	2283.125	9.085	338.481	9.036	0.012	0.988	300000.0
88	2303.167	9.189	342.546	9.178	0.012	0.987	740000.0
89	2304.129	9.142	343.542	9.197	0.012	0.987	480000.0
90	2287.685	8.988	340.074	8.943	0.011	0.988	310000.0
91	2273.715	9.108	335.882	9.059	0.012	0.987	300000.0
92	2271.583	9.107	336.897	9.078	0.013	0.987	460000.0
93	2277.12	9.093	338.467	9.086	0.012	0.987	590000.0
94	2264.95	8.97	336.125	9.033	0.011	0.988	250000.0
95	2279.522	9.019	338.614	9.074	0.012	0.988	370000.0
96	2309.355	9.332	341.839	9.416	0.013	0.986	150000.0
97	2286.143	9.015	340.234	9.014	0.012	0.988	210000.0
98	2290.482	9.178	340.763	9.149	0.012	0.988	470000.0
99	2318.757	9.127	347.243	9.182	0.012	0.987	230000.0
100	2290.541	9.149	341.572	9.219	0.012	0.987	420000.0
