Samples	SBS96A	SBS96B
Skin-Melanoma::SP124462	1.64E+01	1.64E+01
Skin-Melanoma::SP124452	1.67E+01	1.67E+01
Skin-Melanoma::SP124386	1.63E+01	1.63E+01
Skin-Melanoma::SP124418	1.92E+01	1.92E+01
Skin-Melanoma::SP124319	2.13E+01	2.13E+01
Skin-Melanoma::SP124447	5.51E+01	5.51E+01
Skin-Melanoma::SP124369	1.81E+01	1.81E+01
Skin-Melanoma::SP124365	1.63E+01	1.63E+01
Skin-Melanoma::SP124420	1.30E+01	1.30E+01
Skin-Melanoma::SP124364	1.67E+01	1.67E+01
Skin-Melanoma::SP124307	1.73E+01	1.73E+01
Skin-Melanoma::SP82445	8.13E+01	8.13E+01
Skin-Melanoma::SP83242	1.74E+01	1.74E+01
Skin-Melanoma::SP103894	1.84E+01	1.84E+01
Skin-Melanoma::SP83382	1.18E+01	1.18E+01
Skin-Melanoma::SP82451	1.55E+01	1.55E+01
Skin-Melanoma::SP83312	1.40E+01	1.40E+01
Skin-Melanoma::SP82614	1.10E+01	1.10E+01
Skin-Melanoma::SP82431	5.51E+01	5.51E+01
Skin-Melanoma::SP82459	1.48E+01	1.48E+01
Skin-Melanoma::SP82532	3.20E+01	3.20E+01
Skin-Melanoma::SP83482	1.85E+01	1.85E+01
Skin-Melanoma::SP104530	2.22E+01	2.22E+01
Skin-Melanoma::SP82644	2.59E+01	2.59E+01
Skin-Melanoma::SP82988	1.28E+01	1.28E+01
Skin-Melanoma::SP82461	1.63E+01	1.63E+01
Skin-Melanoma::SP82900	2.95E+01	2.95E+01
Skin-Melanoma::SP82399	1.74E+01	1.74E+01
Skin-Melanoma::SP82417	2.08E+01	2.08E+01
Skin-Melanoma::SP104056	4.65E+01	4.65E+01
Skin-Melanoma::SP83083	1.50E+01	1.50E+01
Skin-Melanoma::SP83019	1.56E+01	1.56E+01
Skin-Melanoma::SP83146	3.33E+01	3.33E+01
Skin-Melanoma::SP103866	1.64E+01	1.64E+01
Skin-Melanoma::SP83844	1.30E+01	1.30E+01
Stomach-AdenoCA::SP135287	1.74E+01	1.74E+01
Stomach-AdenoCA::SP85122	2.31E+01	2.31E+01
Stomach-AdenoCA::SP84384	3.15E+01	3.15E+01
Stomach-AdenoCA::SP84491	1.95E+01	1.95E+01
Stomach-AdenoCA::SP84743	1.66E+01	1.66E+01
Stomach-AdenoCA::SP84982	1.62E+01	1.62E+01
Stomach-AdenoCA::SP84392	3.07E+01	3.07E+01
Stomach-AdenoCA::SP105018	2.09E+01	2.09E+01
Stomach-AdenoCA::SP84439	1.01E+02	1.01E+02
Stomach-AdenoCA::SP84922	1.76E+01	1.76E+01
Uterus-AdenoCA::SP90209	1.28E+02	1.28E+02
Uterus-AdenoCA::SP93540	2.05E+01	2.05E+01
Uterus-AdenoCA::SP93227	2.23E+02	2.23E+02
Uterus-AdenoCA::SP94933	1.65E+01	1.65E+01
Uterus-AdenoCA::SP92364	2.82E+01	2.82E+01
Uterus-AdenoCA::SP92659	6.48E+01	6.48E+01
