Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.875	70971.742	34.364%	16851.125	50.549%	0.121	0.794
Bladder-TCC::SP1059	59185	0.884	23309.813	39.385%	5361.075	47.301%	0.11869	0.836
Bladder-TCC::SP96136	51896	0.87	26016.713	50.132%	6846.369	49.704%	0.20739	0.846
Breast-AdenoCA::SP117369	55654	0.835	41561.815	74.679%	13085.781	57.302%	0.36706	0.826
Breast-AdenoCA::SP2293	65065	0.842	47439.061	72.91%	14537.912	55.93%	0.36152	0.832
CNS-GBM::SP25494	245043	0.738	230536.395	94.08%	50583.223	67.755%	0.66952	0.699
ColoRect-AdenoCA::SP18310	108227	0.842	50722.559	46.867%	12435.485	53.973%	0.18254	0.789
ColoRect-AdenoCA::SP17172	124362	0.874	44793.993	36.019%	11441.605	48.708%	0.12759	0.818
ColoRect-AdenoCA::SP96133	81348	0.924	22439.527	27.585%	5112.845	38.54%	0.06526	0.873
ColoRect-AdenoCA::SP110242	113975	0.913	37149.761	32.595%	7939.282	40.888%	0.09246	0.86
ColoRect-AdenoCA::SP21017	88434	0.899	31098.106	35.165%	7044.301	43.8%	0.10646	0.849
ColoRect-AdenoCA::SP22383	97478	0.92	25236.783	25.89%	6216.842	40.047%	0.07201	0.864
ColoRect-AdenoCA::SP81312	807487	0.782	647205.661	80.151%	185107.325	66.941%	0.48074	0.776
ColoRect-AdenoCA::SP22031	234231	0.747	209988.974	89.65%	68139.501	72.255%	0.55912	0.751
ColoRect-AdenoCA::SP19215	94904	0.884	30536.756	32.176%	7605.227	47.966%	0.12039	0.814
ColoRect-AdenoCA::SP16886	849282	0.738	788305.765	92.82%	238665.366	72.415%	0.58581	0.737
ColoRect-AdenoCA::SP19295	259867	0.757	215170.357	82.8%	74157.448	71.521%	0.50357	0.762
ColoRect-AdenoCA::SP17905	2432617	0.769	1837058.447	75.518%	525630.916	67.334%	0.42199	0.754
ColoRect-AdenoCA::SP18121	161139	0.845	71572.407	44.417%	14521.506	54.9%	0.15191	0.744
