Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP99325	206529	0.679	163420.851	79.127%	24843.642	74.524%	0.42167	0.383
Bladder-TCC::SP1059	59185	0.813	28033.459	47.366%	6700.43	59.118%	0.17782	0.739
Bladder-TCC::SP96136	51896	0.746	36814.664	70.939%	9367.327	68.005%	0.35969	0.702
Breast-AdenoCA::SP117369	55654	0.649	68853.275	123.717%	18161.444	79.528%	1.0097	0.644
Breast-AdenoCA::SP2293	65065	0.644	81505.056	125.267%	20790.537	79.985%	1.07138	0.64
CNS-GBM::SP25494	245043	0.717	243355.008	99.311%	52891.341	70.847%	0.79064	0.676
ColoRect-AdenoCA::SP18310	108227	0.577	95898.883	88.609%	18853.774	81.83%	0.60865	0.373
ColoRect-AdenoCA::SP17172	124362	0.648	91980.084	73.962%	17977.006	76.53%	0.42055	0.436
ColoRect-AdenoCA::SP96133	81348	0.757	50044.778	61.519%	8712.98	65.677%	0.27082	0.554
ColoRect-AdenoCA::SP110242	113975	0.73	80822.851	70.913%	13287.018	68.43%	0.34928	0.525
ColoRect-AdenoCA::SP21017	88434	0.694	59072.026	66.798%	11593.304	72.084%	0.34467	0.497
ColoRect-AdenoCA::SP22383	97478	0.761	60880.24	62.455%	10185.239	65.61%	0.27019	0.552
ColoRect-AdenoCA::SP81312	807487	0.731	672286.747	83.257%	196309.0	70.992%	0.51827	0.713
ColoRect-AdenoCA::SP22031	234231	0.723	211982.657	90.502%	69220.536	73.402%	0.55111	0.718
ColoRect-AdenoCA::SP19215	94904	0.691	77162.339	81.306%	11574.545	73.0%	0.43038	0.437
ColoRect-AdenoCA::SP16886	849282	0.745	770004.94	90.665%	234167.46	71.051%	0.52346	0.74
ColoRect-AdenoCA::SP19295	259867	0.722	221982.277	85.421%	76109.372	73.403%	0.51552	0.717
