NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	21318.846	34.936	5345.499	35.827	0.158	0.837	50000.0
2	21325.715	34.946	5352.269	35.866	0.158	0.836	40000.0
3	21313.576	34.927	5345.685	35.834	0.158	0.836	20000.0
4	21323.908	34.941	5351.103	35.859	0.158	0.836	20000.0
5	22664.545	37.384	5246.759	36.786	0.164	0.823	50000.0
6	23148.305	38.187	5731.923	41.344	0.175	0.796	40000.0
7	21329.869	34.954	5350.846	35.843	0.158	0.837	80000.0
8	23123.359	38.147	5721.407	41.296	0.175	0.796	30000.0
9	21319.709	34.935	5342.581	35.795	0.158	0.837	20000.0
10	22652.979	37.365	5245.578	36.778	0.163	0.824	20000.0
11	22670.168	37.393	5248.574	36.783	0.163	0.824	20000.0
12	21325.447	34.945	5357.058	35.87	0.158	0.836	20000.0
13	21291.021	34.889	5337.611	35.799	0.157	0.836	50000.0
14	21343.41	34.978	5356.343	35.872	0.158	0.836	30000.0
15	21298.354	34.902	5348.373	35.832	0.157	0.836	70000.0
16	21303.094	34.91	5347.186	35.822	0.158	0.837	50000.0
17	21318.061	34.934	5346.367	35.821	0.158	0.836	20000.0
18	23148.713	38.189	5730.334	41.35	0.175	0.796	20000.0
19	22662.77	37.382	5247.863	36.783	0.163	0.824	30000.0
20	21314.697	34.927	5346.5	35.816	0.158	0.837	90000.0
21	23172.25	38.226	5729.753	41.358	0.175	0.796	30000.0
22	21315.064	34.93	5349.103	35.834	0.158	0.837	30000.0
23	21344.178	34.98	5349.634	35.852	0.158	0.836	40000.0
24	21312.959	34.925	5354.117	35.848	0.158	0.837	20000.0
25	22645.141	37.351	5245.532	36.787	0.163	0.823	20000.0
26	23144.154	38.182	5725.658	41.316	0.176	0.796	20000.0
27	21302.885	34.909	5346.553	35.825	0.157	0.837	30000.0
28	21337.561	34.967	5349.093	35.837	0.158	0.836	80000.0
29	22665.396	37.39	5246.433	36.782	0.164	0.823	20000.0
30	23167.398	38.345	5543.373	39.276	0.184	0.809	20000.0
31	22682.91	37.417	5249.364	36.805	0.164	0.824	40000.0
32	22649.648	37.36	5249.211	36.805	0.163	0.823	30000.0
33	22660.65	37.379	5249.279	36.792	0.163	0.824	20000.0
34	22643.287	37.348	5237.432	36.747	0.163	0.824	40000.0
35	22643.15	37.35	5239.842	36.765	0.163	0.824	40000.0
36	21312.75	34.926	5347.946	35.844	0.158	0.836	20000.0
37	21301.854	34.91	5338.035	35.801	0.158	0.837	50000.0
38	22673.277	37.396	5251.523	36.81	0.164	0.823	20000.0
39	23150.344	38.32	5544.216	39.274	0.184	0.808	20000.0
40	23136.264	38.169	5725.378	41.323	0.175	0.796	20000.0
41	21345.809	34.98	5353.611	35.883	0.158	0.836	20000.0
42	21321.285	34.939	5355.087	35.871	0.158	0.836	70000.0
43	21314.805	34.929	5345.425	35.818	0.157	0.837	50000.0
44	23168.051	38.347	5544.194	39.283	0.184	0.808	20000.0
45	21324.791	34.945	5349.821	35.83	0.158	0.836	40000.0
46	22630.979	37.329	5238.39	36.74	0.163	0.824	30000.0
47	21320.432	34.941	5347.313	35.844	0.158	0.836	30000.0
48	21297.41	34.901	5341.302	35.809	0.157	0.837	30000.0
49	21307.701	34.916	5351.081	35.855	0.158	0.836	20000.0
50	21306.18	34.913	5342.759	35.788	0.158	0.837	70000.0
