Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
LUAD.US_SP50827	41719	0.96	10238.029	24.54%	1789.188	28.409%	0.04123	0.929
LUAD.US_SP50263	10434	0.831	4648.668	44.553%	814.136	59.716%	0.19981	0.6
LUAD.US_SP50317	16308	0.771	9009.634	55.247%	2071.247	64.119%	0.23813	0.678
LUAD.US_SP54113	115787	0.992	13859.811	11.97%	2158.718	13.167%	0.01132	0.983
LUSC.US_SP56537	42426	0.967	7396.657	17.434%	1504.066	25.594%	0.02821	0.927
LUAD.US_SP50406	589	0.578	426.805	72.463%	82.616	85.618%	0.55571	0.22
LUSC.US_SP57586	37122	0.963	7364.537	19.839%	1389.884	29.363%	0.03682	0.917
LUAD.US_SP51824	25038	0.978	4251.431	16.98%	726.506	21.048%	0.02095	0.951
LUAD.US_SP55387	21117	0.938	5924.361	28.055%	1125.603	34.804%	0.06132	0.888
LUAD.US_SP52779	39966	0.975	8876.318	22.21%	1425.507	23.436%	0.03473	0.96
LUSC.US_SP56541	45256	0.974	7475.497	16.518%	1646.971	23.791%	0.02818	0.96
LUSC.US_SP56553	136115	0.743	77633.146	57.035%	19687.729	67.695%	0.2592	0.66
LUAD.US_SP55235	118001	0.976	20132.84	17.062%	3609.297	21.573%	0.02253	0.951
LUAD.US_SP50713	14434	0.886	5033.922	34.875%	1147.504	46.946%	0.10069	0.821
LUSC.US_SP56771	12547	0.929	4209.25	33.548%	638.404	40.159%	0.08077	0.832
LUSC.US_SP57941	78839	0.945	21065.99	26.72%	3956.986	32.912%	0.0522	0.901
LUAD.US_SP50611	55884	0.927	19979.709	35.752%	3367.478	37.968%	0.08568	0.877
LUSC.US_SP57818	52897	0.958	15476.122	29.257%	2583.984	30.387%	0.05794	0.942
LUAD.US_SP50485	2336	0.681	1518.558	65.007%	265.776	77.536%	0.3884	0.34
LUSC.US_SP56460	31065	0.916	8305.393	26.736%	1905.097	40.178%	0.06133	0.842
LUSC.US_SP56474	18429	0.792	9703.856	52.655%	1894.085	61.157%	0.19729	0.64
LUAD.US_SP51037	4295	0.646	2762.134	64.31%	522.972	80.708%	0.43477	0.291
LUSC.US_SP56704	55115	0.966	10385.404	18.843%	1968.238	26.81%	0.03329	0.921
LUAD.US_SP55142	164754	0.989	20149.529	12.23%	3850.129	15.819%	0.01339	0.984
LUSC.US_SP56533	22409	0.967	4674.999	20.862%	797.16	28.041%	0.03539	0.928
LUSC.US_SP56730	37044	0.969	6756.948	18.24%	1269.483	26.384%	0.03137	0.929
LUSC.US_SP59245	57083	0.954	11386.684	19.948%	2603.494	30.328%	0.03315	0.915
LUAD.US_SP53387	43727	0.864	13511.815	30.9%	4135.933	51.598%	0.11117	0.811
LUSC.US_SP57024	24042	0.981	4021.172	16.726%	655.502	20.988%	0.02146	0.958
LUAD.US_SP54745	48462	0.667	37060.643	76.474%	6946.313	74.647%	0.50765	0.48
LUSC.US_SP57933	59223	0.989	6880.443	11.618%	1228.481	15.002%	0.01221	0.975
LUSC.US_SP56754	31709	0.993	3131.563	9.876%	544.466	12.232%	0.00842	0.985
LUSC.US_SP56827	47146	0.987	6177.466	13.103%	1083.656	16.238%	0.01285	0.973
LUAD.US_SP52284	5275	0.838	2509.24	47.569%	405.181	58.072%	0.20449	0.622
LUAD.US_SP53618	63860	0.924	22551.712	35.314%	3982.436	38.809%	0.08661	0.875
LUAD.US_SP52232	27021	0.943	7289.526	26.977%	1321.917	33.343%	0.05531	0.886
LUAD.US_SP50412	2115	0.707	1430.418	67.632%	218.463	78.099%	0.35582	0.312
LUSC.US_SP57084	43797	0.989	5560.586	12.696%	919.269	16.056%	0.01189	0.977
LUAD.US_SP50321	13161	0.944	3607.63	27.412%	649.989	33.001%	0.05539	0.894
LUAD.US_SP53548	10145	0.309	10795.21	106.409%	2216.822	100.372%	1.21768	-0.067
LUSC.US_SP57538	41072	0.963	9476.092	23.072%	1525.331	29.199%	0.03918	0.919
LUSC.US_SP57735	45636	0.994	4347.756	9.527%	663.211	10.771%	0.00689	0.988
LUSC.US_SP57669	53166	0.967	9246.958	17.393%	1864.95	26.242%	0.03049	0.924
LUSC.US_SP56566	23601	0.743	14391.64	60.979%	3479.584	67.812%	0.27721	0.668
LUSC.US_SP56569	36480	0.993	3964.594	10.868%	601.306	12.381%	0.01005	0.985
LUSC.US_SP58342	75956	0.963	13810.357	18.182%	2839.146	27.466%	0.05407	0.916
LUSC.US_SP58349	48348	0.955	11782.673	24.371%	1986.75	33.12%	0.05345	0.904
LUSC.US_SP56644	49921	0.993	5278.242	10.573%	855.891	12.954%	0.00845	0.985
LUSC.US_SP57629	31808	0.954	8624.068	27.113%	1312.758	31.612%	0.05028	0.893
LUSC.US_SP56941	5390	0.633	4637.212	86.034%	1054.413	77.91%	0.53807	0.541
LUSC.US_SP57619	57322	0.963	10799.255	18.84%	2227.161	26.845%	0.03202	0.926
LUSC.US_SP58245	61592	0.974	11169.681	18.135%	1901.972	23.411%	0.02731	0.942
LUSC.US_SP57251	54237	0.985	7767.225	14.321%	1268.137	17.351%	0.01439	0.967
LUAD.US_SP55004	570	0.685	382.173	67.048%	63.77	77.584%	0.40901	0.336
LUAD.US_SP56079	50203	0.948	13379.4	26.651%	2389.931	31.865%	0.05056	0.902
LUSC.US_SP56502	46994	0.994	4194.188	8.925%	685.703	10.548%	0.00587	0.988
LUSC.US_SP58668	67884	0.987	10629.157	15.658%	1543.055	17.406%	0.01816	0.972
LUSC.US_SP58101	41126	0.957	9949.099	24.192%	1647.123	31.702%	0.04542	0.904
LUSC.US_SP58991	29212	0.977	5558.596	19.028%	879.239	23.445%	0.02587	0.95
LUSC.US_SP56607	21751	0.977	4032.931	18.541%	646.606	23.215%	0.02542	0.952
LUAD.US_SP56168	33369	0.619	29209.455	87.535%	7310.662	79.448%	0.55951	0.554
LUSC.US_SP58326	73524	0.967	12775.586	17.376%	2568.748	25.583%	0.0299	0.927
LUAD.US_SP54363	44564	0.976	9287.98	20.842%	1717.418	24.386%	0.03327	0.971
LUAD.US_SP53810	190653	0.881	91911.585	48.209%	15649.641	47.982%	0.15659	0.815
LUAD.US_SP50518	6391	0.834	2998.162	46.912%	495.305	59.139%	0.20499	0.608
LUAD.US_SP56303	15937	0.92	5558.347	34.877%	873.976	39.846%	0.09384	0.822
LUSC.US_SP57267	53600	0.977	7684.721	14.337%	1583.145	21.905%	0.02215	0.947
LUAD.US_SP55711	7929	0.826	3988.188	50.299%	681.528	56.995%	0.20326	0.656
LUSC.US_SP57066	59660	0.986	7700.169	12.907%	1348.464	16.478%	0.01484	0.97
LUSC.US_SP57901	30138	0.975	5263.754	17.466%	926.987	24.021%	0.02664	0.948
LUAD.US_SP55509	68492	0.946	21141.742	30.867%	3605.264	33.287%	0.06214	0.913
LUSC.US_SP57651	18722	0.966	4293.435	22.933%	667.552	27.967%	0.0378	0.926
LUAD.US_SP55309	1812	0.602	1274.856	70.356%	242.314	83.93%	0.50659	0.245
LUAD.US_SP52607	4036	0.754	2248.075	55.701%	411.929	67.442%	0.31015	0.511
LUAD.US_SP52667	34791	0.927	11061.2	31.793%	1988.664	37.635%	0.07483	0.863
LUSC.US_SP57450	25474	0.764	14067.471	55.223%	3241.911	64.868%	0.22994	0.66
LUSC.US_SP57846	55087	0.882	18100.47	32.858%	4483.534	47.76%	0.09315	0.815
LUSC.US_SP58612	29173	0.938	7314.584	25.073%	1386.516	37.369%	0.07287	0.856
LUSC.US_SP56821	32018	0.962	5579.593	17.426%	1202.113	28.595%	0.03996	0.912
LUAD.US_SP51446	5658	0.789	3057.249	54.034%	505.412	64.867%	0.25438	0.53
LUAD.US_SP50592	5112	0.72	3150.992	61.639%	530.615	74.003%	0.34543	0.391
