Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Skin-Melanoma::SP124462	110492	588	195	0	2551	345	0
Skin-Melanoma::SP124452	87802	386	1215	993	1270	243	0
Skin-Melanoma::SP124386	114322	292	912	0	197	79	33
Skin-Melanoma::SP124418	100435	330	0	2254	2556	659	1147
Skin-Melanoma::SP124319	197687	0	0	0	0	182	7432
Skin-Melanoma::SP124447	397112	4470	3474	10660	12283	4690	11402
Skin-Melanoma::SP124369	137101	44	14	1267	1786	245	0
Skin-Melanoma::SP124365	67628	387	225	2133	3403	705	1055
Skin-Melanoma::SP124420	70195	0	160	0	762	27	0
Skin-Melanoma::SP124364	102358	1135	863	1883	2663	512	0
Skin-Melanoma::SP124307	118803	303	479	0	146	192	1587
Skin-Melanoma::SP82445	676346	4476	0	0	713	7441	55577
Skin-Melanoma::SP83242	58970	0	717	12547	526	488	0
Skin-Melanoma::SP103894	148540	1068	225	2841	5144	1531	0
Skin-Melanoma::SP83382	53337	571	1691	517	677	163	1926
Skin-Melanoma::SP82451	40971	385	2128	5144	2607	298	0
Skin-Melanoma::SP83312	51674	310	1117	1925	1463	587	666
Skin-Melanoma::SP82614	52638	145	172	1976	2014	499	0
Skin-Melanoma::SP82431	308583	6785	0	12891	25701	10326	9062
Skin-Melanoma::SP82459	76347	0	0	0	1692	247	0
Skin-Melanoma::SP82532	175931	406	4817	22470	6018	3247	0
Skin-Melanoma::SP83482	63211	487	683	2320	446	1516	20
Skin-Melanoma::SP104530	57627	524	1988	6951	2857	609	806
Skin-Melanoma::SP82644	240379	0	0	0	0	131	3
Skin-Melanoma::SP82988	82984	600	845	0	0	76	7918
Skin-Melanoma::SP82461	78273	797	1676	1769	1713	491	0
Skin-Melanoma::SP82900	257554	0	0	0	0	2280	19980
Skin-Melanoma::SP82399	110957	587	684	738	2617	712	0
Skin-Melanoma::SP82417	248221	0	0	0	0	0	2524
Skin-Melanoma::SP104056	297593	2928	0	400	29972	3111	0
Skin-Melanoma::SP83083	67004	709	1860	1908	2283	612	1301
Skin-Melanoma::SP83019	91809	746	1626	0	1349	488	2105
Skin-Melanoma::SP83146	324701	1398	1299	0	0	604	19884
Skin-Melanoma::SP103866	91335	466	100	0	2266	720	0
Skin-Melanoma::SP83844	51451	552	1162	337	1682	412	1591
Stomach-AdenoCA::SP135287	91	972	41581	0	21724	1966	240
Stomach-AdenoCA::SP85122	94	862	52065	0	24521	2565	552
Stomach-AdenoCA::SP84384	1036	0	71510	0	41868	3173	850
Stomach-AdenoCA::SP84491	1444	1579	3117	2091	2695	52196	1585
Stomach-AdenoCA::SP84743	2031	2234	2971	5255	4733	38489	4293
Stomach-AdenoCA::SP84982	219	407	20666	5707	20972	15809	263
Stomach-AdenoCA::SP84392	1477	1245	41324	6358	47822	5946	448
Stomach-AdenoCA::SP105018	403	943	4343	29650	10607	3029	9829
Stomach-AdenoCA::SP84439	13589	4861	117199	35327	205313	12036	890
Stomach-AdenoCA::SP84922	1009	1954	1883	577	2151	57924	2531
Uterus-AdenoCA::SP90209	6776	12681	519482	0	10990	0	0
Uterus-AdenoCA::SP93540	871	0	34395	3719	26051	195	466
Uterus-AdenoCA::SP93227	5079	100648	545467	227770	49254	0	0
Uterus-AdenoCA::SP94933	1569	1372	2847	4436	49928	1824	466
Uterus-AdenoCA::SP92364	257	1062	8811	1990	101584	1390	257
Uterus-AdenoCA::SP92659	0	268031	0	14231	0	0	0
