Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
Lung-SCC::SP59245	1.69E+01	9.83E+00	1.68E+01	6.20E+01	6.49E+01	1.33E+01	5.04E+01
Lung-SCC::SP57933	1.44E+01	1.35E+01	1.94E+01	7.71E+01	7.64E+01	1.13E+01	6.19E+01
Lung-SCC::SP57669	2.09E+01	1.47E+01	2.30E+01	7.63E+01	7.94E+01	1.28E+01	6.07E+01
Lung-SCC::SP58342	2.22E+01	1.18E+01	4.17E+01	1.03E+02	9.07E+01	1.68E+01	6.82E+01
Lung-SCC::SP57619	2.64E+01	1.09E+01	2.51E+01	8.67E+01	8.89E+01	1.11E+01	6.85E+01
Lung-SCC::SP58245	2.50E+01	1.29E+01	3.05E+01	9.05E+01	8.74E+01	1.41E+01	6.44E+01
Lung-SCC::SP57251	1.85E+01	1.22E+01	2.04E+01	7.09E+01	6.78E+01	1.34E+01	4.82E+01
Lung-SCC::SP58668	2.79E+01	1.40E+01	2.37E+01	9.81E+01	9.09E+01	1.43E+01	7.83E+01
Lung-SCC::SP58326	3.12E+01	1.55E+01	3.08E+01	1.24E+02	1.19E+02	1.41E+01	9.09E+01
Lung-SCC::SP57267	2.34E+01	1.53E+01	2.08E+01	8.28E+01	8.17E+01	1.23E+01	6.02E+01
Lung-SCC::SP57066	2.25E+01	1.61E+01	2.51E+01	8.61E+01	8.71E+01	1.11E+01	6.81E+01
Lung-SCC::SP57846	1.69E+01	1.11E+01	1.74E+01	6.64E+01	6.38E+01	9.01E+00	4.37E+01
Lung-SCC::SP57189	4.68E+01	2.28E+01	4.26E+01	1.75E+02	1.79E+02	2.02E+01	1.42E+02
Lymph-BNHL::SP116668	1.12E+01	1.22E+01	3.37E+01	2.96E+01	3.20E+01	4.10E+01	8.63E+00
Lymph-BNHL::SP116697	2.94E+01	2.93E+01	9.73E+01	5.45E+01	7.22E+01	5.40E+01	3.32E+01
