NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3786.931	15.622	639.128	17.906	0.037	0.935	190000.0
2	3823.979	15.786	640.842	17.907	0.038	0.935	180000.0
3	3802.805	15.675	637.131	17.813	0.038	0.935	50000.0
4	3816.93	15.677	644.385	18.022	0.037	0.934	50000.0
5	3764.992	15.552	634.999	17.829	0.038	0.935	210000.0
6	3794.564	15.624	639.222	17.901	0.037	0.935	120000.0
7	3790.266	15.713	639.468	17.875	0.038	0.936	90000.0
8	3799.063	15.619	638.687	17.955	0.038	0.934	250000.0
9	3815.699	15.838	643.542	18.05	0.039	0.935	50000.0
10	3807.482	15.688	640.795	17.956	0.037	0.935	40000.0
11	3791.61	15.577	638.449	17.868	0.036	0.936	90000.0
12	3835.646	15.742	641.241	17.913	0.037	0.935	110000.0
13	3820.276	15.838	639.414	17.95	0.038	0.936	50000.0
14	3850.14	15.854	641.584	17.954	0.038	0.936	150000.0
15	3813.917	15.777	639.907	17.908	0.038	0.935	130000.0
16	3790.795	15.681	637.658	17.986	0.038	0.933	140000.0
17	3804.011	15.72	638.619	17.921	0.038	0.935	230000.0
18	3800.967	15.75	637.876	17.855	0.038	0.936	50000.0
19	3839.311	15.539	645.234	17.885	0.036	0.937	80000.0
20	3809.769	15.628	640.329	17.845	0.037	0.935	210000.0
21	3819.955	15.932	642.851	18.176	0.04	0.933	130000.0
22	3822.305	15.654	642.748	17.923	0.037	0.935	60000.0
23	3785.559	15.708	638.344	17.899	0.037	0.935	140000.0
24	3836.222	15.793	643.632	17.986	0.038	0.934	210000.0
25	3786.517	15.587	634.761	17.824	0.038	0.936	50000.0
26	3784.545	15.504	634.423	17.753	0.037	0.936	230000.0
27	3800.543	15.552	638.912	17.871	0.037	0.936	90000.0
28	3816.545	15.749	641.67	18.027	0.038	0.935	160000.0
29	3794.334	15.591	635.301	17.747	0.037	0.936	120000.0
30	3788.906	15.552	637.331	17.847	0.037	0.935	20000.0
31	3806.813	15.594	636.87	17.72	0.037	0.937	100000.0
32	3794.345	15.746	638.901	17.925	0.038	0.936	220000.0
33	3813.55	15.63	642.003	17.933	0.037	0.936	140000.0
34	3793.852	15.656	639.057	17.947	0.038	0.934	100000.0
35	3806.292	15.772	641.003	17.997	0.038	0.935	200000.0
36	3779.337	15.63	633.811	17.757	0.037	0.935	30000.0
37	3801.46	15.66	636.645	17.802	0.037	0.936	300000.0
38	3792.916	15.627	632.645	17.801	0.037	0.936	140000.0
39	3840.49	15.63	647.262	17.946	0.037	0.935	80000.0
40	3814.534	15.818	643.338	18.022	0.039	0.934	60000.0
41	3821.073	15.788	642.668	17.931	0.038	0.935	50000.0
42	3771.956	15.618	633.408	17.813	0.038	0.935	110000.0
43	3824.755	15.76	641.608	17.918	0.038	0.936	160000.0
44	3795.045	15.598	635.842	17.81	0.038	0.935	30000.0
45	3807.547	15.787	641.485	17.937	0.038	0.934	170000.0
46	3837.721	15.852	644.382	18.034	0.039	0.935	30000.0
47	3789.222	15.74	635.924	17.903	0.038	0.935	60000.0
48	3817.808	15.664	639.333	17.924	0.037	0.935	130000.0
49	3804.777	15.806	644.488	17.949	0.038	0.935	60000.0
50	3786.753	15.707	633.824	17.79	0.038	0.936	60000.0
51	3825.016	15.679	643.237	17.93	0.037	0.935	140000.0
52	3799.352	15.722	640.631	17.983	0.038	0.934	70000.0
53	3809.135	15.668	640.514	17.868	0.038	0.936	200000.0
54	3796.817	15.604	639.056	17.832	0.037	0.936	40000.0
55	3808.745	15.751	638.716	18.007	0.038	0.933	70000.0
56	3788.224	15.655	635.549	17.902	0.038	0.935	220000.0
57	3828.343	15.635	641.73	17.921	0.037	0.935	50000.0
58	3807.276	15.721	639.408	18.009	0.038	0.934	40000.0
59	3811.121	15.774	643.239	18.082	0.038	0.933	80000.0
60	3836.939	15.793	641.698	17.972	0.038	0.935	30000.0
61	3793.656	15.604	639.337	17.796	0.037	0.936	100000.0
62	3820.144	15.692	643.378	17.977	0.038	0.935	150000.0
63	3806.829	15.793	641.955	18.047	0.039	0.933	100000.0
64	3830.702	15.704	643.419	17.968	0.037	0.935	280000.0
65	3792.272	15.759	638.184	18.062	0.039	0.934	50000.0
66	3776.486	15.659	632.552	17.843	0.037	0.935	50000.0
67	3805.46	15.681	636.942	17.769	0.037	0.937	200000.0
68	3813.398	15.737	642.67	18.043	0.038	0.934	70000.0
69	3811.881	15.667	638.465	17.805	0.037	0.936	230000.0
70	3797.465	15.723	636.976	18.019	0.038	0.934	70000.0
71	3799.984	15.68	641.538	17.934	0.038	0.935	110000.0
72	3797.719	15.769	636.891	17.898	0.038	0.935	120000.0
73	3825.35	15.754	645.859	18.009	0.037	0.935	300000.0
74	3782.5	15.56	632.964	17.779	0.037	0.936	30000.0
75	3801.938	15.809	643.158	17.938	0.038	0.935	210000.0
76	3788.399	15.622	635.829	17.821	0.037	0.936	50000.0
77	3818.705	15.697	638.946	17.919	0.037	0.935	110000.0
78	3806.666	15.648	639.331	17.931	0.037	0.935	50000.0
79	3824.307	15.854	639.533	18.002	0.039	0.935	60000.0
80	3797.745	15.696	633.388	17.854	0.038	0.936	130000.0
81	3811.352	15.836	639.433	17.942	0.038	0.935	160000.0
82	3813.014	15.759	641.887	17.966	0.038	0.935	120000.0
83	3797.374	15.707	638.352	17.914	0.038	0.935	100000.0
84	3764.031	15.476	631.526	17.723	0.037	0.936	220000.0
85	3806.347	15.646	638.354	17.899	0.038	0.935	20000.0
86	3823.882	15.695	643.421	17.989	0.037	0.934	60000.0
87	3828.049	15.587	643.477	17.821	0.036	0.937	150000.0
88	3802.523	15.686	639.029	17.852	0.038	0.936	160000.0
89	3796.874	15.717	639.267	17.889	0.037	0.936	60000.0
90	3813.478	15.644	638.152	17.902	0.037	0.935	170000.0
91	3820.924	15.865	640.687	17.998	0.038	0.934	60000.0
92	3816.234	15.605	638.994	17.892	0.037	0.934	50000.0
93	3793.68	15.77	638.52	17.966	0.039	0.934	150000.0
94	3787.505	15.669	635.539	17.822	0.037	0.936	50000.0
95	3770.397	15.607	634.292	17.822	0.037	0.936	90000.0
96	3822.229	15.83	640.595	17.958	0.038	0.935	30000.0
97	3782.889	15.614	635.907	17.889	0.038	0.935	40000.0
98	3789.975	15.703	640.121	17.989	0.038	0.934	260000.0
99	3813.44	15.709	637.556	17.892	0.038	0.935	80000.0
100	3800.925	15.617	639.343	17.882	0.037	0.935	50000.0
