Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
LUAD.US_SP55309	3.84E+00	7.30E+00	6.50E+00	2.07E+00	8.34E+00	5.38E+00	1.09E+00
LUAD.US_SP52607	8.61E+00	1.11E+01	2.78E+01	1.39E+01	2.02E+01	9.66E+00	1.99E+00
LUAD.US_SP52667	5.04E+02	1.58E+02	6.12E+02	3.81E+01	2.99E+01	3.53E+01	9.64E+00
LUSC.US_SP57450	7.41E+01	6.98E+01	1.28E+02	1.47E+02	4.11E+01	2.46E+01	7.70E+00
LUSC.US_SP57846	2.02E+02	1.40E+02	3.24E+02	3.52E+02	1.13E+02	7.04E+01	9.86E+00
LUSC.US_SP58612	3.00E+02	1.23E+02	3.01E+02	3.93E+01	9.70E+01	1.12E+02	1.28E+01
LUSC.US_SP56821	2.71E+02	1.24E+02	3.05E+02	3.47E+01	6.80E+01	9.17E+01	1.01E+01
LUAD.US_SP51446	1.45E+01	2.45E+01	3.28E+01	1.28E+01	3.57E+01	1.25E+01	2.23E+00
LUAD.US_SP50592	8.53E+00	2.22E+01	1.69E+01	6.09E+00	2.29E+01	1.05E+01	3.09E+00
LUAD.US_SP53073	1.42E+02	1.00E+02	1.92E+02	2.20E+01	2.23E+01	3.61E+01	3.03E+01
LUSC.US_SP58882	1.20E+02	1.52E+02	1.35E+02	3.55E+01	3.29E+01	5.88E+01	1.14E+01
LUSC.US_SP57189	1.51E+03	6.31E+02	1.87E+03	1.25E+02	4.96E+01	1.85E+02	2.47E+01
